model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
gemini-2.0-flash-lite,0.25,0.07692307692307693,0.53107253497887,0.9166666666666666,5.0,0.7630414962768555
gemini-2.0-flash-lite,0.14285714285714285,0.01818181818181818,0.6997522298221912,0.9285714285714286,3.0,8.1
gemini-2.0-flash-lite,0.25,0.0847457627118644,0.7259795291154771,1.0,6.0,4.68
gemini-2.0-flash-lite,0.8333333333333334,0.10869565217391304,0.040824829046386304,0.7142857142857143,6.0,4.14
gemini-2.0-flash-lite,0.42857142857142855,0.07317073170731707,0.2658483576665877,1.0,6.0,5.832018140589569
gemini-2.0-flash-lite,0.42857142857142855,0.06451612903225806,0.44710186192584195,1.0,7.0,6.552018140589569
gemini-2.0-flash-lite,0.25,0.03896103896103896,0.7102992180127422,1.0,4.0,4.212018140589569
gemini-2.0-flash-lite,0.42857142857142855,0.0875,0.2658483576665877,1.0,8.0,9.756009070294784
gemini-2.0-flash-lite,0.1,0.013513513513513514,0.8801117367933934,1.0,2.0,5.94
gemini-2.0-flash-lite,0.2222222222222222,0.03773584905660377,0.6104735835807844,1.0,3.0,4.6440362811791385
gemini-2.0-flash-lite,0.08333333333333333,0.011904761904761904,0.9036020036098448,1.0,2.0,6.516009070294785
gemini-2.0-flash-lite,0.3,0.09259259259259259,0.6389431042462724,0.8888888888888888,6.0,3.5640362811791384
gemini-2.0-flash-lite,0.25,0.11475409836065574,0.4832697830906221,0.9166666666666666,8.0,8.856009070294785
gemini-2.0-flash-lite,0.09090909090909091,0.012048192771084338,0.8931539818068694,1.0,2.0,5.94
gemini-2.0-flash-lite,0.14285714285714285,0.02040816326530612,0.8091067115702212,1.0,2.0,5.076009070294784
gemini-2.0-flash-lite,0.08333333333333333,0.011363636363636364,0.9036020036098448,1.0,2.0,6.3
gemini-2.0-flash-lite,0.3333333333333333,0.18867924528301888,0.5873949094699213,0.8888888888888888,11.0,6.336009070294785
gemini-2.0-flash-lite,1.0,0.1875,0.0,0.5,4.0,2.304036281179138
gemini-2.0-flash-lite,0.2,0.03636363636363636,0.5253819788848316,1.0,3.0,5.22
gemini-2.0-flash-lite,0.375,0.12,0.17286039232097053,0.875,7.0,5.616009070294784
gemini-2.0-flash-lite,0.16666666666666666,0.024096385542168676,0.8070557274927982,1.0,3.0,5.796009070294785
gemini-2.0-flash-lite,0.1,0.017241379310344827,0.8801117367933934,1.0,2.0,4.428027210884354
gemini-2.0-flash-lite,0.18181818181818182,0.03278688524590164,0.6315552371794037,1.0,3.0,4.68
gemini-2.0-flash-lite,0.2857142857142857,0.0847457627118644,0.6803749333171202,0.9333333333333333,6.0,5.76
gemini-2.0-flash-lite,0.08333333333333333,0.0125,0.9036020036098448,1.0,2.0,8.856009070294785
gemini-2.0-flash-lite,0.125,0.018867924528301886,0.8408964152537145,1.0,2.0,3.1320181405895693
gemini-2.0-flash-lite,0.2,0.03278688524590164,0.6606328636027614,1.0,3.0,6.48
gemini-2.0-flash-lite,0.1111111111111111,0.014925373134328358,0.8633400213704505,1.0,2.0,5.7240362811791385
gemini-2.0-flash-lite,0.9285714285714286,0.7666666666666667,0.0065949420663472934,0.22222222222222224,69.0,5.832018140589569
gemini-2.0-flash-lite,0.5,0.06896551724137931,0.1477219991186121,1.0,5.0,3.312018140589569
gemini-2.0-flash-lite,0.5454545454545454,0.09090909090909091,0.24808415001701817,1.0,7.0,5.112018140589569
gemini-2.0-flash-lite,0.09090909090909091,0.017543859649122806,0.8931539818068694,1.0,2.0,6.948027210884354
gemini-2.0-flash-lite,0.1,0.011764705882352941,0.8801117367933934,1.0,2.0,5.832018140589569
gemini-2.0-flash-lite,0.07142857142857142,0.01098901098901099,0.9193227152249185,1.0,2.0,6.444036281179138
gemini-2.0-flash-lite,0.42857142857142855,0.04225352112676056,0.17567205239427922,1.0,4.0,9.0
gemini-2.0-flash-lite,0.2857142857142857,0.04424778761061947,0.6115380576901023,0.9032258064516129,6.0,7.776009070294784
