model,text,reference,time,cost,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
gemini-1.5-pro,"Anche Yu poi si ribellò a Shun e lo bandì dal regno.
",anche yu poi si ribellò a shun e lo bandì dal regno.,1.15830659866333,0.00030166131973266607,0.25,0.057692307692307696,0.53107253497887,1.0,1.0,4.0
gemini-1.5-pro,"Sono presenti alcuni plastici riproducenti battaglie medievali tra lucchesi e modenesi risalenti al Medioevo.
",sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,8.1,0.0016999999999999997,0.21428571428571427,0.02727272727272727,0.6162607099729586,0.9285714285714286,0.9285714285714286,4.0
gemini-1.5-pro,"L'ex Beatle ha suonato tutti gli strumenti nella canzone.
","l'ex-""beatle"" ha suonato tutti gli strumenti nella canzone.",4.68,0.000991,0.25,0.0847457627118644,0.7259795291154771,1.0,1.0,6.0
gemini-1.5-pro,"L'anno seguente tornò nuovamente nello Jonca.
","l'anno seguente, tornò nuovamente nello honka.",4.14,0.0008679999999999998,0.5,0.08695652173913043,0.20205155046766235,0.8571428571428571,0.8571428571428571,5.0
gemini-1.5-pro,"Solo la Marina Militare Italiana e la Royal Navy possiedono unità di questo tipo.
",solo la marina militare italiana e la royal navy possiedono unità di questo tipo..,5.832018140589569,0.0012464036281179137,0.5,0.08536585365853659,0.21972813874997157,1.0,1.0,7.0
gemini-1.5-pro,"La Basilica della Beata Vergine Maria è un importante centro di pellegrinaggio della Polonia.
",la basilica della beata vergine maria è un importante centro di pellegrinaggio della polonia.,6.552018140589569,0.0013904036281179137,0.42857142857142855,0.06451612903225806,0.44710186192584195,1.0,1.0,7.0
gemini-1.5-pro,"Per vendetta, Timmy desidera di diventare il bagnino più forte della spiaggia.
",per vendetta timmy desidera di diventare il bagnino più forte della spiaggia.,4.212018140589569,0.0009124036281179139,0.25,0.03896103896103896,0.7102992180127422,1.0,1.0,4.0
gemini-1.5-pro,"La città è situata nelle Snowy Mountains, nella regione del Nuovo Galles del Sud.
",la città è situata nelle snowy mountains nella regione del nuovo galles del sud.,9.756009070294784,0.002031201814058957,0.42857142857142855,0.0875,0.2658483576665877,1.0,1.0,8.0
gemini-1.5-pro,"Le immersioni ricreative nascono dallo snorkeling e dalla pesca subacquea.
",le immersioni ricreative nascono dallo snorkeling e dalla pesca subacquea.,5.94,0.001248,0.1,0.013513513513513514,0.8801117367933934,1.0,1.0,2.0
gemini-1.5-pro,"Il signor Ricci disse che l'euro si svaluterà ancora.
",il signor ricci disse che l'euro si svaluterà ancora.,4.6440362811791385,0.0009838072562358279,0.2222222222222222,0.03773584905660377,0.6104735835807844,1.0,1.0,3.0
gemini-1.5-pro,"L'aereo sorvola l'isola, obbligando così il giocatore a proseguire la sua avventura.
","l'aereo sorvola l'isola, obbligando così il giocatore a proseguire la sua avventura.",6.516009070294785,0.0013732018140589569,0.08333333333333333,0.011904761904761904,0.9036020036098448,1.0,1.0,2.0
