model,text,reference,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Wav2Vec2 XLSR Italian (Grosman),segna il prossimo lunedì,segna il prossimo lunedì,0.6334853172302246,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),riproduci la lista delle mie canzoni più ascoltate,riproduci la lista delle mie canzoni più ascoltate,0.6701145172119141,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),disattiva la sveglia delle quindici,disattiva la sveglia delle quindici,0.7408108711242676,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),cancella sveglia,cancella sveglia,0.3847675323486328,0.0,0.0,0.316227766016838,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),ricordami i miei impegni del pomeriggio,ricordami i miei impegni del pomeriggio,0.6957402229309082,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),metti in paosa il libro,metti in pausa il libro,0.5143618583679199,0.2,0.043478260869565216,0.16068568378893033,0.8000000000000002,0.8000000000000002,1.0
Wav2Vec2 XLSR Italian (Grosman),ei poi abbassare le luci per favore,ehi puoi abbassare le luci per favore,0.5891923904418945,0.2857142857142857,0.05405405405405406,0.6147881529512643,0.7142857142857143,0.7142857142857143,2.0
Wav2Vec2 XLSR Italian (Grosman),quanda è pasqua nell'anno duemila diciotto,quand'è pasqua nell'anno duemiladiciotto,0.6241059303283691,1.0,0.075,0.08633400213704504,0.5454545454545454,0.5454545454545454,3.0
Wav2Vec2 XLSR Italian (Grosman),parla più forte,parla più forte,0.3509645462036133,0.0,0.0,0.5623413251903491,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),come si fa il tacchino,come si fa il tacchino,0.5989110469818115,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),per favore scrivi una nuova email a un collega,per favore scrivi una nuova email a un collega,0.8361318111419678,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),quando comincia ufficialmente la fase a eliminazione diretta della champions league,quando comincia ufficialmente la fase a eliminazione diretta della champions league,0.9847548007965088,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),mi serve un biglietto del treno da bologna a parma,mi serve un biglietto del treno da bologna a parma,0.8439903259277344,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),per favore aggiungi arance alla mia lista della spesa,per favore aggiungi arance alla mia lista della spesa,0.8152508735656738,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),aggiungi un orologio da polso alla lista delle cose da comprare,aggiungi un orologio da polso alla lista delle cose da comprare,0.7778844833374023,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),per favore riproduce l'ultimo podcast di francesco costa,per favore riproduci l'ultimo podcast di francesco costa,0.801788330078125,0.125,0.017857142857142856,0.5946035575013605,0.8888888888888888,0.8888888888888888,1.0
Wav2Vec2 XLSR Italian (Grosman),quanto devo cuocere una bistecca a cottura media,quanto devo cuocere una bistecca a cottura media,0.6467306613922119,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),e come sarà il tempo oggi a milano lombardia,ehi come sarà il tempo oggi a milano lombardia,0.7239913940429688,0.1111111111111111,0.043478260869565216,0.8633400213704505,0.8888888888888888,0.8888888888888888,2.0
Wav2Vec2 XLSR Italian (Grosman),riesco a mala pena a sentirti,riesco a malapena a sentirti,0.5498287677764893,0.4,0.03571428571428571,0.12209471671615688,0.7272727272727272,0.7272727272727272,1.0
Wav2Vec2 XLSR Italian (Grosman),qual è il conad più vicino,qual è il conad più vicino,0.6041839122772217,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),chi è il direttore musicale di questo brano,chi è il direttore musicale di questo brano,0.8552241325378418,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),quali sono le novità di oggi,quali sono le novità di oggi,0.5701408386230469,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),nuova sveglia per le sei di mattina,nuova sveglia per le sei di mattina,0.6634228229522705,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),cosa c'è dientro la torda mimosa,cosa c'è dentro la torta mimosa,0.6952109336853027,0.3333333333333333,0.06451612903225806,0.10266900960803409,0.6666666666666666,0.6666666666666666,2.0
Wav2Vec2 XLSR Italian (Grosman),passa la prossima sezione,passa alla prossima sezione,0.5716562271118164,0.25,0.07407407407407407,0.1880301546543197,0.75,0.75,2.0
Wav2Vec2 XLSR Italian (Grosman),cerca informazioni online,cerca informazioni online,0.6784756183624268,0.0,0.0,0.5623413251903491,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),cancella l'incontro di domani dal mio calendario,cancella l'incontro di domani dal mio calendario,0.8004336357116699,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),syri kè data è oggi,siri che data è oggi,0.5671572685241699,0.4,0.2,0.26591479484724945,0.5,0.5,4.0
Wav2Vec2 XLSR Italian (Grosman),olly quali film drammatici debuttano questo fine settimana,olly quali film drammatici debuttano questo fine settimana,0.7825875282287598,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),puoi prenotarmi un taxi,puoi prenotarmi un taxi,0.7740881443023682,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),controlla email da stefano,controlla email da stefano,0.5844786167144775,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),aggiungi questo brano al prossimo brano in riproduzione,aggiungi questo brano al prossimo brano in riproduzione,0.7306668758392334,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),che ore sono a milano adesso,che ore sono a milano adesso,0.5946345329284668,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),ei che ore sono a roma adesso,ehi che ore sono a roma adesso,0.6724443435668945,0.14285714285714285,0.03333333333333333,0.8091067115702212,0.8571428571428571,0.8571428571428571,1.0
Wav2Vec2 XLSR Italian (Grosman),qual è l'oggetto dell'ultima email di mamma,qual è l'oggetto dell'ultima email di mamma,0.7171683311462402,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),fami una tazza di caffè con panna al caramello salato,fammi una tazza di caffè con panna al caramello salato,0.8792951107025146,0.1,0.018518518518518517,0.8801117367933934,0.9,0.9,1.0
Wav2Vec2 XLSR Italian (Grosman),quali sono le ultime notizie sulla rai,quali sono le ultime notizie sulla rai,0.5940887928009033,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),rimuove questa lista dalle altre,rimuovi questa lista dalle altre,0.6179804801940918,0.2,0.03125,0.668740304976422,0.8000000000000002,0.8000000000000002,1.0
Wav2Vec2 XLSR Italian (Grosman),che tempo fa a padova,che tempo fa a padova,0.5686321258544922,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),mostra a lista dell'emeil recenti,mostra la lista delle email recenti,0.7340927124023438,0.5,0.11428571428571428,0.05789300674674099,0.6666666666666666,0.6666666666666666,4.0
Wav2Vec2 XLSR Italian (Grosman),ho una sveglia impostata per domani mattina,ho una sveglia impostata per domani mattina,0.7547817230224609,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),avrò bisogno di spalare il mio vialetto questa mattina,avrò bisogno di spalare il mio vialetto questa mattina,0.7029523849487305,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),mostra i dettagli geografici delle piramidi,mostra i dettagli geografici delle piramidi,0.6495091915130615,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),riproduci canzoni di mino,riproduci canzoni di mina,0.5976622104644775,0.25,0.04,0.3976353643835253,0.75,0.75,1.0
Wav2Vec2 XLSR Italian (Grosman),sai come il tempo,sai com'è il tempo,0.37267041206359863,0.25,0.1111111111111111,0.1880301546543197,0.75,0.75,2.0
Wav2Vec2 XLSR Italian (Grosman),riproduce un po' di musica jazz,riproduci un po' di musica jazz,0.6561534404754639,0.16666666666666666,0.03225806451612903,0.7598356856515925,0.8333333333333334,0.8333333333333334,1.0
Wav2Vec2 XLSR Italian (Grosman),invia un emeila giuseppe chioccio raggime  com,invia una email a giuseppe chiocciola gmail punto com,0.7725338935852051,0.6666666666666666,0.2830188679245283,0.03266828640925502,0.375,0.375,15.0
Wav2Vec2 XLSR Italian (Grosman),imposta questo evento come ricorrente sul mio calendario,imposta questo evento come ricorrente sul mio calendario,0.732536792755127,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),che giorno della settimana è il primo di aprile,che giorno della settimana è il primo di aprile,0.6880981922149658,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),come stai oggi,come stai oggi,0.33217740058898926,0.0,0.0,0.5623413251903491,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),oggi cos'è la cosa più cercata su roogle,oggi cos'è la cosa più cercata su google,0.732966423034668,0.125,0.025,0.8408964152537145,0.875,0.875,1.0
Wav2Vec2 XLSR Italian (Grosman),nel mio calendario rimuovi tutti gli eventi di calcio del mese corrente,nel mio calendario rimuovi tutti gli eventi di calcio del mese corrente,0.816727876663208,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),suona la mia colonna sonora,suona la mia colonna sonora,0.5717723369598389,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),la città è più economica o più costosa per vivere,la città è più economica o più costosa per vivere,0.6317064762115479,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),apri l'ap della musica e riproduce una canzone,apri l'app della musica e riproduci una canzone,0.711958646774292,0.25,0.0425531914893617,0.18092176081223305,0.7777777777777778,0.7777777777777778,2.0
Wav2Vec2 XLSR Italian (Grosman),ricette per preparare un pasto,ricette per preparare un pasto,0.611443281173706,0.0,0.0,1.0,1.0,1.0,0.0
