model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
Wav2Vec2 XLSR Italian (Grosman),0.25,0.07692307692307693,0.4366835442847812,0.8333333333333334,4.0,1.3948266506195068
Wav2Vec2 XLSR Italian (Grosman),0.14285714285714285,0.01818181818181818,0.6997522298221912,0.9285714285714286,2.0,1.4236268997192383
Wav2Vec2 XLSR Italian (Grosman),0.375,0.0847457627118644,0.5873949094699213,0.9,5.0,0.956693172454834
Wav2Vec2 XLSR Italian (Grosman),0.3333333333333333,0.043478260869565216,0.21711852081087685,1.0,2.0,0.8225321769714355
Wav2Vec2 XLSR Italian (Grosman),0.07142857142857142,0.024390243902439025,0.9193227152249185,1.0,2.0,1.0863656997680664
Wav2Vec2 XLSR Italian (Grosman),0.14285714285714285,0.021505376344086023,0.7744031410142033,0.9230769230769231,2.0,1.209859848022461
Wav2Vec2 XLSR Italian (Grosman),0.16666666666666666,0.025974025974025976,0.6340466277046861,0.9166666666666666,2.0,0.8457210063934326
Wav2Vec2 XLSR Italian (Grosman),0.2857142857142857,0.0875,0.45723134461864345,0.7692307692307693,7.0,1.6726479530334473
Wav2Vec2 XLSR Italian (Grosman),0.1,0.013513513513513514,0.8801117367933934,1.0,1.0,1.095736026763916
Wav2Vec2 XLSR Italian (Grosman),0.2222222222222222,0.03773584905660377,0.5133450480401704,0.8421052631578948,2.0,0.9377937316894531
Wav2Vec2 XLSR Italian (Grosman),0.25,0.07142857142857142,0.6315552371794037,0.8148148148148148,6.0,1.155578851699829
Wav2Vec2 XLSR Italian (Grosman),0.1,0.05555555555555555,0.8801117367933934,0.8888888888888888,3.0,0.731410026550293
Wav2Vec2 XLSR Italian (Grosman),0.3333333333333333,0.21311475409836064,0.37700638045494705,0.6666666666666666,13.0,1.4775021076202393
Wav2Vec2 XLSR Italian (Grosman),0.2727272727272727,0.03614457831325301,0.5193071778680676,1.0,3.0,1.1673238277435303
Wav2Vec2 XLSR Italian (Grosman),0.14285714285714285,0.02040816326530612,0.8091067115702212,1.0,1.0,1.0076007843017578
Wav2Vec2 XLSR Italian (Grosman),0.08333333333333333,0.011363636363636364,0.9036020036098448,1.0,1.0,1.2038557529449463
Wav2Vec2 XLSR Italian (Grosman),0.5555555555555556,0.11320754716981132,0.3155984539112945,0.5555555555555556,6.0,1.1894540786743164
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,0.316227766016838,1.0,0.0,0.6196861267089844
Wav2Vec2 XLSR Italian (Grosman),0.3,0.07272727272727272,0.537284965911771,0.7777777777777778,4.0,1.06693434715271
Wav2Vec2 XLSR Italian (Grosman),0.25,0.1,0.23119742295813953,0.75,5.0,1.1193270683288574
Wav2Vec2 XLSR Italian (Grosman),0.25,0.03614457831325301,0.4063798282013443,0.9090909090909091,3.0,1.1212830543518066
Wav2Vec2 XLSR Italian (Grosman),0.2,0.034482758620689655,0.5814307369682193,0.9473684210526316,2.0,0.8931605815887451
Wav2Vec2 XLSR Italian (Grosman),0.18181818181818182,0.04918032786885246,0.7963580315032781,0.9090909090909091,3.0,0.9537408351898193
Wav2Vec2 XLSR Italian (Grosman),0.2857142857142857,0.0847457627118644,0.5410822690539396,0.9333333333333333,5.0,1.1430587768554688
Wav2Vec2 XLSR Italian (Grosman),0.16666666666666666,0.025,0.7292571723872933,1.0,2.0,1.806725263595581
Wav2Vec2 XLSR Italian (Grosman),0.125,0.018867924528301886,0.8408964152537145,1.0,1.0,0.7095592021942139
Wav2Vec2 XLSR Italian (Grosman),0.3,0.04918032786885246,0.6496350258549114,0.9090909090909091,3.0,1.2067029476165771
Wav2Vec2 XLSR Italian (Grosman),0.1111111111111111,0.014925373134328358,0.8633400213704505,1.0,1.0,1.1137022972106934
Wav2Vec2 XLSR Italian (Grosman),0.14285714285714285,0.022222222222222223,0.6997522298221912,1.0,2.0,1.1062517166137695
Wav2Vec2 XLSR Italian (Grosman),0.125,0.017241379310344827,0.8408964152537145,1.0,1.0,0.7529070377349854
Wav2Vec2 XLSR Italian (Grosman),0.36363636363636365,0.10606060606060606,0.4088064519392259,0.8421052631578948,7.0,1.013134479522705
Wav2Vec2 XLSR Italian (Grosman),0.45454545454545453,0.15789473684210525,0.2620251007173262,0.7272727272727273,9.0,1.3572516441345215
Wav2Vec2 XLSR Italian (Grosman),0.2,0.023529411764705882,0.5253819788848316,1.0,2.0,1.2006521224975586
Wav2Vec2 XLSR Italian (Grosman),0.07142857142857142,0.01098901098901099,0.9193227152249185,1.0,1.0,1.3094286918640137
Wav2Vec2 XLSR Italian (Grosman),0.42857142857142855,0.056338028169014086,0.41113361690051975,1.0,4.0,1.6666674613952637
Wav2Vec2 XLSR Italian (Grosman),0.14285714285714285,0.02654867256637168,0.7272454093000141,1.0,3.0,1.4777300357818604
Wav2Vec2 XLSR Italian (Grosman),0.15384615384615385,0.022727272727272728,0.7539221180326288,1.0,2.0,1.2963957786560059
Wav2Vec2 XLSR Italian (Grosman),0.5,0.08695652173913043,0.16990442448471224,1.0,2.0,0.8493642807006836
Wav2Vec2 XLSR Italian (Grosman),0.375,0.08888888888888889,0.3655552228545123,0.7777777777777778,4.0,1.2239527702331543
Wav2Vec2 XLSR Italian (Grosman),0.125,0.016129032258064516,0.8408964152537145,1.0,1.0,1.091217279434204
Wav2Vec2 XLSR Italian (Grosman),0.18181818181818182,0.03636363636363636,0.587728372510532,1.0,2.0,0.8732023239135742
Wav2Vec2 XLSR Italian (Grosman),0.125,0.022727272727272728,0.8408964152537145,1.0,1.0,0.9489262104034424
Wav2Vec2 XLSR Italian (Grosman),0.09090909090909091,0.014925373134328358,0.8931539818068694,1.0,1.0,1.0779495239257812
Wav2Vec2 XLSR Italian (Grosman),0.45454545454545453,0.060240963855421686,0.13712233890675465,0.7272727272727273,5.0,1.5278871059417725
Wav2Vec2 XLSR Italian (Grosman),0.2857142857142857,0.0625,0.6147881529512643,1.0,3.0,0.9562304019927979
Wav2Vec2 XLSR Italian (Grosman),0.08333333333333333,0.015151515151515152,0.9036020036098448,1.0,1.0,1.0498249530792236
Wav2Vec2 XLSR Italian (Grosman),0.2222222222222222,0.05263157894736842,0.43167001068522526,0.8888888888888888,3.0,1.1812679767608643
Wav2Vec2 XLSR Italian (Grosman),0.125,0.02,0.8408964152537145,1.0,1.0,1.0740532875061035
Wav2Vec2 XLSR Italian (Grosman),0.07692307692307693,0.012658227848101266,0.912167909070388,1.0,1.0,1.0924336910247803
Wav2Vec2 XLSR Italian (Grosman),0.8333333333333334,0.15873015873015872,0.392814650900513,0.6,10.0,1.1152846813201904
Wav2Vec2 XLSR Italian (Grosman),0.25,0.03125,0.4111336169005197,1.0,2.0,0.8284831047058105
Wav2Vec2 XLSR Italian (Grosman),0.1111111111111111,0.014285714285714285,0.8633400213704505,1.0,1.0,1.0563280582427979
Wav2Vec2 XLSR Italian (Grosman),0.16666666666666666,0.029411764705882353,0.7292571723872933,0.9166666666666666,2.0,1.354637622833252
Wav2Vec2 XLSR Italian (Grosman),0.18181818181818182,0.041666666666666664,0.587728372510532,0.9166666666666666,3.0,0.8804898262023926
Wav2Vec2 XLSR Italian (Grosman),0.36363636363636365,0.09090909090909091,0.13712233890675465,1.0,7.0,1.2606005668640137
Wav2Vec2 XLSR Italian (Grosman),0.6,0.15625,0.20205155046766235,0.6666666666666665,5.0,0.8488593101501465
Wav2Vec2 XLSR Italian (Grosman),0.14285714285714285,0.02040816326530612,0.8091067115702212,1.0,1.0,0.916968822479248
Wav2Vec2 XLSR Italian (Grosman),0.1111111111111111,0.02,0.8633400213704505,1.0,1.0,0.9444959163665771
