model,text,reference,time,cost,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
gemini-2.0-flash-lite,"Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione dell'articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR98U, alle ore 21:15 del 13 marzo 2025.","Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR098YU, alle ore 21:15 del 13/03/2025.",2.0174472332000732,3.530936679840088e-05,0.17647058823529413,0.05188679245283019,0.7549638711508062,0.9210526315789473,0.9210526315789473,11.0
gemini-2.0-flash-lite,"Sono l'agente Carlo Bruni, alle ore 15:03 del 24 marzo 2025. Ho rilevato un'infrazione per sosta davanti a passo carrabile in via Etnea 45, Catania, veicolo Volkswagen Golf, targa TR98U.","Sono l'agente Carlo Bruni. Alle ore 15:03 del 24/03/2025, ho rilevato un'infrazione per sosta davanti a passo carrabile in via Etnea 45, Catania. Veicolo: Volkswagen Golf, targa TR098YU.",18.456009070294783,0.00023107210884353743,0.32142857142857145,0.08602150537634409,0.5019994686220947,0.9393939393939394,0.9393939393939394,16.0
gemini-2.0-flash-lite,"Sono l'agente Anna Bianchi, alle ore 00:16 del 14 marzo 2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano 24, Torino, veicolo Volkswagen Golf, targa FG 234 LM.
","Sono l'agente Anna Bianchi. Alle ore 00:16 del 14/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano 24, Torino. Veicolo: Volkswagen Golf, targa FG234LM.",16.098004535147393,0.0002030760544217687,0.37037037037037035,0.07526881720430108,0.4849576058746578,0.9090909090909091,0.9090909090909091,15.0
gemini-2.0-flash-lite,"Sono l'agente Carlo Bruni, alle ore 15:03 del 24 marzo 2025. Ho rilevato un'infrazione per sosta davanti a passo carrabile in via Etnea 45, Catania, veicolo Volkswagen Golf, targa TR98U.","Sono l'agente Carlo Bruni. Alle ore 15:03 del 24/03/2025, ho rilevato un'infrazione per sosta davanti a passo carrabile in via Etnea 45, Catania. Veicolo: Volkswagen Golf, targa TR098YU.",18.456009070294783,0.00023107210884353743,0.32142857142857145,0.08602150537634409,0.5019994686220947,0.9393939393939394,0.9393939393939394,16.0
gemini-2.0-flash-lite,"Agente Silvia Neri in servizio. Segnalazione di doppia fila alle 00:38 del 6 marzo 2025. In Piazza Venezia, Roma, auto coinvolta, Renault Clio, targa XY987ZT.
","Agente Silvia Neri in servizio. Segnalazione di doppia fila alle 00:38 del 06/03/2025, in piazza Venezia, Roma. Auto coinvolta: Renault Clio, targa XY987ZT.",14.152018140589568,0.0001779242176870748,0.34782608695652173,0.08974358974358974,0.5538142279874649,0.9230769230769231,0.9230769230769231,15.0
gemini-2.0-flash-lite,"Infrazione riscontrata. Acceso vietato. Posizione: Via del Corso 12, Roma. Zona: Via del 52. Data: 16 marzo 2025. Auto: Volkswagen Golf. Targa: H L 321, agente: Carlo Bruno.
","Infrazione riscontrata: accesso vietato. Posizione: via del Corso 12, Roma. Ora: 02:52, Data: 16/03/2025. Auto: Volkswagen Golf, targa KL321MN. Agente: Carlo Bruni.",20.4,0.0002538,0.7727272727272727,0.2073170731707317,0.12231772169405129,0.7169811320754718,0.7169811320754718,35.0
gemini-2.0-flash-lite,"Sono l'agente Carlo Bruni, alle ore 13:26 del 9 marzo 2025. Ho rilevato un'infrazione per parcheggio su strisce pedonali in via Etnea 45, Catania, veicolo Toyota Yaris, targa GH789IE.","Sono l'agente Carlo Bruni. Alle ore 13:26 del 09/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Etnea 45, Catania. Veicolo: Toyota Yaris, targa GH789IJ.",15.633015873015873,0.0001968961904761905,0.3333333333333333,0.08791208791208792,0.4818168871787183,0.90625,0.90625,16.0
gemini-2.0-flash-lite,"Agente Sara Bellini in servizio. Segnalazione di accesso vietato alle 26 minuti dell'8 marzo 2025. In via Garibaldi 11, Firenze, auto coinvolta, Toyota Yaris, targa XY987ZT.","Agente Sara Bellini in servizio. Segnalazione di accesso vietato alle 20:06 del 08/03/2025, in via Garibaldi 11, Firenze. Auto coinvolta: Toyota Yaris, targa XY987ZT.",17.88,0.00022295999999999997,0.375,0.13253012048192772,0.49153200218443144,0.8148148148148148,0.8148148148148148,22.0
gemini-2.0-flash-lite,"Il giorno 11 marzo 2025, alle ore 15:06, è stata segnalata un'infrazione per accesso vietato in corso Buenos Aires 98, Milano, veicolo coinvolto, Toyota Yaris, targa FG234LM, agente, Giulia Costa.","Il giorno 11/03/2025, alle ore 15:06, è stata segnalata un’infrazione per accesso vietato in corso Buenos Aires 98, Milano. Veicolo coinvolto: Toyota Yaris, targa FG234LM. Agente: Giulia Costa.",20.59201814058957,0.0002567042176870748,0.32142857142857145,0.07253886010362694,0.46046351600274404,0.967741935483871,0.967741935483871,14.0
gemini-2.0-flash-lite,"Durante il pattugliamento in zona via Milano 24, Torino, l'agente Carlo Bruni ha rilevato una violazione dell'articolo 7, comma 15. L'auto coinvolta è una Mercedes classe A targata XY987ZT alle ore 8:13 del 5 marzo 2025.
","Durante il pattugliamento in zona via Milano 24, Torino, l'agente Carlo Bruni ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Mercedes Classe A targata XY987ZT, alle ore 08:13 del 05/03/2025.",17.885986394557822,0.00022603183673469387,0.22857142857142856,0.0593607305936073,0.6488392066244492,0.8974358974358975,0.8974358974358975,14.0
