model,text,reference,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Vosk STT (Small IT),anche io poi si rivelo e lo pan di dar,anche yu poi si ribellò a shun e lo bandì dal regno.,0.3125612735748291,0.5833333333333334,0.4230769230769231,0.05464286595434615,0.45454545454545453,0.45454545454545453,22.0
Vosk STT (Small IT),sono presenti alcuni plastici riproduce battaglia medievali tra lucchese e modenese risalenti al medioevo,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,0.4004216194152832,0.42857142857142855,0.07272727272727272,0.22718709780542318,0.6428571428571429,0.6428571428571429,8.0
Vosk STT (Small IT),l'ex viktor ha suonato tutti gli strumenti nella canzone,"l'ex-""beatle"" ha suonato tutti gli strumenti nella canzone.",0.2970139980316162,0.375,0.15254237288135594,0.5873949094699213,0.9,0.9,9.0
Vosk STT (Small IT),l'anno seguente torna nuovamente nell'ottanta,"l'anno seguente, tornò nuovamente nello honka.",0.2729015350341797,0.6666666666666666,0.17391304347826086,0.05231223689135342,0.5714285714285714,0.5714285714285714,8.0
Vosk STT (Small IT),sulla marina militare italiane la royal nevi possiedono unita di questo ti,solo la marina militare italiana e la royal navy possiedono unità di questo tipo..,0.3165895938873291,0.5,0.14634146341463414,0.05488684910025907,0.5384615384615384,0.5384615384615384,12.0
Vosk STT (Small IT),la basilica del beata vergine maria e un'importante centro di pellegrinaggio della porta,la basilica della beata vergine maria è un importante centro di pellegrinaggio della polonia.,0.35071825981140137,0.35714285714285715,0.0967741935483871,0.28863046226018724,0.8148148148148148,0.8148148148148148,9.0
Vosk STT (Small IT),per vendetta timide mi desiderati diventare il bambino piu forte della spiace,per vendetta timmy desidera di diventare il bagnino più forte della spiaggia.,0.27744436264038086,0.5,0.19480519480519481,0.06238986072117501,0.5,0.5,15.0
Vosk STT (Small IT),la città e se tu yatta nelle noi ma nella regioni del nuovo galles del sud,la città è situata nelle snowy mountains nella regione del nuovo galles del sud.,0.5240864753723145,0.5714285714285714,0.225,0.195647514979229,0.6206896551724138,0.6206896551724138,18.0
Vosk STT (Small IT),immersioni ricreative nascono dal nord e dalla pesca subacquea,le immersioni ricreative nascono dallo snorkeling e dalla pesca subacquea.,0.3474249839782715,0.4,0.17567567567567569,0.17861170664603615,0.7368421052631577,0.7368421052631577,13.0
Vosk STT (Small IT),il signor ricci disse che l'euro si valuterà ancora,il signor ricci disse che l'euro si svaluterà ancora.,0.23407530784606934,0.2222222222222222,0.03773584905660377,0.7259795291154771,0.9,0.9,2.0
Vosk STT (Small IT),l'aereo sorvola l'isola obbligando così il giocatore a proseguire la sua avventura,"l'aereo sorvola l'isola, obbligando così il giocatore a proseguire la sua avventura.",0.3423905372619629,0.16666666666666666,0.023809523809523808,0.670422683816333,1.0,1.0,2.0
Vosk STT (Small IT),la storia e narrata in prima persona da jeans forre,la storia è narrata in prima persona da james farrell.,0.2692995071411133,0.3,0.14814814814814814,0.4518010018049224,0.7368421052631577,0.7368421052631577,8.0
