model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
gemini-1.5-pro,0.17647058823529413,0.05188679245283019,0.7549638711508062,0.9210526315789473,12.0,16.194013605442176
gemini-1.5-pro,0.25,0.06451612903225806,0.6387390016474043,0.9393939393939394,13.0,18.456009070294783
gemini-1.5-pro,0.25925925925925924,0.06451612903225806,0.5584477172924733,0.96875,13.0,16.098004535147393
gemini-1.5-pro,0.25,0.06451612903225806,0.6387390016474043,0.9393939393939394,13.0,18.456009070294783
gemini-1.5-pro,0.17391304347826086,0.0641025641025641,0.7267072830982378,0.9230769230769231,11.0,14.152018140589568
gemini-1.5-pro,0.4090909090909091,0.10365853658536585,0.3207714281451772,0.8399999999999999,18.0,20.4
gemini-1.5-pro,0.3333333333333333,0.08241758241758242,0.402762965093358,0.90625,16.0,15.633015873015873
gemini-1.5-pro,0.25,0.0783132530120482,0.60066011121956,0.8888888888888888,14.0,17.88
gemini-1.5-pro,0.21428571428571427,0.05181347150259067,0.5716248874063952,0.967741935483871,11.0,20.59201814058957
gemini-1.5-pro,0.3142857142857143,0.0867579908675799,0.5534074871684472,0.7948717948717948,20.0,17.885986394557822
gemini-1.5-pro,0.18518518518518517,0.04838709677419355,0.6590206582419382,0.9333333333333333,10.0,20.424036281179138
gemini-1.5-pro,0.20588235294117646,0.08878504672897196,0.7330574947600488,0.9090909090909091,20.0,20.64
gemini-1.5-pro,0.2413793103448276,0.06593406593406594,0.6241886696801318,0.8823529411764706,13.0,18.456009070294783
gemini-1.5-pro,0.37037037037037035,0.08888888888888889,0.3600167847773199,0.9375,17.0,17.52
gemini-1.5-pro,0.36363636363636365,0.0755813953488372,0.3259889346257788,0.88,14.0,21.528027210884353
gemini-1.5-pro,0.3333333333333333,0.10843373493975904,0.37255279313393647,0.8888888888888888,19.0,19.45501133786848
gemini-1.5-pro,0.2,0.053475935828877004,0.6740433269994325,0.9655172413793104,11.0,22.23201814058957
gemini-1.5-pro,0.65,0.16352201257861634,0.06262309791219224,0.8260869565217391,27.0,17.1
gemini-1.5-pro,0.391304347826087,0.20689655172413793,0.4671778989333441,0.8518518518518519,37.0,18.326984126984126
gemini-1.5-pro,0.2,0.0502283105022831,0.7184881055393693,0.9230769230769231,12.0,22.686303854875284
gemini-1.5-pro,0.391304347826087,0.20689655172413793,0.4671778989333441,0.8518518518518519,37.0,18.326984126984126
gemini-1.5-pro,0.14285714285714285,0.041474654377880185,0.8385130047130208,0.9487179487179487,10.0,18.168979591836734
gemini-1.5-pro,0.17142857142857143,0.045662100456621,0.7867472403124429,0.9230769230769231,11.0,22.686303854875284
