model,text,reference,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Vosk STT (Small IT),durante il pattugliamento in zona via milano ventiquattro torino l'agente mario russia rilevato una violazione dell'articolo sette coma quindici l'auto coinvolta e una fiat panda targata ti le novantotto io alle ore ventuno e quindici del tredici marzo duemilaventicinque,"Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR098YU, alle ore 21:15 del 13/03/2025.",0.847510814666748,0.7647058823529411,0.5188679245283019,0.14362555317755926,0.625,0.625,110.0
Vosk STT (Small IT),verbale di intrattiene redatto dal tanti di quei ventidue ma quattro e cinquanta di tutti e due contro due sai quanto tutto il stanca trecentottantuno vedermi,"Verbale di infrazione redatto dall'agente Luca Verdi. Data: 22/03/2025, ora: 04:52. Infrazione: doppia fila. Luogo: corso Buenos Aires 98, Milano. Veicolo: Opel Corsa, targa KL321MN.",1.6769096851348877,0.96,0.6648351648351648,0.008640609739997756,0.10909090909090909,0.10909090909090909,121.0
Vosk STT (Small IT),sono l'agente anna bianchi alle ore mezzanotte sedici del quattordici marzo duemilaventicinque ho rilevato un'infrazione per parcheggio su strisce pedonali invia milano ventiquattro torino veicolo full vaga in golf targa jeff duecentotrentaquattro,"Sono l'agente Anna Bianchi. Alle ore 00:16 del 14/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano 24, Torino. Veicolo: Volkswagen Golf, targa FG234LM.",0.8108763694763184,0.7407407407407407,0.6021505376344086,0.23715535229161464,0.696969696969697,0.6666666666666667,112.0
Vosk STT (Small IT),sono l'agente carlo bruni alle ore quindici e tre minuti del ventiquattro marzo duemilaventicinque ho rilevato un'infrazione per sosta davanti a passo carabine in via etna quarantacinque catania veicolo full ex vaga in golf targa jerry novantotto,"Sono l'agente Carlo Bruni. Alle ore 15:03 del 24/03/2025, ho rilevato un'infrazione per sosta davanti a passo carrabile in via Etnea 45, Catania. Veicolo: Volkswagen Golf, targa TR098YU.",0.8715674877166748,0.8214285714285714,0.6129032258064516,0.21457149286802543,0.638888888888889,0.638888888888889,114.0
Vosk STT (Small IT),agente silvia neri in servizio segnalazione di doppia fila alle mezzanotte trentotto del sei marzo duemilaventicinque in piazza venezia roma auto coinvolta reno clio targa icsi ypsilon trecentottantasette zitta,"Agente Silvia Neri in servizio. Segnalazione di doppia fila alle 00:38 del 06/03/2025, in piazza Venezia, Roma. Auto coinvolta: Renault Clio, targa XY987ZT.",0.7730631828308105,0.8695652173913043,0.6538461538461539,0.10601317434781207,0.6909090909090909,0.6909090909090909,102.0
Vosk STT (Small IT),infrazione di proprietà del tuo cinquantadue vittima di un da qualche parte a tal punto che tu farlo tu,"Infrazione riscontrata: accesso vietato. Posizione: via del Corso 12, Roma. Ora: 02:52, Data: 16/03/2025. Auto: Volkswagen Golf, targa KL321MN. Agente: Carlo Bruni.",2.0887930393218994,0.9545454545454546,0.7134146341463414,0.008695177151548692,0.0909090909090909,0.0909090909090909,117.0
Vosk STT (Small IT),sono l'agente carlo bruni alle ore tredici e ventisei del nove marzo duemilaventicinque oh rilevata un'infrazione per parcheggio su strisce pedonali in via ne quarantacinque catania veicolo tooth aris targa gia sette centottantanove,"Sono l'agente Carlo Bruni. Alle ore 13:26 del 09/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Etnea 45, Catania. Veicolo: Toyota Yaris, targa GH789IJ.",0.8179829120635986,0.7777777777777778,0.5714285714285714,0.22506782731403724,0.5970149253731343,0.5970149253731343,104.0
Vosk STT (Small IT),agente sara bellini in servizio segnalazione di accesso vietato alle venti e sei minuti dell'otto marzo duemilaventicinque in via garibaldi undici firenze auto coinvolta tooth aris targa icsi ypsilon novecentottanta sette gettati,"Agente Sara Bellini in servizio. Segnalazione di accesso vietato alle 20:06 del 08/03/2025, in via Garibaldi 11, Firenze. Auto coinvolta: Toyota Yaris, targa XY987ZT.",0.811406135559082,1.0,0.6626506024096386,0.09279771067975602,0.5666666666666667,0.5666666666666667,110.0
Vosk STT (Small IT),il giorno undici marzo duemilaventicinque alle ore quindici e sei minuti e stata segnalata un'infrazione per accesso vietato in corso buenos aires novantotto milano veicolo coinvolto tooth aris targa jeff duecentotrentaquattro agente giulia cosa,"Il giorno 11/03/2025, alle ore 15:06, è stata segnalata un’infrazione per accesso vietato in corso Buenos Aires 98, Milano. Veicolo coinvolto: Toyota Yaris, targa FG234LM. Agente: Giulia Costa.",0.9120872020721436,0.8214285714285714,0.5595854922279793,0.13734019643223405,0.6363636363636364,0.6363636363636364,108.0
Vosk STT (Small IT),durante il pattugliamento di andare da ritardo tu mi ha fatto un violazione dell'articolo te con l'auto coinvolta la sia targata novecentottanta sta' attento alle otto tredici vestito marco duemilaventicinque,"Durante il pattugliamento in zona via Milano 24, Torino, l'agente Carlo Bruni ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Mercedes Classe A targata XY987ZT, alle ore 08:13 del 05/03/2025.",1.614478588104248,0.8571428571428571,0.5844748858447488,0.015289096940926715,0.3098591549295775,0.3098591549295775,128.0
Vosk STT (Small IT),il giorno diciassette marzo duemilaventicinque alle ore otto e quattordici stata segnalata un'infrazione per accesso vietato in via roma settantasette palermo veicolo coinvolto full ex vaga in golf targa icsi ypsilon novecentottanta sette gettati agente mario rosa,"Il giorno 17/03/2025, alle ore 08:14, è stata segnalata un’infrazione per accesso vietato in via Roma 77, Palermo. Veicolo coinvolto: Volkswagen Golf, targa XY987ZT. Agente: Mario Rossi.",0.8747241497039795,0.9629629629629629,0.7258064516129032,0.12572191857286008,0.6176470588235295,0.6176470588235295,135.0
Vosk STT (Small IT),durante il pattugliamento in zona via napoli cinque napoli l'agente carlo bruni a rilevato una violazione dell'articolo centocinquantotto comma due l'auto coinvolta e una reno clio targata cappelle trecentoventi uno megan houston alle ore dieci e diciassette del diciannove marzo duemilaventicinque,"Durante il pattugliamento in zona via Napoli 5, Napoli, l'agente Carlo Bruni ha rilevato una violazione del articolo 158, comma 2. L'auto coinvolta è una Renault Clio targata KL321MN, alle ore 10:17 del 19/03/2025.",0.8995265960693359,0.7647058823529411,0.6401869158878505,0.13856514146716278,0.6341463414634148,0.6341463414634148,137.0
Vosk STT (Small IT),in base a l'articolo centocinquantasette comma cinque l'agente silvia neri a riscontrato un'infrazione in via milano ventiquattro torino alle ore quindici e ventisei del nove marzo duemilaventicinque veicolo coinvolto audi a tre targa ti jerry novantotto,"In base al articolo 157, comma 5, l'agente Silvia Neri ha riscontrato un'infrazione in via Milano 24, Torino alle ore 15:26 del 09/03/2025. Veicolo coinvolto: Audi A3, targa TR098YU.",0.8026678562164307,0.8620689655172413,0.6593406593406593,0.08882389583994751,0.6027397260273972,0.6027397260273972,120.0
