model,text,reference,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Whisper Tiny (OpenAI)," durante il patuglamento in zona vi a 194, torino, l'agente mario rossi ha rilevat una violazione dell'articolo 7, com ma 15, l'auto coinvolta è una fiat panda tagata tierre 98.io, alle ore 21 e 15 del 3 di marzo 2025.","Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR098YU, alle ore 21:15 del 13/03/2025.",0.8807632923126221,0.7941176470588235,0.22169811320754718,0.042266572401851284,0.6666666666666666,0.6666666666666666,48.0
Whisper Distilled IT (bofenghuang),"durante il pattugliamento in zona via milano 24 torino, l'agente mario rossi ha rilevato una violazione dell'articolo 7,15 l'auto coinvolta è una fiat panda targata tr98 u alle ore 21.15 del 13 marzo 2025.","Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR098YU, alle ore 21:15 del 13/03/2025.",8.978795051574707,0.5882352941176471,0.15566037735849056,0.2289835185065093,0.8947368421052632,0.8947368421052632,33.0
Faster Whisper Tiny (Turbo)," durante il patugliamento in zona vi amilano 24, torino, l'agente mario rossi ha rilevat una violazione dell'articolo 7, come a 15, l'auto coinvolta è una fiat panda tagata tierre 98.io, alle ore 21 e 15 del 35 marzo 2020.","Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR098YU, alle ore 21:15 del 13/03/2025.",0.8142046928405762,0.7352941176470589,0.19339622641509435,0.04414964427731762,0.6749999999999999,0.6749999999999999,42.0
Vosk STT (Small IT),durante il pattugliamento in zona via milano ventiquattro torino l'agente mario russia rilevato una violazione dell'articolo sette coma quindici l'auto coinvolta e una fiat panda targata ti le novantotto io alle ore ventuno e quindici del tredici marzo duemilaventicinque,"Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR098YU, alle ore 21:15 del 13/03/2025.",0.8565573692321777,0.7647058823529411,0.5188679245283019,0.14362555317755926,0.625,0.625,110.0
Wav2Vec2 XLSR Italian (Grosman),durante il pattugliamento in zona via milano ventiquattro torino la gente mario rossi ha rilevato una violazione dellarticolo sette coma quindici l'auto coinvolta a una fiatpand a targata tr novantotto you alle ore ventuno i quindici del tredici marzo duemila venticinque,"Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR098YU, alle ore 21:15 del 13/03/2025.",2.386651039123535,0.7941176470588235,0.5141509433962265,0.1649662542496744,0.5500000000000002,0.5500000000000002,109.0
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),durante il patogliamento in zona fia milano vntuattr torino la cente mariorossia rilevato una violazione dellartcosette coma qudic lautocoinvolta eè una fia tpanta a trgata tierrenovanttto yù alle ore ventuno ai quidici del tredicimarzo duemilaente,"Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR098YU, alle ore 21:15 del 13/03/2025.",6.7262749671936035,0.8235294117647058,0.5094339622641509,0.042238868712683265,0.35616438356164387,0.35616438356164387,108.0
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",durante il pattogliamento in zona via milano ventiquattro torino lagente mariorossia rilevato una violazione dellarticolo sette com a quindici lautogoinvolta è una fiatbanda attargata tierre novantottoyu al leore ventuno i quindici del tredici marzo due mila venticinque,"Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR098YU, alle ore 21:15 del 13/03/2025.",2.7770442962646484,0.8823529411764706,0.5566037735849056,0.050117246628245134,0.3243243243243243,0.3243243243243243,118.0
Whisper Tiny (OpenAI)," per vari gli intratzone le dacchie da la danse litrave, da ben figui mazie di milare in pichina, o, quattro in cinconcavi in cacchio, docchio fin, uomo, controbuo in cairacino vantocca, milano, genito, govente, tagata a la tre centodincino in medanizia.","Verbale di infrazione redatto dall'agente Luca Verdi. Data: 22/03/2025, ora: 04:52. Infrazione: doppia fila. Luogo: corso Buenos Aires 98, Milano. Veicolo: Opel Corsa, targa KL321MN.",1.5398752689361572,1.6,0.9615384615384616,0.004503778123700044,0.05714285714285715,0.05714285714285715,176.0
Whisper Distilled IT (bofenghuang),"verbale di infrazione redatto dall'agente elisabetta. data 22 marzo 2025, 1, 4 e 52, infrazione, doppia fila, luogo, corso buenos aires-98, milano, gretoli, open scorza, saga kl 321 median italy.","Verbale di infrazione redatto dall'agente Luca Verdi. Data: 22/03/2025, ora: 04:52. Infrazione: doppia fila. Luogo: corso Buenos Aires 98, Milano. Veicolo: Opel Corsa, targa KL321MN.",13.97675108909607,0.96,0.3626373626373626,0.0860132510739358,0.6229508196721311,0.6229508196721311,66.0
Faster Whisper Tiny (Turbo)," per vari di impratzone le dacchia da l'agente l'interve.  dacca, l'intidue matte di mila di incitima.  o, quattro e incincontabile, incitio, docchio, docchio e muo.  contro buono ai recitino avanti.  milano, venito, docchio e state.  tagli attacca e l'etretente di incitino di mila di mila.","Verbale di infrazione redatto dall'agente Luca Verdi. Data: 22/03/2025, ora: 04:52. Infrazione: doppia fila. Luogo: corso Buenos Aires 98, Milano. Veicolo: Opel Corsa, targa KL321MN.",1.5052075386047363,1.76,1.120879120879121,0.004089349842971759,0.07692307692307693,0.07692307692307693,205.0
Vosk STT (Small IT),verbale di intrattiene redatto dal tanti di quei ventidue ma quattro e cinquanta di tutti e due contro due sai quanto tutto il stanca trecentottantuno vedermi,"Verbale di infrazione redatto dall'agente Luca Verdi. Data: 22/03/2025, ora: 04:52. Infrazione: doppia fila. Luogo: corso Buenos Aires 98, Milano. Veicolo: Opel Corsa, targa KL321MN.",2.1297357082366943,0.96,0.6648351648351648,0.008640609739997756,0.10909090909090909,0.10909090909090909,121.0
Wav2Vec2 XLSR Italian (Grosman),lervale di infrazione redatte dalla gende elitaventin  ant ventidue mazzo de nila vnticno lom quarto e cinqantaben  dutazio otezoi gli uomini vonte bue no tagliere cinnevantoto li an dentni openzon  dagantaffaello e pretentorentini medannito,"Verbale di infrazione redatto dall'agente Luca Verdi. Data: 22/03/2025, ora: 04:52. Infrazione: doppia fila. Luogo: corso Buenos Aires 98, Milano. Veicolo: Opel Corsa, targa KL321MN.",3.9955546855926514,1.28,0.8846153846153846,0.011577941920572241,0.0634920634920635,0.0634920634920635,161.0
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),verbale dinfrazione redato dalla gente lu caret  da sentidue mazzo dinla vegitin o os  quarco e sinqantadue infazion dopi pi loc sorto bueono caire si novancò nellàn deson copo il toto tagia tappaello el tresento dentuno meganute,"Verbale di infrazione redatto dall'agente Luca Verdi. Data: 22/03/2025, ora: 04:52. Infrazione: doppia fila. Luogo: corso Buenos Aires 98, Milano. Veicolo: Opel Corsa, targa KL321MN.",10.707961320877075,1.48,0.8021978021978022,0.0,0.029850746268656716,0.029850746268656716,146.0
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",verbaremintraczione redatedalatetenetare  da inidue marte de idarii  o uaste esinontare  uoio  gssi loconteruen saesinoranto  ian gilo ugeto sayasasael depresentorentino necani,"Verbale di infrazione redatto dall'agente Luca Verdi. Data: 22/03/2025, ora: 04:52. Infrazione: doppia fila. Luogo: corso Buenos Aires 98, Milano. Veicolo: Opel Corsa, targa KL321MN.",4.400823354721069,1.0,0.7197802197802198,0.0,0.0,0.0,131.0
Whisper Tiny (OpenAI)," sono la gente anabianchi, alle ore mezzanotte 16, del 14 marzo 2025. ho rilevato un infrazione per parqueggio su strisce pedonali in viamilano 24. torino, vicolo, volkswagen golf, targ fg 2304 lm.","Sono l'agente Anna Bianchi. Alle ore 00:16 del 14/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano 24, Torino. Veicolo: Volkswagen Golf, targa FG234LM.",1.1821682453155518,0.8518518518518519,0.26881720430107525,0.09557083774398005,0.625,0.625,51.0
Whisper Distilled IT (bofenghuang),"sono l'agente anna bianchi, alle ore mezzanotte 16 del 14 marzo 2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via milano 24. torino, veicolo, volkswagen golfa, targa fg 234 lm.","Sono l'agente Anna Bianchi. Alle ore 00:16 del 14/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano 24, Torino. Veicolo: Volkswagen Golf, targa FG234LM.",13.92409610748291,0.6666666666666666,0.20430107526881722,0.3006989501606863,0.8484848484848485,0.8484848484848485,38.0
Faster Whisper Tiny (Turbo)," sono la gente anabianchi, alle ore mezzanotte 16, del 14 marzo 2025, ho rilevato un'infrazione per  parqueggio su strice pedonali in viamilano 24. torino, vicolo, folk swaggan golf, targa fg 234 lm.","Sono l'agente Anna Bianchi. Alle ore 00:16 del 14/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano 24, Torino. Veicolo: Volkswagen Golf, targa FG234LM.",1.1134824752807617,0.8148148148148148,0.27419354838709675,0.09812163258584557,0.5846153846153846,0.5846153846153846,52.0
Vosk STT (Small IT),sono l'agente anna bianchi alle ore mezzanotte sedici del quattordici marzo duemilaventicinque ho rilevato un'infrazione per parcheggio su strisce pedonali invia milano ventiquattro torino veicolo full vaga in golf targa jeff duecentotrentaquattro,"Sono l'agente Anna Bianchi. Alle ore 00:16 del 14/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano 24, Torino. Veicolo: Volkswagen Golf, targa FG234LM.",1.016991138458252,0.7407407407407407,0.6021505376344086,0.23715535229161464,0.696969696969697,0.6666666666666667,112.0
