model,text,reference,time,cost,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
gemini-1.5-pro,"Agente Silvia Neri in servizio. Segnalazione di divieto di sosta al leone,  one del Forte tra le 20:25 in via Roma 77, Palermo. Auto coinvolta,  Volkswagen Jetta, targa  ZA450RFC.
","Agente Silvia Neri in servizio. Segnalazione di divieto di sosta alle 01:01 del 14/03/2025, in via Roma 77, Palermo. Auto coinvolta: Volkswagen Golf, targa ZA456QP.",15.90702947845805,0.00333640589569161,0.4,0.22560975609756098,0.4864547353242454,0.689655172413793,0.689655172413793,38.0
gemini-1.5-pro,"Agente Giulia Costa in servizio. Segnalazione di divieto di sosta a Leone, Fiffione del Tirtitere tenti tenti fiue, in via Garibaldi,  Firenze. Auto coinvolta, Fiat Panda, targa BO130 tenti trenta e sei.
","Agente Giulia Costa in servizio. Segnalazione di divieto di sosta alle 01:51 del 30/03/2025, in via Garibaldi 11, Firenze. Auto coinvolta: Fiat Panda, targa AB123CD.",15.71501133786848,0.0033130022675736965,0.6,0.4121212121212121,0.36151920269854193,0.6666666666666666,0.6666666666666666,69.0
gemini-1.5-pro,"Sono la gente Anna Bianchi. Alle ore file, le vende il tir trentatré tenti tenti file. Ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano tenti foro, Torino. Veicolo, Polo Volkswagen, targa DO N G R E tir ti forma.
","Sono l'agente Anna Bianchi. Alle ore 05:11 del 13/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano 24, Torino. Veicolo: Volkswagen Golf, targa FG234LM.",16.54702947845805,0.0035294058956916096,0.9259259259259259,0.4838709677419355,0.279184049456884,0.5599999999999999,0.5599999999999999,91.0
gemini-1.5-pro,"Infrazione riscontrata: doppia fila.

Posizione: Corso Buenos Aires, n. 18, Milano.

Ora: 4:47. Data: 16/03/2025.

Auto: Renault Clio, targa AV1130RE.

Agente: Mario Rossi.
","Infrazione riscontrata: doppia fila. Posizione: corso Buenos Aires 98, Milano. Ora: 04:47, Data: 16/03/2025. Auto: Renault Clio, targa AB123CD. Agente: Mario Rossi.",19.20503401360544,0.003966006802721089,0.2727272727272727,0.12804878048780488,0.4426623526629488,0.8627450980392156,0.8627450980392156,22.0
gemini-1.5-pro,"Tentativo di rapina tentata tentativi di furto, vorrei specificare veicolo Bel Corsa targato BO numero di targa tentata rapina, incidente di sosta presso Piazza Venezia, Roma, rilevato da gente annaffiata.
","21/03/2025, ore 08:57: veicolo Opel Corsa, targa AB123CD, in divieto di sosta presso piazza Venezia, Roma. Rilevato da agente Anna Bianchi.",13.218004535147392,0.0028036009070294783,1.1428571428571428,0.8057553956834532,0.03819633968206938,0.4074074074074074,0.4074074074074074,113.0
gemini-1.5-pro,"In base all'articolo 186 comma 2, l'agente Marco Gentili ha riscontrato un'infrazione in via Garibaldi 8, Firenze alle ore 2:51 del 13/03/2023. Veicolo coinvolto: Fiat Panda, targa LN123SV.
","In base al articolo 158, comma 2, l'agente Marco Gentili ha riscontrato un'infrazione in via Garibaldi 11, Firenze alle ore 02:51 del 29/03/2025. Veicolo coinvolto: Fiat Panda, targa XY987ZT.",18.370022675736962,0.0038240045351473923,0.2413793103448276,0.08900523560209424,0.5411708973041027,0.7941176470588235,0.7941176470588235,18.0
gemini-1.5-pro,"Durante il pattugliamento in zona Piazza Venezia, Roma, l'agente Anna Bianchi ha rilevato una violazione dell'articolo 177 comma 5. L'auto coinvolta è una Volkswagen Golf targata [omissis] alle ore 10:37 del 17/10/2023.
","Durante il pattugliamento in zona piazza Venezia, Roma, l'agente Anna Bianchi ha rilevato una violazione del articolo 157, comma 5. L'auto coinvolta è una Volkswagen Golf targata FG234LM, alle ore 23:57 del 16/03/2025.",19.36204081632653,0.004042408163265307,0.21212121212121213,0.0963302752293578,0.6037580943107883,0.7837837837837838,0.7837837837837838,22.0
gemini-1.5-pro,"One Ford Transit, Tentifue, Orei, Kirtito, veicolo Fiat Panda, targato RL, numero Tenti One M, in doppia fila presso via Milano, Tentiforo, Torino. Rilevato da gente arrabbiata.
","01/04/2025, ore 08:32: veicolo Fiat Panda, targa KL321MN, in doppia fila presso via Milano 24, Torino. Rilevato da agente Anna Bianchi.",12.706031746031746,0.002686206349206349,0.8095238095238095,0.5925925925925926,0.21379550863272262,0.47058823529411764,0.47058823529411764,81.0
gemini-1.5-pro,"Verbale di infrazione redatto dall'agente Luca Verdi.
Data 13/10/2023, ora 10:26.
Infrazione: parcheggio su strisce pedonali.
Luogo: Corso Buenos Aires, n. 18.
Veicolo: Fiat Panda, targa AS123DE.
","Verbale di infrazione redatto dall'agente Luca Verdi. Data: 08/03/2025, ora: 22:16. Infrazione: parcheggio su strisce pedonali. Luogo: corso Buenos Aires 98, Milano. Veicolo: Fiat Panda, targa GH789IJ.",20.29301587301587,0.004203603174603174,0.5185185185185185,0.15422885572139303,0.47901455811287486,0.7419354838709677,0.7419354838709677,32.0
gemini-1.5-pro,"Il giorno 26/05/2025 alle ore 04:40 è stata segnalata un'infrazione per divieto di sosta in via Roma 77, Palermo. Veicolo coinvolto: Peugeot targa F0344. Agente: Silvia Neri.
","Il giorno 26/03/2025, alle ore 04:40, è stata segnalata un’infrazione per divieto di sosta in via Roma 77, Palermo. Veicolo coinvolto: Opel Corsa, targa FG234LM. Agente: Silvia Neri.",17.63501133786848,0.0036720022675736956,0.21428571428571427,0.09340659340659341,0.501821497934471,0.8852459016393444,0.8852459016393444,18.0
