model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
Wav2Vec2 XLSR Italian (Grosman),0.4090909090909091,0.21972318339100347,0.41515175399847476,0.7734806629834255,127.0,7.966650724411011
Wav2Vec2 XLSR Italian (Grosman),0.37349397590361444,0.2414448669201521,0.44403311256188893,0.7976878612716762,127.0,6.8636486530303955
Wav2Vec2 XLSR Italian (Grosman),0.4418604651162791,0.22357019064124783,0.3517486945699684,0.8085106382978724,129.0,7.401970148086548
Wav2Vec2 XLSR Italian (Grosman),0.4939759036144578,0.27898550724637683,0.2765045651311335,0.7017543859649124,154.0,7.531985282897949
Wav2Vec2 XLSR Italian (Grosman),0.4794520547945205,0.279296875,0.23140333327894344,0.7924528301886792,143.0,7.483359336853027
Wav2Vec2 XLSR Italian (Grosman),0.40540540540540543,0.2692307692307692,0.3615252833583586,0.7924528301886792,126.0,6.286729335784912
Wav2Vec2 XLSR Italian (Grosman),0.45569620253164556,0.208955223880597,0.3030935059844406,0.783625730994152,112.0,7.195068597793579
Wav2Vec2 XLSR Italian (Grosman),0.39759036144578314,0.2471042471042471,0.40047926085381447,0.7906976744186046,128.0,6.872140407562256
Wav2Vec2 XLSR Italian (Grosman),0.5135135135135135,0.3163265306122449,0.2820683370081247,0.732919254658385,155.0,6.601397752761841
Wav2Vec2 XLSR Italian (Grosman),0.5070422535211268,0.294,0.25495407085743893,0.7483870967741936,147.0,6.89595627784729
Wav2Vec2 XLSR Italian (Grosman),0.5066666666666667,0.29436325678496866,0.29983370904786144,0.674698795180723,141.0,6.515779495239258
Wav2Vec2 XLSR Italian (Grosman),0.41304347826086957,0.21484992101105846,0.3794314276377233,0.7916666666666666,136.0,8.377617120742798
Wav2Vec2 XLSR Italian (Grosman),0.5694444444444444,0.3132295719844358,0.22250031006847434,0.7051282051282052,161.0,7.177336692810059
Wav2Vec2 XLSR Italian (Grosman),0.3835616438356164,0.15195071868583163,0.41900086013538906,0.8133333333333334,74.0,5.799631595611572
Wav2Vec2 XLSR Italian (Grosman),0.40476190476190477,0.2560747663551402,0.42364370255994394,0.7752808988764045,137.0,7.012930154800415
Wav2Vec2 XLSR Italian (Grosman),0.4823529411764706,0.27387387387387385,0.3421504637413074,0.7567567567567567,152.0,7.562968492507935
Wav2Vec2 XLSR Italian (Grosman),0.4954128440366973,0.43874643874643876,0.3848362895769526,0.7435897435897435,308.0,11.576216697692871
Wav2Vec2 XLSR Italian (Grosman),0.4166666666666667,0.2538167938931298,0.3964993628897767,0.7555555555555556,133.0,7.089257717132568
Wav2Vec2 XLSR Italian (Grosman),0.4444444444444444,0.24558303886925795,0.35605635543767855,0.7602339181286549,139.0,7.46550178527832
Wav2Vec2 XLSR Italian (Grosman),0.3917525773195876,0.20610687022900764,0.392887971417173,0.821256038647343,135.0,8.780024528503418
Wav2Vec2 XLSR Italian (Grosman),0.3698630136986301,0.1774193548387097,0.4115939110738809,0.8053691275167786,88.0,6.114133596420288
Wav2Vec2 XLSR Italian (Grosman),0.4146341463414634,0.25794392523364484,0.40195455596778357,0.7932960893854749,138.0,7.229562044143677
Wav2Vec2 XLSR Italian (Grosman),0.4861111111111111,0.2549800796812749,0.25061766920313117,0.7662337662337663,128.0,6.667509078979492
Wav2Vec2 XLSR Italian (Grosman),0.5616438356164384,0.25475285171102663,0.2480394219614699,0.7532467532467532,134.0,7.2004101276397705
Wav2Vec2 XLSR Italian (Grosman),0.4065934065934066,0.21333333333333335,0.3745633646216581,0.7593582887700535,128.0,7.848959922790527
Wav2Vec2 XLSR Italian (Grosman),0.4634146341463415,0.2549728752260398,0.31645333436471973,0.7428571428571429,141.0,7.178004264831543
Wav2Vec2 XLSR Italian (Grosman),0.36904761904761907,0.25794392523364484,0.418316572543114,0.8202247191011236,138.0,7.094156503677368
Wav2Vec2 XLSR Italian (Grosman),0.4931506849315068,0.28629856850715746,0.3094775111927446,0.7125,140.0,6.474498748779297
Wav2Vec2 XLSR Italian (Grosman),0.3673469387755102,0.22065727699530516,0.4218779993791295,0.8235294117647058,141.0,8.280793905258179
Wav2Vec2 XLSR Italian (Grosman),0.5735294117647058,0.3182844243792325,0.266435597422085,0.7074829931972788,141.0,6.050069570541382
Wav2Vec2 XLSR Italian (Grosman),0.3917525773195876,0.1981279251170047,0.4205765962135842,0.8061224489795918,127.0,8.325912952423096
Wav2Vec2 XLSR Italian (Grosman),0.47560975609756095,0.28186714542190305,0.28799283381527974,0.7283236994219654,157.0,7.509153604507446
Wav2Vec2 XLSR Italian (Grosman),0.4025974025974026,0.2037037037037037,0.4066979028627488,0.7852760736196319,110.0,6.590875148773193
Wav2Vec2 XLSR Italian (Grosman),0.3838383838383838,0.18989280245022971,0.4243797904139479,0.7884615384615384,124.0,8.415042877197266
Wav2Vec2 XLSR Italian (Grosman),0.4,0.2345890410958904,0.38098763905211275,0.8324324324324324,137.0,7.891369342803955
Wav2Vec2 XLSR Italian (Grosman),0.3958333333333333,0.23030303030303031,0.392887971417173,0.8390243902439023,152.0,8.814907312393188
Wav2Vec2 XLSR Italian (Grosman),0.4020618556701031,0.1865203761755486,0.3891660628393292,0.8140703517587939,119.0,8.071062803268433
Wav2Vec2 XLSR Italian (Grosman),0.35051546391752575,0.21077654516640254,0.4296734797635872,0.8177339901477833,133.0,8.379828453063965
Wav2Vec2 XLSR Italian (Grosman),0.37373737373737376,0.2121684867394696,0.41213724718158545,0.8212560386473431,136.0,8.28271484375
Wav2Vec2 XLSR Italian (Grosman),0.41333333333333333,0.26239669421487605,0.3613937316213239,0.7975460122699387,127.0,6.270384073257446
Wav2Vec2 XLSR Italian (Grosman),0.40404040404040403,0.18740399385560677,0.4310819612553852,0.8177339901477833,122.0,8.36460828781128
Wav2Vec2 XLSR Italian (Grosman),0.5256410256410257,0.27087198515769945,0.24487846908786304,0.7455621301775147,146.0,7.222406625747681
Wav2Vec2 XLSR Italian (Grosman),0.4117647058823529,0.2351851851851852,0.3171596868794706,0.7796610169491526,127.0,6.8787336349487305
Wav2Vec2 XLSR Italian (Grosman),0.3815789473684211,0.16173570019723865,0.4029903859239952,0.8607594936708861,82.0,6.279056549072266
Wav2Vec2 XLSR Italian (Grosman),0.4931506849315068,0.29958677685950413,0.27801971013472077,0.7295597484276729,145.0,6.32940936088562
Wav2Vec2 XLSR Italian (Grosman),0.37333333333333335,0.2625,0.4075077299293611,0.8220858895705523,126.0,6.155004024505615
Wav2Vec2 XLSR Italian (Grosman),0.4457831325301205,0.287593984962406,0.28405073874543596,0.7514450867052023,153.0,7.22914457321167
Wav2Vec2 XLSR Italian (Grosman),0.4625,0.2387218045112782,0.2913227839258577,0.736842105263158,127.0,6.875043630599976
Wav2Vec2 XLSR Italian (Grosman),0.43243243243243246,0.27615062761506276,0.312793730905921,0.751592356687898,132.0,6.100153923034668
Wav2Vec2 XLSR Italian (Grosman),0.40816326530612246,0.20783132530120482,0.38912784539202677,0.815165876777251,138.0,8.827526807785034
Wav2Vec2 XLSR Italian (Grosman),0.45121951219512196,0.2446043165467626,0.3574477705958117,0.735632183908046,136.0,7.133684158325195
Wav2Vec2 XLSR Italian (Grosman),0.391304347826087,0.2247557003257329,0.38247962076037595,0.826530612244898,138.0,8.110666751861572
Wav2Vec2 XLSR Italian (Grosman),0.4444444444444444,0.3093220338983051,0.3295317861435938,0.7643312101910827,146.0,6.305075407028198
Wav2Vec2 XLSR Italian (Grosman),0.5,0.2656546489563567,0.25295955441223483,0.7349397590361445,140.0,7.200310468673706
Wav2Vec2 XLSR Italian (Grosman),0.4,0.23217550274223034,0.4102676422477453,0.7891891891891891,127.0,6.852555990219116
Wav2Vec2 XLSR Italian (Grosman),0.475,0.2283609576427256,0.3000197871048467,0.8045977011494253,124.0,7.054895401000977
Wav2Vec2 XLSR Italian (Grosman),0.35789473684210527,0.20376175548589343,0.4060838186520436,0.8484848484848486,130.0,8.347969055175781
Wav2Vec2 XLSR Italian (Grosman),0.3877551020408163,0.22464898595943839,0.4115485979616538,0.8,144.0,8.595614910125732
Wav2Vec2 XLSR Italian (Grosman),0.4588235294117647,0.27797202797202797,0.3400071339017222,0.7340425531914895,159.0,7.4142279624938965
