model,text,reference,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Whisper Tiny (OpenAI), anche io poi si rivelò a son e lo bandida reño.,anche yu poi si ribellò a shun e lo bandì dal regno.,0.3242342472076416,0.5,0.21153846153846154,0.05696822651325549,0.5,0.5,12.0
Whisper Distilled IT (bofenghuang),anche io poi si ribellò a shun e lo bandì dal regno.,anche yu poi si ribellò a shun e lo bandì dal regno.,7.215716600418091,0.08333333333333333,0.038461538461538464,0.8265168183793802,0.9166666666666666,0.9166666666666666,2.0
Faster Whisper Tiny (Turbo), anche io poi si rivelò a son e lo bandida reño.,anche yu poi si ribellò a shun e lo bandì dal regno.,0.48752379417419434,0.5,0.21153846153846154,0.05696822651325549,0.5,0.5,12.0
Vosk STT (Small IT),anche io poi si rivelo e lo pan di dar,anche yu poi si ribellò a shun e lo bandì dal regno.,0.28204822540283203,0.5833333333333334,0.4230769230769231,0.05464286595434615,0.45454545454545453,0.45454545454545453,22.0
Wav2Vec2 XLSR Italian (Grosman),anche u poi si ribellò a shean e lo bandì dal regno,anche yu poi si ribellò a shun e lo bandì dal regno.,0.7668402194976807,0.25,0.07692307692307693,0.4366835442847812,0.8333333333333334,0.8333333333333334,4.0
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),anche u poi si rrivellò aschon e lo bandidal regno,anche yu poi si ribellò a shun e lo bandì dal regno.,2.0912256240844727,0.5833333333333334,0.17307692307692307,0.05464286595434615,0.5454545454545454,0.5454545454545454,9.0
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",anche io poi sirribe il loashun e lobandida al regno,anche yu poi si ribellò a shun e lo bandì dal regno.,0.8848743438720703,0.75,0.28846153846153844,0.02274122123480211,0.3636363636363636,0.3636363636363636,15.0
Whisper Tiny (OpenAI), sono presenti alcuni plastici riproducenti battagli e medievali tra l'ukese e modenesi risalenti al medirevo.,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,0.5149641036987305,0.35714285714285715,0.07272727272727272,0.42311785416105785,0.7333333333333334,0.7333333333333334,9.0
Whisper Distilled IT (bofenghuang),sono presenti alcuni plastici riproducenti battaglie medievali tra lucchesi e modenesi risalenti al medioevo.,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,6.946889400482178,0.07142857142857142,0.00909090909090909,0.7825422900366437,0.9285714285714286,0.9285714285714286,1.0
Faster Whisper Tiny (Turbo), sono presenti alcuni plastici riproducenti battaglia medievali tra lucchesi e modenesi risalenti al medirevo.,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,0.522202730178833,0.21428571428571427,0.02727272727272727,0.6162607099729586,0.7857142857142857,0.7857142857142857,4.0
Vosk STT (Small IT),sono presenti alcuni plastici riproduce battaglia medievali tra lucchese e modenese risalenti al medioevo,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,0.4162561893463135,0.42857142857142855,0.07272727272727272,0.22718709780542318,0.6428571428571429,0.6428571428571429,8.0
Wav2Vec2 XLSR Italian (Grosman),sono presenti alcuni plastici riproducenti battaglie medievali tra lucchesi e modenesi risalenti al medioevo,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,0.9742627143859863,0.14285714285714285,0.01818181818181818,0.6997522298221912,0.9285714285714286,0.9285714285714286,2.0
