model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
gemini-2.0-flash,0.25,0.057692307692307696,0.53107253497887,1.0,3.0,0.7177977561950684
gemini-2.0-flash,0.21428571428571427,0.02727272727272727,0.6162607099729586,0.9285714285714286,3.0,8.1
gemini-2.0-flash,0.25,0.0847457627118644,0.7259795291154771,1.0,5.0,4.68
gemini-2.0-flash,0.8333333333333334,0.1956521739130435,0.0439891724758422,0.5714285714285714,9.0,4.14
gemini-2.0-flash,0.35714285714285715,0.06097560975609756,0.3661926362999429,1.0,5.0,5.832018140589569
gemini-2.0-flash,0.42857142857142855,0.06451612903225806,0.44710186192584195,1.0,6.0,6.552018140589569
gemini-2.0-flash,0.25,0.03896103896103896,0.7102992180127422,1.0,3.0,4.212018140589569
gemini-2.0-flash,0.42857142857142855,0.0875,0.2658483576665877,1.0,7.0,9.756009070294784
gemini-2.0-flash,0.1,0.013513513513513514,0.8801117367933934,1.0,1.0,5.94
gemini-2.0-flash,0.2222222222222222,0.03773584905660377,0.6104735835807844,1.0,2.0,4.6440362811791385
gemini-2.0-flash,0.08333333333333333,0.011904761904761904,0.9036020036098448,1.0,1.0,6.516009070294785
gemini-2.0-flash,0.3,0.09259259259259259,0.6389431042462724,0.8888888888888888,5.0,3.5640362811791384
gemini-2.0-flash,0.25,0.11475409836065574,0.4832697830906221,0.9166666666666666,7.0,8.856009070294785
gemini-2.0-flash,0.09090909090909091,0.012048192771084338,0.8931539818068694,1.0,1.0,5.94
gemini-2.0-flash,0.14285714285714285,0.02040816326530612,0.8091067115702212,1.0,1.0,5.076009070294784
gemini-2.0-flash,0.08333333333333333,0.011363636363636364,0.9036020036098448,1.0,1.0,6.3
gemini-2.0-flash,0.4444444444444444,0.07547169811320754,0.45622720708659226,0.823529411764706,4.0,6.336009070294785
gemini-2.0-flash,1.0,0.1875,0.0,1.0,3.0,2.304036281179138
gemini-2.0-flash,0.2,0.03636363636363636,0.5253819788848316,1.0,2.0,5.22
gemini-2.0-flash,0.25,0.04,0.6803749333171202,1.0,2.0,5.616009070294784
gemini-2.0-flash,0.16666666666666666,0.03614457831325301,0.8070557274927982,0.9090909090909091,3.0,5.796009070294785
gemini-2.0-flash,0.1,0.017241379310344827,0.8801117367933934,1.0,1.0,4.428027210884354
gemini-2.0-flash,0.18181818181818182,0.03278688524590164,0.6315552371794037,1.0,2.0,4.68
gemini-2.0-flash,0.2857142857142857,0.0847457627118644,0.6803749333171202,0.9333333333333333,5.0,5.76
gemini-2.0-flash,0.08333333333333333,0.0125,0.9036020036098448,1.0,1.0,8.856009070294785
gemini-2.0-flash,0.25,0.03773584905660377,0.6803749333171202,1.0,2.0,3.1320181405895693
gemini-2.0-flash,0.2,0.03278688524590164,0.6606328636027614,1.0,2.0,6.48
gemini-2.0-flash,0.1111111111111111,0.014925373134328358,0.8633400213704505,1.0,1.0,5.7240362811791385
gemini-2.0-flash,0.14285714285714285,0.07777777777777778,0.8385766789076257,0.9285714285714286,7.0,5.832018140589569
gemini-2.0-flash,0.5,0.06896551724137931,0.1477219991186121,1.0,4.0,3.312018140589569
gemini-2.0-flash,0.5454545454545454,0.09090909090909091,0.24808415001701817,1.0,6.0,5.112018140589569
gemini-2.0-flash,0.09090909090909091,0.017543859649122806,0.8931539818068694,1.0,1.0,6.948027210884354
gemini-2.0-flash,0.1,0.011764705882352941,0.8801117367933934,1.0,1.0,5.832018140589569
gemini-2.0-flash,0.07142857142857142,0.01098901098901099,0.9193227152249185,1.0,1.0,6.444036281179138
gemini-2.0-flash,0.42857142857142855,0.04225352112676056,0.17567205239427922,1.0,3.0,9.0
gemini-2.0-flash,0.2857142857142857,0.04424778761061947,0.6115380576901023,0.9032258064516129,5.0,7.776009070294784
gemini-2.0-flash,0.07692307692307693,0.011363636363636364,0.912167909070388,1.0,1.0,6.444036281179138
gemini-2.0-flash,0.75,0.17391304347826086,0.0814136751754278,0.6666666666666665,4.0,3.528027210884354
gemini-2.0-flash,0.125,0.022222222222222223,0.8408964152537145,1.0,1.0,5.94
gemini-2.0-flash,0.25,0.03225806451612903,0.5410822690539396,0.875,2.0,5.076009070294784
gemini-2.0-flash,0.09090909090909091,0.01818181818181818,0.8931539818068694,1.0,1.0,3.6360090702947847
gemini-2.0-flash,0.25,0.045454545454545456,0.4111336169005197,1.0,2.0,4.212018140589569
gemini-2.0-flash,0.36363636363636365,0.05970149253731343,0.47987820666906633,1.0,4.0,4.68
gemini-2.0-flash,0.18181818181818182,0.03614457831325301,0.7292571723872933,0.9565217391304348,3.0,6.66
gemini-2.0-flash,0.42857142857142855,0.10416666666666667,0.41113361690051975,1.0,5.0,4.068027210884353
gemini-2.0-flash,0.08333333333333333,0.015151515151515152,0.9036020036098448,1.0,1.0,4.716009070294785
gemini-2.0-flash,0.2222222222222222,0.07017543859649122,0.5133450480401704,0.8888888888888888,4.0,5.796009070294785
gemini-2.0-flash,0.375,0.06,0.5169731539571706,1.0,3.0,5.004036281179138
gemini-2.0-flash,0.07692307692307693,0.012658227848101266,0.912167909070388,1.0,1.0,4.86
gemini-2.0-flash,0.8333333333333334,0.15873015873015872,0.2984745896009823,0.9,10.0,5.04
gemini-2.0-flash,0.125,0.015625,0.8408964152537145,1.0,1.0,3.708027210884354
gemini-2.0-flash,0.1111111111111111,0.014285714285714285,0.8633400213704505,1.0,1.0,4.86
gemini-2.0-flash,0.25,0.04411764705882353,0.7102992180127422,1.0,3.0,6.876009070294785
gemini-2.0-flash,0.2727272727272727,0.041666666666666664,0.4172261448611506,1.0,3.0,3.96
gemini-2.0-flash,0.36363636363636365,0.06493506493506493,0.16306686105372709,1.0,5.0,6.516009070294785
gemini-2.0-flash,0.8,0.15625,0.08633400213704504,0.6666666666666665,5.0,3.528027210884354
gemini-2.0-flash,0.7142857142857143,0.14285714285714285,0.06500593260343691,0.6666666666666666,7.0,3.96
gemini-2.0-flash,0.1111111111111111,0.02,0.8633400213704505,1.0,1.0,4.248027210884354
gemini-2.0-flash,0.1,0.01639344262295082,0.6580370064762462,1.0,1.0,4.464036281179139
gemini-2.0-flash,1.0,0.23076923076923078,0.0,1.0,3.0,3.4560090702947845
gemini-2.0-flash,0.08333333333333333,0.0125,0.9036020036098448,1.0,1.0,5.364036281179138
gemini-2.0-flash,0.38461538461538464,0.08974358974358974,0.4052587697205425,0.9285714285714286,7.0,5.4
gemini-2.0-flash,0.38461538461538464,0.05555555555555555,0.2891784933232572,1.0,5.0,6.876009070294785
gemini-2.0-flash,0.4166666666666667,0.10666666666666667,0.1239040201758117,0.9166666666666666,8.0,5.4
gemini-2.0-flash,0.125,0.023255813953488372,0.8408964152537145,1.0,1.0,4.428027210884354
gemini-2.0-flash,0.08333333333333333,0.012987012987012988,0.9036020036098448,1.0,1.0,4.9320181405895696
gemini-2.0-flash,0.42857142857142855,0.16216216216216217,0.41113361690051975,0.8333333333333334,6.0,2.628027210884354
gemini-2.0-flash,0.09090909090909091,0.011627906976744186,0.8931539818068694,1.0,1.0,6.336009070294785
gemini-2.0-flash,0.36363636363636365,0.08450704225352113,0.5706745777055999,0.9166666666666666,6.0,5.796009070294785
gemini-2.0-flash,0.2222222222222222,0.029411764705882353,0.43167001068522526,1.0,2.0,5.04
gemini-2.0-flash,0.23076923076923078,0.03296703296703297,0.5783569866465142,1.0,3.0,8.964036281179139
gemini-2.0-flash,0.3,0.06,0.37991784282579627,1.0,3.0,5.22
gemini-2.0-flash,0.4,0.043478260869565216,0.38163309113713373,1.0,3.0,5.796009070294785
gemini-2.0-flash,0.0,0.0,1.0,1.0,0.0,4.032018140589569
gemini-2.0-flash,0.07142857142857142,0.0375,0.9253911813809743,0.9655172413793104,3.0,6.984036281179138
gemini-2.0-flash,0.2,0.022727272727272728,0.668740304976422,1.0,1.0,3.96
gemini-2.0-flash,0.3333333333333333,0.057692307692307696,0.5873949094699213,1.0,3.0,4.32
gemini-2.0-flash,0.42857142857142855,0.06666666666666667,0.44710186192584195,1.0,6.0,6.192018140589569
gemini-2.0-flash,0.09090909090909091,0.011494252873563218,0.8931539818068694,1.0,1.0,6.2280272108843535
gemini-2.0-flash,0.1,0.0196078431372549,0.8801117367933934,1.0,2.0,6.84
gemini-2.0-flash,0.09090909090909091,0.014285714285714285,0.8931539818068694,1.0,1.0,5.076009070294784
gemini-2.0-flash,1.0,0.36363636363636365,0.0,0.5,4.0,1.8
gemini-2.0-flash,0.3333333333333333,0.0625,0.3549481056010053,1.0,3.0,4.716009070294785
gemini-2.0-flash,0.15384615384615385,0.03529411764705882,0.8242367502646054,0.9230769230769231,3.0,5.868027210884354
gemini-2.0-flash,0.18181818181818182,0.046153846153846156,0.7860753021519787,1.0,3.0,8.316009070294784
gemini-2.0-flash,0.5,0.18518518518518517,0.16990442448471224,0.75,5.0,3.9960090702947846
gemini-2.0-flash,0.1,0.011111111111111112,0.8801117367933934,1.0,1.0,7.128027210884354
gemini-2.0-flash,0.1,0.014492753623188406,0.8801117367933934,1.0,1.0,5.04
gemini-2.0-flash,0.08333333333333333,0.011904761904761904,0.9036020036098448,1.0,1.0,5.976009070294785
gemini-2.0-flash,1.0,0.15384615384615385,0.0,1.0,4.0,3.4560090702947845
gemini-2.0-flash,0.45454545454545453,0.2,0.12278260149096115,0.8333333333333334,14.0,5.004036281179138
gemini-2.0-flash,0.18181818181818182,0.028169014084507043,0.7860753021519787,1.0,2.0,6.264036281179139
gemini-2.0-flash,1.0,0.25,0.0,0.5,3.0,2.9160090702947845
gemini-2.0-flash,0.35714285714285715,0.052083333333333336,0.4785543921093738,1.0,5.0,5.616009070294784
gemini-2.0-flash,0.07692307692307693,0.00980392156862745,0.912167909070388,1.0,1.0,7.668027210884354
gemini-2.0-flash,0.5454545454545454,0.1,0.059609942732681,0.9166666666666666,7.0,5.4360090702947845
gemini-2.0-flash,0.3333333333333333,0.05405405405405406,0.4240125351805037,1.0,4.0,5.148027210884353
gemini-2.0-flash,1.0,0.16666666666666666,0.0,1.0,3.0,3.06
gemini-2.0-flash,0.1,0.014705882352941176,0.8801117367933934,1.0,1.0,5.76
gemini-2.0-flash,0.16666666666666666,0.02564102564102564,0.7598356856515925,1.0,1.0,3.4560090702947845
