model,text,reference,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Whisper Tiny (OpenAI), segnano il prossimo lune di,segna il prossimo lunedì,0.34889841079711914,0.75,0.16666666666666666,0.11362193664674995,0.6666666666666665,0.6666666666666665,5.0
Whisper Distilled IT (bofenghuang),segna il prossimo lunedì.,segna il prossimo lunedì,10.641722202301025,0.25,0.041666666666666664,0.3976353643835253,1.0,1.0,1.0
Faster Whisper Tiny (Turbo), segne al prossimo lunedì,segna il prossimo lunedì,0.5334048271179199,0.5,0.08333333333333333,0.16990442448471224,0.5,0.5,3.0
Vosk STT (Small IT),segna il prossimo lunedì,segna il prossimo lunedì,0.38242435455322266,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),segna il prossimo lunedì,segna il prossimo lunedì,1.2834312915802002,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),segna il prostimo lune di,segna il prossimo lunedì,3.3905203342437744,0.75,0.125,0.11362193664674995,0.6666666666666665,0.6666666666666665,3.0
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",segña el prósimo lunedí,segna il prossimo lunedì,1.251894235610962,1.0,0.20833333333333334,0.0,0.2,0.2,5.0
Whisper Tiny (OpenAI), reproducire l'istate delle mie canze nifioscoltate.,riproduci la lista delle mie canzoni più ascoltate,0.7329976558685303,0.75,0.3,0.061861015698337206,0.26666666666666666,0.26666666666666666,16.0
Whisper Distilled IT (bofenghuang),riproduci la lista delle mie canzoni più ascoltate.,riproduci la lista delle mie canzoni più ascoltate,13.966179370880127,0.125,0.02,0.8408964152537145,1.0,1.0,1.0
Faster Whisper Tiny (Turbo), riproduci realista delle mie chanzioni fioscoltate.,riproduci la lista delle mie canzoni più ascoltate,0.6279394626617432,0.625,0.2,0.06846046760764757,0.42857142857142855,0.42857142857142855,11.0
Vosk STT (Small IT),riproduce la lista delle mie canzoni piu ascoltate,riproduci la lista delle mie canzoni più ascoltate,0.31952953338623047,0.25,0.04,0.5410822690539396,0.75,0.75,2.0
Wav2Vec2 XLSR Italian (Grosman),riproduci la lista delle mie canzoni più ascoltate,riproduci la lista delle mie canzoni più ascoltate,0.5831394195556641,0.0,0.0,1.0,1.0,1.0,0.0
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),riproduci la list delle mie canzoni più ascoltate,riproduci la lista delle mie canzoni più ascoltate,2.0354936122894287,0.125,0.02,0.5946035575013605,0.875,0.875,1.0
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",riprodusci la lista delle mie canzoni pfiù ascoltate,riproduci la lista delle mie canzoni più ascoltate,0.6827621459960938,0.25,0.04,0.5410822690539396,0.75,0.75,2.0
Whisper Tiny (OpenAI), disattiva la sveglia delle quindici.,disattiva la sveglia delle quindici,0.37592196464538574,0.2,0.02857142857142857,0.668740304976422,1.0,1.0,2.0
Whisper Distilled IT (bofenghuang),disattiva la sveglia delle 15,disattiva la sveglia delle quindici,10.884794235229492,0.2,0.22857142857142856,0.668740304976422,0.8000000000000002,0.8000000000000002,8.0
Faster Whisper Tiny (Turbo), disattiva la sveglia delle quindici.,disattiva la sveglia delle quindici,0.5136957168579102,0.2,0.02857142857142857,0.668740304976422,1.0,1.0,2.0
Vosk STT (Small IT),di sativa la sveglia delle quindi,disattiva la sveglia delle quindici,0.339963436126709,0.6,0.11428571428571428,0.20205155046766235,0.5454545454545454,0.5454545454545454,4.0
Wav2Vec2 XLSR Italian (Grosman),disattiva la sveglia delle quindici,disattiva la sveglia delle quindici,0.6362688541412354,0.0,0.0,1.0,1.0,1.0,0.0
