model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
Vosk STT (Small IT),0.5432098765432098,0.2744360902255639,0.2980299228192013,0.7717391304347826,147.0,1.4887378215789795
Vosk STT (Small IT),0.5595238095238095,0.2810810810810811,0.2410645612709699,0.6850828729281768,157.0,1.5032122135162354
Vosk STT (Small IT),0.5280898876404494,0.2564935064935065,0.27311255071707935,0.7384615384615385,159.0,1.6202077865600586
Vosk STT (Small IT),0.4520547945205479,0.18106995884773663,0.34185392933643755,0.8311688311688312,89.0,1.3130557537078857
Vosk STT (Small IT),0.5492957746478874,0.2873051224944321,0.21932225313506176,0.6973684210526316,130.0,1.2571253776550293
Vosk STT (Small IT),0.41333333333333333,0.23232323232323232,0.34160922831158924,0.8148148148148148,116.0,1.3460969924926758
Vosk STT (Small IT),0.5064935064935064,0.2255083179297597,0.338301616787332,0.7441860465116279,123.0,1.3736374378204346
Vosk STT (Small IT),0.5,0.32991803278688525,0.2910278408518107,0.7317073170731708,162.0,1.2735676765441895
Vosk STT (Small IT),0.4861111111111111,0.3050847457627119,0.3039293122709327,0.7875,145.0,1.275928258895874
Vosk STT (Small IT),0.4418604651162791,0.22183098591549297,0.32864528777484864,0.8279569892473119,127.0,1.5180110931396484
Vosk STT (Small IT),0.5,0.2718253968253968,0.2938070175833133,0.802547770700637,138.0,1.4124391078948975
Vosk STT (Small IT),0.5365853658536586,0.2322357019064125,0.2739959295504986,0.7374301675977655,135.0,1.4482159614562988
Vosk STT (Small IT),0.5569620253164557,0.2919847328244275,0.24659971908196054,0.7159090909090908,154.0,1.4498658180236816
Vosk STT (Small IT),0.4864864864864865,0.2693726937269373,0.2708114750702211,0.810126582278481,147.0,1.5767858028411865
Vosk STT (Small IT),0.4489795918367347,0.24279210925644917,0.3826773495294388,0.780952380952381,161.0,1.7939653396606445
Vosk STT (Small IT),0.4878048780487805,0.27207207207207207,0.31661876630883357,0.7582417582417583,152.0,1.5384056568145752
Vosk STT (Small IT),0.647887323943662,0.3579418344519016,0.2024167135697537,0.6363636363636364,161.0,1.3006041049957275
Vosk STT (Small IT),0.41025641025641024,0.20075757575757575,0.3751332544224143,0.829268292682927,107.0,1.2943446636199951
Vosk STT (Small IT),0.4722222222222222,0.2668067226890756,0.2284860996213203,0.7515923566878981,128.0,1.4389772415161133
Vosk STT (Small IT),0.5454545454545454,0.2681564245810056,0.25970038262503736,0.761904761904762,145.0,1.5103569030761719
Vosk STT (Small IT),0.5675675675675675,0.2962226640159046,0.2271386488356045,0.7453416149068323,150.0,1.4445676803588867
Vosk STT (Small IT),0.5113636363636364,0.2467948717948718,0.30050951953461863,0.7474747474747475,155.0,1.6302247047424316
Vosk STT (Small IT),0.527027027027027,0.236,0.23701097743172828,0.7749999999999999,119.0,1.4375243186950684
Vosk STT (Small IT),0.5,0.24635332252836303,0.28585616943300424,0.7628865979381443,153.0,1.6439392566680908
Vosk STT (Small IT),0.5308641975308642,0.27977315689981097,0.20662862475312957,0.7241379310344828,149.0,1.474367380142212
