model,text,reference,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Wav2Vec2 XLSR Italian (Grosman),si notifica un preavviso relativo al veicolo autovetture targato ovoc ventitré doppia wuix di tipo prova proveniente da italia marcascoda fabiala violazione ovvero transito in zona accesso vietato si è verificata in data ventuno aprile duemila venticinque alle ore ventitré e quarantanove in via del corso al numero dodil'infrazione rientra nellarticolo sei coma unoa e uno a dodici  del codice penalecontestazione immediata da parte dellagente mario rossila sanzione prevede la perdita di un puntisi richiede la stampa in lingua italiano tramite wifi non stampare anche la comunicazione,"Si notifica un preavviso relativo al veicolo autovettura targato UV123WX di tipo prova proveniente da italia, marca Skoda Fabia. La violazione, ovvero transito in zona accesso vietato, si è verificata in data 21/04/2025 alle ore 23:49 in via del Corso, al numero 12. L'infrazione rientra nell'articolo 6, comma 1a(1-12) del codice penale. Contestazione immediata da parte dell'agente Mario Rossi. La sanzione prevede la perdita di 1 punti. Si richiede la stampa in lingua italiano, tramite wifi, non stampare anche la comunicazione. ",6.658992528915405,0.5308641975308642,0.2650375939849624,0.32047525456589226,0.6742857142857143,0.6742857142857143,142.0
Wav2Vec2 XLSR Italian (Grosman),si sta redigendo verbale per violazione accertata il ventiquattro marzo duemila venticinque alle ore quattro e quarantuno in viale di giardini al civico otto a carico del veicolo ni san micra macchina operatrice contarga-quer quattrocento-cinquantasei esseti di tipo ufficiale immatricolato in greciala violazione contestata è transito in zona accesso vietato in base all'articolo tre coma uno del codice stradalela contestazione è avvenuta immediatamente da parte della gente carlo brunisono previsti dieci punti di decurtazionesi richiede la stampa in lingua italiano via blutut non stampare anche la comunicazione,"Si sta redigendo verbale per violazione accertata il 24/03/2025 alle ore 04:41 in viale dei Giardini, al civico 8, a carico del veicolo Nissan Micra, macchina operatrice con targa QR456ST di tipo ufficiale, immatricolato in grecia. La violazione contestata è transito in zona accesso vietato, in base all'articolo 3, comma 1 del codice stradale. La contestazione è avvenuta immediatamente da parte dell'agente Carlo Bruni. Sono previsti 10 punti di decurtazione. Si richiede la stampa in lingua italiano via bluetooth, non stampare anche la comunicazione. ",7.14858865737915,0.4166666666666667,0.2594594594594595,0.35776090954749706,0.6971428571428572,0.6971428571428572,145.0
Wav2Vec2 XLSR Italian (Grosman),si notifica un preavviso relativo al veicolo autovettura attargato kur novecento ottantasette asseti di tipo ufficiale proveniente da olanda marca chiapi cantola violazione ovvero parcheggio in doppia fila si è verificata in data diciassette aprile duemila venticinque alle ore ventuno e cinquantaquattro in corso vittorio emanuele al numero quindicil'infrazione rientra nell'articolo tre coma uno del codice civilenon è stato possibile contestare immediatamente a causa dell'assenza del trasgressore motivo mancata contestazione assenza del trasgressorela sanzione prevede la perdita di due puntisi richiede la stampa in lingua italiano tramite bluetooth stampa anche la comunicazione,"Si notifica un preavviso relativo al veicolo autovettura targato QR987ST di tipo ufficiale proveniente da olanda, marca Kia Picanto. La violazione, ovvero parcheggio in doppia fila, si è verificata in data 17/04/2025 alle ore 21:54 in corso Vittorio Emanuele, al numero 15. L'infrazione rientra nell'articolo 3, comma 1 del codice civile. Non è stato possibile contestare immediatamente a causa dell'assenza del trasgressore, motivo mancata contestazione: assenza del trasgressore. La sanzione prevede la perdita di 2 punti. Si richiede la stampa in lingua italiano, tramite bluetooth, stampa anche la comunicazione. ",7.9856116771698,0.42696629213483145,0.23863636363636365,0.37105580716305364,0.7634408602150536,0.7634408602150536,148.0
Wav2Vec2 XLSR Italian (Grosman),sto emettendo un verbale per il veicolo nista micra rimorchio immatricolato in austria con targa immn trecento ventuno opi di tipo proval'infrazione avvenuta in corso vittorio emanuele civico quindici parcheggio in zona rimozionesi applica l'articolo sette coma quindici del codice civilea seguito della violazione verranno decurtati tre punti il verbale è stato contestato immediatamente dalla gente matteo gallosi prega di procedere con la stampa in italiano tramite wifai stampa anche la comunicazione,"Sto emettendo un verbale per il veicolo Nissan Micra, rimorchio immatricolato in austria con targa MN321OP di tipo prova. L'infrazione è avvenuta in corso Vittorio Emanuele, civico 15: parcheggio in zona rimozione. Si applica l'articolo 7, comma 15 del codice civile. A seguito della violazione verranno decurtati 3 punti. Il verbale è stato contestato immediatamente dall'agente Matteo Gallo. Si prega di procedere con la stampa in italiano tramite wifi, stampa anche la comunicazione. ",5.802036285400391,0.3972602739726027,0.16872427983539096,0.39441908375635504,0.761904761904762,0.761904761904762,83.0
Wav2Vec2 XLSR Italian (Grosman),sto procedendo con la redazione di un verbale per motoveicolo marca nissam-micra targa xiceo ventitrezza di tipo ufficiale immatricolato in croaziain data a quattro aprile duemila venticinque alle ore sei dieci in via roma al civico settantasette è stata commessa la seguente violazione parcheggio in divieto di sosta articolo cinque comma tré del codice stradaledalla violazione consegue la perdita di due puntistampa in modalità blutute in lingua italiano stampa anche la comunicazione,"Sto procedendo con la redazione di un verbale per motoveicolo, marca Nissan Micra, targa XY123ZA di tipo ufficiale, immatricolato in croazia. In data 04/04/2025 alle ore 06:10, in via Roma, al civico 77, è stata commessa la seguente violazione: parcheggio in divieto di sosta (articolo 5, comma 3 del codice stradale). Dalla violazione consegue la perdita di 2 punti. Stampa in modalità bluetooth e in lingua italiano, stampa anche la comunicazione. ",5.673087120056152,0.43661971830985913,0.2561247216035635,0.31227170202886445,0.7448275862068966,0.7448275862068966,116.0
Wav2Vec2 XLSR Italian (Grosman),si notifica un preavviso per il veicolo chiapicanto macchina agricola targa xipilon trecento ventuno zà di tipo copertura proveniente da italiail giorno due aprile duemila venticinque alle ore undici e ventidue in corso vittorio emanuele al numero civico vinzi è stata commessa l'infrazione di transito in zona accesso vietato come previsto dall'articolo tre coma uno del codice penaleper questa violazione sono previsti quattro punti di decurtazionechiedo la stampa del preavviso in italiano via blutoth non stampare anche la comunicazione,"Si notifica un preavviso per il veicolo Kia Picanto macchina agricola, targa XY321ZA di tipo copertura, proveniente da italia. Il giorno 02/04/2025, alle ore 11:22, in corso Vittorio Emanuele, al numero civico 15, è stata commessa l'infrazione di transito in zona accesso vietato, come previsto dall'articolo 3, comma 1, del codice penale. Per questa violazione sono previsti 4 punti di decurtazione. Chiedo la stampa del preavviso in italiano via bluetooth, non stampare anche la comunicazione. ",6.807026386260986,0.4266666666666667,0.23636363636363636,0.3575045201486387,0.7421383647798743,0.7421383647798743,118.0
Wav2Vec2 XLSR Italian (Grosman),alle dieci e otto del tredici aprile duemila venticinque sto redigendo un verbale per il veicolo macchina operatrice targato ter zero nove otto ipilonu con targa copertura immatricolato in austria infrazione è stata accertata in via della repubblica al civico vnt con violazione del codice civile articolo otto komsey per parcheggio in divieto di sosta sono previsti sette punti da decurtarenon è stata possibile una contestazione immediata per l'assenza del trasgressorenon posso applicare alcuna sanzione accessoriastampa tramite blu-toute in italiano stampa anche la comunicazione,"Alle 10:08 del 13/04/2025, sto redigendo un verbale per il veicolo macchina operatrice targato TR098YU con targa copertura, immatricolato in austriaL'infrazione è stata accertata in via della Repubblica, al civico 20, con violazione del codice civile, articolo 8,comma 6 per parcheggio in divieto di sosta Sono previsti 7 punti da decurtare. Non è stata possibile una contestazione immediata per l'assenza del trasgressore. Non posso applicare alcuna sanzione accessoria. Stampa tramite bluetooth, in italiano, stampa anche la comunicazione. ",6.354449033737183,0.4155844155844156,0.20702402957486138,0.40624412485873085,0.7515151515151515,0.7515151515151515,113.0
Wav2Vec2 XLSR Italian (Grosman),attenzione sto generando un verbale per il veicolo da ciasandero ciclomotore con targa xiilom seicento-o cinquantaquattro za di tipo copertura in matricolato in germania per un'infrazione commessa il ventidue aprile duemila venticinque alle due e trel'infrazione è avvenuta in via etnea al numero quarantacinque dove il veicolo era in parcheggio davanti a passo carrabilel'articolo violato è il cento cinquantotto comma due del codice civileverranno tolti tre punti dalla patentestampa questo verbale via blutut in italiano non stampare anche la comunicazione,"Attenzione, sto generando un verbale per il veicolo Dacia Sandero, ciclomotore con targa XY654ZA di tipo copertura, immatricolato in germania, per un'infrazione commessa il 22/04/2025 alle 02:03. L'infrazione è avvenuta in via Etnea, al numero 45, dove il veicolo era in parcheggio davanti a passo carrabile. L'articolo violato è il 158, comma 2 del codice civile. Verranno tolti 3 punti dalla patente. Stampa questo verbale via bluetooth in italiano, non stampare anche la comunicazione. ",5.635199546813965,0.44594594594594594,0.30327868852459017,0.33005479481844946,0.7125,0.7125,149.0
Wav2Vec2 XLSR Italian (Grosman),si notifica un preavviso per il veicolo oper corsa autovettura targa mn quattrocento-cinquantasei op di tipo prova proveniente da sloveniail giorno ventisette marzo duemila venticinque alle ore quattro e quarantanove in via del corso al numero civico dodici è stata commessa l'infrazione di parcheggio su strisce pedonali come previsto dall'articolo sette comma quindici del codice stradale per questa violazione sono previsti dieci punti di decurtazione chiedo la stampa del preavviso in italiano via blutoute stampa anche la comunicazione,"Si notifica un preavviso per il veicolo Opel Corsa autovettura, targa MN456OP di tipo prova, proveniente da slovenia. Il giorno 27/03/2025, alle ore 04:49, in via del Corso, al numero civico 12, è stata commessa l'infrazione di parcheggio su strisce pedonali, come previsto dall'articolo 7, comma 15, del codice stradale. Per questa violazione sono previsti 10 punti di decurtazione. Chiedo la stampa del preavviso in italiano via bluetooth, stampa anche la comunicazione. ",5.604475736618042,0.4027777777777778,0.2838983050847458,0.3412226458817346,0.7948717948717949,0.7948717948717949,135.0
Wav2Vec2 XLSR Italian (Grosman),procedo con la stesura di un verbale per il veicolo ciclomotore marca seati bizza targato g settecento-ottantanove igei di tipo prova proveniente da croazial'infrazione è stata rilevata il cinque aprile duemila venticinque alle ore nove e quindiciil veicolo si trovava in via della repubblica al civico venti in parcheggio in divieto di sosta violando l'articolo otto coma sei del codice civilela gente alena fontana ha provveduto alla contestazione immediata dell'infrazionela violazione comporta la perdita di sette puntirichiedo la stampa del verbale in italiano tramite blu-toot stampa anche la comunicazione,"Procedo con la stesura di un verbale per il veicolo ciclomotore, marca Seat Ibiza, targato GH789IJ (di tipo prova), proveniente da croazia. L'infrazione è stata rilevata il 05/04/2025 alle ore 09:15. Il veicolo si trovava in via della Repubblica, al civico 20, in parcheggio in divieto di sosta, violando l'articolo 8, comma 6, del codice civile. L'agente Elena Fontana ha provveduto alla contestazione immediata dell'infrazione. La violazione comporta la perdita di 7 punti. Richiedo la stampa del verbale in italiano tramite bluetooth, stampa anche la comunicazione. ",7.502520322799683,0.4069767441860465,0.22359154929577466,0.38657973959629527,0.7243243243243243,0.7243243243243243,128.0
