model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
gemini-2.0-flash-lite,0.17647058823529413,0.05188679245283019,0.7549638711508062,0.9210526315789473,11.0,2.0174472332000732
gemini-2.0-flash-lite,0.32142857142857145,0.08602150537634409,0.5019994686220947,0.9393939393939394,16.0,18.456009070294783
gemini-2.0-flash-lite,0.37037037037037035,0.07526881720430108,0.4849576058746578,0.9090909090909091,15.0,16.098004535147393
gemini-2.0-flash-lite,0.32142857142857145,0.08602150537634409,0.5019994686220947,0.9393939393939394,16.0,18.456009070294783
gemini-2.0-flash-lite,0.34782608695652173,0.08974358974358974,0.5538142279874649,0.9230769230769231,15.0,14.152018140589568
gemini-2.0-flash-lite,0.7727272727272727,0.2073170731707317,0.12231772169405129,0.7169811320754718,35.0,20.4
gemini-2.0-flash-lite,0.3333333333333333,0.08791208791208792,0.4818168871787183,0.90625,16.0,15.633015873015873
gemini-2.0-flash-lite,0.375,0.13253012048192772,0.49153200218443144,0.8148148148148148,22.0,17.88
gemini-2.0-flash-lite,0.32142857142857145,0.07253886010362694,0.46046351600274404,0.967741935483871,14.0,20.59201814058957
gemini-2.0-flash-lite,0.22857142857142856,0.0593607305936073,0.6488392066244492,0.8974358974358975,14.0,17.885986394557822
gemini-2.0-flash-lite,0.37037037037037035,0.08064516129032258,0.33188716763664994,0.9333333333333333,16.0,20.424036281179138
gemini-2.0-flash-lite,0.20588235294117646,0.04672897196261682,0.7330574947600488,0.9090909090909091,10.0,20.64
gemini-2.0-flash-lite,0.27586206896551724,0.08241758241758242,0.6498516724937325,0.8823529411764706,16.0,18.456009070294783
gemini-2.0-flash-lite,0.25925925925925924,0.07222222222222222,0.6249375476550578,0.9375,14.0,17.52
gemini-2.0-flash-lite,0.4090909090909091,0.11627906976744186,0.4371574283724135,0.9019607843137256,20.0,21.528027210884353
gemini-2.0-flash-lite,0.25,0.07228915662650602,0.5037208022655435,0.8888888888888888,13.0,19.45501133786848
gemini-2.0-flash-lite,0.44,0.0748663101604278,0.38694317759010316,0.9152542372881356,15.0,22.23201814058957
gemini-2.0-flash-lite,0.9,0.32075471698113206,0.051283703648473455,0.6666666666666666,52.0,17.1
gemini-2.0-flash-lite,0.6956521739130435,0.21839080459770116,0.0846235708322116,0.8518518518518519,38.0,18.326984126984126
gemini-2.0-flash-lite,0.22857142857142856,0.0547945205479452,0.63963348137883,0.9230769230769231,12.0,22.686303854875284
gemini-2.0-flash-lite,0.6956521739130435,0.21839080459770116,0.0846235708322116,0.8518518518518519,38.0,18.326984126984126
gemini-2.0-flash-lite,0.2,0.05069124423963134,0.6836858580099509,0.9487179487179487,12.0,18.168979591836734
gemini-2.0-flash-lite,0.22857142857142856,0.0547945205479452,0.63963348137883,0.9230769230769231,12.0,22.686303854875284
gemini-2.0-flash-lite,0.3793103448275862,0.09289617486338798,0.4377121098094503,0.9117647058823528,18.0,15.916009070294784
gemini-2.0-flash-lite,0.38461538461538464,0.10179640718562874,0.4272870063962341,0.8709677419354839,18.0,18.01265306122449
gemini-2.0-flash-lite,0.28,0.08176100628930817,0.59378308100735,0.9285714285714286,13.0,14.871020408163265
gemini-2.0-flash-lite,0.36,0.1,0.43527713779415106,0.9333333333333333,17.0,15.145986394557823
gemini-2.0-flash-lite,0.43478260869565216,0.18857142857142858,0.43527713779415106,0.8214285714285715,34.0,19.65700680272109
gemini-2.0-flash-lite,0.25,0.06289308176100629,0.6556397462101787,0.9629629629629629,11.0,18.07201814058957
gemini-2.0-flash-lite,0.391304347826087,0.09032258064516129,0.47426640493104016,0.9230769230769231,14.0,16.968027210884355
gemini-2.0-flash-lite,0.48,0.10810810810810811,0.3538049406567624,0.9655172413793104,21.0,20.18798185941043
gemini-2.0-flash-lite,0.25,0.05855855855855856,0.5805767005939101,0.925,13.0,18.61002267573696
gemini-2.0-flash-lite,0.2962962962962963,0.07344632768361582,0.4772349067014227,0.9666666666666667,14.0,18.030022675736962
gemini-2.0-flash-lite,0.2727272727272727,0.08571428571428572,0.6237774736059616,0.88,12.0,16.82403628117914
gemini-2.0-flash-lite,0.3548387096774194,0.0825242718446602,0.4214243418322088,0.8823529411764706,17.0,21.36
gemini-2.0-flash-lite,0.3548387096774194,0.07253886010362694,0.5316474451953961,0.8648648648648649,15.0,19.2
gemini-2.0-flash-lite,0.3103448275862069,0.08376963350785341,0.5853588479563882,0.8529411764705882,17.0,18.465034013605443
gemini-2.0-flash-lite,0.2222222222222222,0.07386363636363637,0.6620036925052327,0.9375,14.0,16.83800453514739
gemini-2.0-flash-lite,0.4074074074074074,0.14659685863874344,0.45799274419604485,0.8000000000000002,29.0,19.72798185941043
gemini-2.0-flash-lite,0.2413793103448276,0.05759162303664921,0.6241886696801318,0.9411764705882353,12.0,21.878004535147394
gemini-2.0-flash-lite,0.2916666666666667,0.07142857142857142,0.576091046275884,0.8571428571428571,14.0,19.061043083900227
gemini-2.0-flash-lite,0.3333333333333333,0.08379888268156424,0.4818168871787183,0.9375,15.0,18.86403628117914
gemini-2.0-flash-lite,0.23333333333333334,0.06806282722513089,0.6964365549070355,0.9142857142857143,13.0,18.786984126984127
gemini-2.0-flash-lite,0.5384615384615384,0.17682926829268292,0.32802934634269665,0.7457627118644068,30.0,14.568979591836735
gemini-2.0-flash-lite,0.21212121212121213,0.05581395348837209,0.6629849663362426,0.918918918918919,13.0,19.056009070294785
gemini-2.0-flash-lite,0.4074074074074074,0.09444444444444444,0.4117230572911877,0.90625,17.0,18.97301587301587
gemini-2.0-flash-lite,0.1724137931034483,0.047619047619047616,0.7563810838759576,0.9411764705882353,10.0,17.028027210884353
gemini-2.0-flash-lite,0.2608695652173913,0.07042253521126761,0.640427945703571,0.9615384615384616,11.0,15.879002267573696
gemini-2.0-flash-lite,0.34782608695652173,0.07386363636363637,0.5339293213731362,0.8363636363636364,13.0,16.683038548752833
gemini-2.0-flash-lite,0.39285714285714285,0.09340659340659341,0.43434098825795264,0.9090909090909091,18.0,19.805986394557824
gemini-2.0-flash-lite,0.41379310344827586,0.08808290155440414,0.3627766797787766,0.8787878787878787,17.0,20.52
gemini-2.0-flash-lite,0.2571428571428571,0.06666666666666667,0.6529942057256104,0.8974358974358975,14.0,20.4
gemini-2.0-flash-lite,0.5416666666666666,0.12994350282485875,0.184527128711065,0.9259259259259259,23.0,17.468979591836735
gemini-2.0-flash-lite,0.20588235294117646,0.05116279069767442,0.6736725254446679,0.9210526315789473,12.0,20.23201814058957
gemini-2.0-flash-lite,0.4444444444444444,0.0913978494623656,0.3093527647131144,0.870967741935484,18.0,19.296009070294783
gemini-2.0-flash-lite,0.38461538461538464,0.09580838323353294,0.4272870063962341,0.9032258064516129,16.0,15.92
gemini-2.0-flash-lite,0.47619047619047616,0.09219858156028368,0.34295479618200586,0.8799999999999999,13.0,15.76421768707483
gemini-2.0-flash-lite,0.20833333333333334,0.059782608695652176,0.6598997557898729,0.9285714285714286,11.0,17.98199546485261
gemini-2.0-flash-lite,0.38095238095238093,0.09420289855072464,0.3964513253420688,0.9166666666666666,14.0,16.056009070294785
gemini-2.0-flash-lite,0.21739130434782608,0.054945054945054944,0.6084121675336108,0.9230769230769231,10.0,21.44798185941043
gemini-2.0-flash-lite,0.2857142857142857,0.07746478873239436,0.6054657750562689,0.9166666666666666,11.0,15.968027210884355
gemini-2.0-flash-lite,0.5217391304347826,0.10126582278481013,0.396354718559582,0.8518518518518519,17.0,16.488027210884354
gemini-2.0-flash-lite,0.14705882352941177,0.045662100456621,0.8336104423443033,0.9210526315789473,10.0,22.23201814058957
gemini-2.0-flash-lite,0.32142857142857145,0.08021390374331551,0.5076453300895118,0.9393939393939394,16.0,19.34403628117914
gemini-2.0-flash-lite,0.27586206896551724,0.07608695652173914,0.6498516724937325,0.8823529411764706,15.0,19.248027210884352
gemini-2.0-flash-lite,0.3076923076923077,0.0875,0.5000305222355907,0.967741935483871,15.0,14.449024943310658
gemini-2.0-flash-lite,0.25,0.06285714285714286,0.5975969817602502,0.9629629629629629,11.0,21.92798185941043
gemini-2.0-flash-lite,0.625,0.1388888888888889,0.27195592687669795,0.912280701754386,25.0,19.944036281179137
gemini-2.0-flash-lite,0.35714285714285715,0.12777777777777777,0.5308656561870201,0.9206349206349206,23.0,19.2
gemini-2.0-flash-lite,0.17647058823529413,0.046948356807511735,0.7549638711508062,0.9210526315789473,11.0,17.286984126984127
gemini-2.0-flash-lite,0.4166666666666667,0.09032258064516129,0.4935578819979933,0.8928571428571429,15.0,17.330022675736963
gemini-2.0-flash-lite,0.5454545454545454,0.1,0.18797772744870717,0.8461538461538461,18.0,20.136009070294783
gemini-2.0-flash-lite,0.4090909090909091,0.0896551724137931,0.4556794776992747,0.8461538461538461,14.0,15.144036281179138
gemini-2.0-flash-lite,0.27586206896551724,0.06989247311827956,0.6498516724937325,0.9117647058823528,14.0,19.75201814058957
gemini-2.0-flash-lite,0.22727272727272727,0.056962025316455694,0.5894159589207006,0.92,10.0,21.27201814058957
gemini-2.0-flash-lite,0.2916666666666667,0.06875,0.45924571537645986,0.9629629629629629,11.0,17.239002267573696
gemini-2.0-flash-lite,0.3333333333333333,0.09523809523809523,0.47530577934167295,0.84375,19.0,18.936009070294784
