model,text,reference,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Vosk STT (Small IT),sono tutti compleanno di quelli da cui qualcuno autovettura targato il tempo che ti prendi tutti i tipo trova provenienti dal taglio manca ascolta farlo la violazioni ovvero tanti finito la sottovalutato verificate data ventuno ventidue ventitre quarantanove il via del tutto al numero cosi l'infrazione gli entrambi l'articolo sei commando okay okay tu tutto in codice penale contestazioni umiliata da parte della gente mariotti l'attenzione della perdita di tutti i che della stampa italiano tramite puoi contare anche la comunicazione,"Si notifica un preavviso relativo al veicolo autovettura targato UV123WX di tipo prova proveniente da italia, marca Skoda Fabia. La violazione, ovvero transito in zona accesso vietato, si è verificata in data 21/04/2025 alle ore 23:49 in via del Corso, al numero 12. L'infrazione rientra nell'articolo 6, comma 1a(1-12) del codice penale. Contestazione immediata da parte dell'agente Mario Rossi. La sanzione prevede la perdita di 1 punti. Si richiede la stampa in lingua italiano, tramite wifi, non stampare anche la comunicazione. ",2.8972601890563965,0.8765432098765432,0.46616541353383456,0.013634700310781204,0.3372093023255814,0.29069767441860467,249.0
Vosk STT (Small IT),no no no no no no no no no tutto un po',"Si sta redigendo verbale per violazione accertata il 24/03/2025 alle ore 04:41 in viale dei Giardini, al civico 8, a carico del veicolo Nissan Micra, macchina operatrice con targa QR456ST di tipo ufficiale, immatricolato in grecia. La violazione contestata è transito in zona accesso vietato, in base all'articolo 3, comma 1 del codice stradale. La contestazione è avvenuta immediatamente da parte dell'agente Carlo Bruni. Sono previsti 10 punti di decurtazione. Si richiede la stampa in lingua italiano via bluetooth, non stampare anche la comunicazione. ",81.27734303474426,1.0,0.9315315315315316,0.0,0.0,0.0,518.0
Vosk STT (Small IT),vivere la tua denti davanti di raccontato tutta la perché tutti questi di molti dall'olanda ma tutti gli abitanti la violazione potuto secondo che verifica tentata di aprile duemilaventicinque all'iride tu tutto è stato assunto all'indirizzo tutto di comando dispositivo non è stato che insultare immediatamente a causa di un'assenza di trasgressioni vestito montata contestazioni ha di trasmissione la canzone chiudete la perdita di tutti i dice della stampa italian tramite stampante la comunicazione,"Si notifica un preavviso relativo al veicolo autovettura targato QR987ST di tipo ufficiale proveniente da olanda, marca Kia Picanto. La violazione, ovvero parcheggio in doppia fila, si è verificata in data 17/04/2025 alle ore 21:54 in corso Vittorio Emanuele, al numero 15. L'infrazione rientra nell'articolo 3, comma 1 del codice civile. Non è stato possibile contestare immediatamente a causa dell'assenza del trasgressore, motivo mancata contestazione: assenza del trasgressore. La sanzione prevede la perdita di 2 punti. Si richiede la stampa in lingua italiano, tramite bluetooth, stampa anche la comunicazione. ",3.8132381439208984,0.8764044943820225,0.5243506493506493,0.021787780303102508,0.24852071005917162,0.22485207100591714,324.0
Vosk STT (Small IT),verbale il veicolo nissan micro rimorchio immatricolati austria contenga jimmy trecentoventimila occhi di tipo prova l'infrazione avvenuta in corso vittorio emanuele civico quindici perché c'è una rimozione semplice l'articolo sette come quindici del codice civile e seguito della violazione terreno decurtati tre punti il verbale è stato conquistato immediatamente dalla gente meteo gallo si prega di procedere con la stephen italiano tramite vuoi sei stephen che la comunicazione,"Sto emettendo un verbale per il veicolo Nissan Micra, rimorchio immatricolato in austria con targa MN321OP di tipo prova. L'infrazione è avvenuta in corso Vittorio Emanuele, civico 15: parcheggio in zona rimozione. Si applica l'articolo 7, comma 15 del codice civile. A seguito della violazione verranno decurtati 3 punti. Il verbale è stato contestato immediatamente dall'agente Matteo Gallo. Si prega di procedere con la stampa in italiano tramite wifi, stampa anche la comunicazione. ",1.6230549812316895,0.6301369863013698,0.3045267489711934,0.11773727079033754,0.6013986013986014,0.6013986013986014,149.0
Vosk STT (Small IT),procedendo con la redazione di un verbale per motoveicoli marca nissan mica icsi ypsilon centoventitre giza di tipo ufficiale immatricolati grazia in data quattro aprile duemilaventicinque alle ore sei dieci invierò ramo civico settantasette e stata commessa la seguente violazione parcheggiata in divieto di sosta articolo cinque tre del codice stradale della violazione con segue la perdita di due punti e stampa in modalità buio tutte in lingua italiano stampa anche la comunicazione,"Sto procedendo con la redazione di un verbale per motoveicolo, marca Nissan Micra, targa XY123ZA di tipo ufficiale, immatricolato in croazia. In data 04/04/2025 alle ore 06:10, in via Roma, al civico 77, è stata commessa la seguente violazione: parcheggio in divieto di sosta (articolo 5, comma 3 del codice stradale). Dalla violazione consegue la perdita di 2 punti. Stampa in modalità bluetooth e in lingua italiano, stampa anche la comunicazione. ",1.6320767402648926,0.5633802816901409,0.32962138084632514,0.2277028437814259,0.6438356164383562,0.6301369863013698,149.0
Vosk STT (Small IT),si notifica un preavviso per il veicolo ciampi api canto macchina agricola targa si ypsilon trecentoventi uno di tipo copertura proveniente da italia il giorno due aprile duemilaventicinque alle ore undici e ventidue in corso vittorio emanuele al numero civico quindi è stata commessa l'infrazione di transito in zona accesso vietato come previsto dall'articolo tre con ma uno del codice penale per questa violazione sono previsti quattro punti di decurtazione chiedo la stampa del preavviso in italiano via blu tutte non stampare anche la comunicazione,"Si notifica un preavviso per il veicolo Kia Picanto macchina agricola, targa XY321ZA di tipo copertura, proveniente da italia. Il giorno 02/04/2025, alle ore 11:22, in corso Vittorio Emanuele, al numero civico 15, è stata commessa l'infrazione di transito in zona accesso vietato, come previsto dall'articolo 3, comma 1, del codice penale. Per questa violazione sono previsti 4 punti di decurtazione. Chiedo la stampa del preavviso in italiano via bluetooth, non stampare anche la comunicazione. ",1.4542906284332275,0.4533333333333333,0.24444444444444444,0.3318107872573764,0.787878787878788,0.787878787878788,122.0
Vosk STT (Small IT),alle cinque ore di tempo intervalli di piccolo mattina operatrice gatto ti ha uno che ho qui un tante copertura immatricolati non rientra funestata sia stato un dio della rifiuto al ti dico che con violazione del codice uccidili articolo su combattente fatti tu lieto di torta sono questi effetti pentita di cui non è stato possibile una contestazioni immediata per l'assenza di infrastrutture non posso aiutare alcuna sanzione solo stampa tramite tutto italiano stampanti la comunicazione,"Alle 10:08 del 13/04/2025, sto redigendo un verbale per il veicolo macchina operatrice targato TR098YU con targa copertura, immatricolato in austriaL'infrazione è stata accertata in via della Repubblica, al civico 20, con violazione del codice civile, articolo 8,comma 6 per parcheggio in divieto di sosta Sono previsti 7 punti da decurtare. Non è stata possibile una contestazione immediata per l'assenza del trasgressore. Non posso applicare alcuna sanzione accessoria. Stampa tramite bluetooth, in italiano, stampa anche la comunicazione. ",2.9021167755126953,0.7922077922077922,0.39926062846580407,0.06141312100865394,0.36708860759493667,0.3544303797468354,217.0
Vosk STT (Small IT),attenzione sto generando un verbale per il veicolo da cassandra ero ciclomotori con targa icsi ypsilon si centocinquantaquattro già di tipo copertura immatricolati in germania per un'infrazione commessa il ventidue aprile duemilaventicinque alle due e tre l'infrazione avvenuta in via etna al numero quarantacinque dove il veicolo era in parcheggio davanti a passo carabine l'articolo violato è il centocinquantotto coma due del codice civile verranno tolti tra i punti dalla patente stampa questo verbale via piu tutti in italiano non stampare anche la comunicazione,"Attenzione, sto generando un verbale per il veicolo Dacia Sandero, ciclomotore con targa XY654ZA di tipo copertura, immatricolato in germania, per un'infrazione commessa il 22/04/2025 alle 02:03. L'infrazione è avvenuta in via Etnea, al numero 45, dove il veicolo era in parcheggio davanti a passo carrabile. L'articolo violato è il 158, comma 2 del codice civile. Verranno tolti 3 punti dalla patente. Stampa questo verbale via bluetooth in italiano, non stampare anche la comunicazione. ",1.3805110454559326,0.5,0.32991803278688525,0.2910278408518107,0.7317073170731708,0.7317073170731708,162.0
Vosk STT (Small IT),lo tutti da un preavviso dicono che corsa auto targa è belle centocinquantasei oh chi potrebbe proveniente dal il giorno ventisette marzo duemiladue allora e quattro le quarantanove via del tuo numero ci dico dove è stata tu questa l'infrazione di perché tu da come previsto dall'articolo te combattuto del codice strada per questa violazione della tua reputazione chiedo la stampa del preavviso italiani stampante la tu,"Si notifica un preavviso per il veicolo Opel Corsa autovettura, targa MN456OP di tipo prova, proveniente da slovenia. Il giorno 27/03/2025, alle ore 04:49, in via del Corso, al numero civico 12, è stata commessa l'infrazione di parcheggio su strisce pedonali, come previsto dall'articolo 7, comma 15, del codice stradale. Per questa violazione sono previsti 10 punti di decurtazione. Chiedo la stampa del preavviso in italiano via bluetooth, stampa anche la comunicazione. ",2.665191173553467,0.7638888888888888,0.4872881355932203,0.07742502831051495,0.41958041958041953,0.4055944055944056,231.0
Vosk STT (Small IT),quella quello che importanti di cui tutti hanno avuto intenzione di tutti i si trovava al differenti tipi di ha ceduto violando l'articolo come dice la gente in tutta una assunto un po' di sostituti di la stampa del di seduti tampone munizioni,"Procedo con la stesura di un verbale per il veicolo ciclomotore, marca Seat Ibiza, targato GH789IJ (di tipo prova), proveniente da croazia. L'infrazione è stata rilevata il 05/04/2025 alle ore 09:15. Il veicolo si trovava in via della Repubblica, al civico 20, in parcheggio in divieto di sosta, violando l'articolo 8, comma 6, del codice civile. L'agente Elena Fontana ha provveduto alla contestazione immediata dell'infrazione. La violazione comporta la perdita di 7 punti. Richiedo la stampa del verbale in italiano tramite bluetooth, stampa anche la comunicazione. ",4.8798463344573975,0.8837209302325582,0.6901408450704225,0.013878832428972556,0.24999999999999994,0.2058823529411765,393.0
