model,text,reference,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Whisper Tiny (OpenAI)," il giorno 2 aprile 2020, al leore 8-10 è stato redatto un verbale per il veicolo audi a3, molto veicolo in matricolato in olanda con targazza a 4506 cupi di tipo speciale, l'infrazione è avvenuta in. vi alle dei jardini, al civico 8 è stata riscontrata una violazione del codice penale. articolo 105, con ma 2 o vero parqueggio davanti a passo carrabile non è stata","Il giorno 02/04/2025, alle ore 07:50, è stato redatto un verbale per il veicolo Audi A3, motoveicolo immatricolato in olanda con targa ZA456QP di tipo speciale.L'infrazione è avvenuta in viale dei Giardini, al civico 8. È stata riscontrata una violazione del codice penale, articolo 185, comma 2 ovvero parcheggio davanti a passo carrabileNon è stato possibile contestare sul posto a causa dell'assenza del trasgressore. Sono previsti 3 punti da decurtare, e non è stata applicata alcuna sanzione accessoria. Stampa in italiano tramite wifi, non stampare anche la comunicazione.",1.6005644798278809,0.7386363636363636,0.4826989619377163,0.1873286952763409,0.5490196078431372,0.5098039215686275,280.0
Whisper Distilled IT (bofenghuang),"il giorno 2 aprile 2025. alle ore 8 meno 10. è stato redatto un verbale per il veicolo audi a3. motoveicolo immatricolato in olanda con targazza a456 qp di tipo speciale. l'infrazione è avvenuta in viale dei giardini. al civico 8, è stata riscontrata una violazione del codice penale. articolo 185,2 ovvero parcheggio davanti a passo carrabile.","Il giorno 02/04/2025, alle ore 07:50, è stato redatto un verbale per il veicolo Audi A3, motoveicolo immatricolato in olanda con targa ZA456QP di tipo speciale.L'infrazione è avvenuta in viale dei Giardini, al civico 8. È stata riscontrata una violazione del codice penale, articolo 185, comma 2 ovvero parcheggio davanti a passo carrabileNon è stato possibile contestare sul posto a causa dell'assenza del trasgressore. Sono previsti 3 punti da decurtare, e non è stata applicata alcuna sanzione accessoria. Stampa in italiano tramite wifi, non stampare anche la comunicazione.",9.76932406425476,0.6477272727272727,0.48961937716262977,0.24287118466815844,0.6482758620689656,0.6482758620689656,283.0
Faster Whisper Tiny (Turbo)," il giorno 2 aprile 2020, alle ore 8-10.  è stato redatto un verbale per il veicolo audi a3.  motoveicolo in matricolato in olanda, contargazza a 450-6 cupi di tipo speciale,  l'infrazione è avvenuta in.  vi alle dei jardini, al civico 8, è stata riscontrata una violazione del codice penale.  articolo 105, comma 2 o vero parqueggio davanti a passo carabile  non è stato possibile contestare sul posto a causa dell'assenza del trasgressore,  sono previsti tre punti da decoltare, e non è stata applicata alcuna sancione accessoria.  stampa in italiano tramite wi-fi, non stampare anche la comunicazione.","Il giorno 02/04/2025, alle ore 07:50, è stato redatto un verbale per il veicolo Audi A3, motoveicolo immatricolato in olanda con targa ZA456QP di tipo speciale.L'infrazione è avvenuta in viale dei Giardini, al civico 8. È stata riscontrata una violazione del codice penale, articolo 185, comma 2 ovvero parcheggio davanti a passo carrabileNon è stato possibile contestare sul posto a causa dell'assenza del trasgressore. Sono previsti 3 punti da decurtare, e non è stata applicata alcuna sanzione accessoria. Stampa in italiano tramite wifi, non stampare anche la comunicazione.",1.6764552593231201,0.4090909090909091,0.12283737024221453,0.3585456735796719,0.7567567567567568,0.7567567567567568,72.0
Vosk STT (Small IT),il giorno due aprile duemilaventicinque alle otto meno dieci è stato redatto un verbale per il veicolo audi a tre molto veicolo immatricolati in olanda con targa kazaka quattrocentocinquanta sei cupi di tipo speciale l'infrazione e avvenuta in viale dei giardini al civico e stata riscontrata una violazione del codice penale articolo centottantacinque comma due ovvero parcheggio davanti a passo carabine non è stato possibile contestare sul posto a causa dell'assenza del trasgressori sono previsti tre punti da decurtare e non è stata applicata alcuna sanzione accessoria stampa in italiano tramite vuoi fai non stampare anche la comunicazione,"Il giorno 02/04/2025, alle ore 07:50, è stato redatto un verbale per il veicolo Audi A3, motoveicolo immatricolato in olanda con targa ZA456QP di tipo speciale.L'infrazione è avvenuta in viale dei Giardini, al civico 8. È stata riscontrata una violazione del codice penale, articolo 185, comma 2 ovvero parcheggio davanti a passo carrabileNon è stato possibile contestare sul posto a causa dell'assenza del trasgressore. Sono previsti 3 punti da decurtare, e non è stata applicata alcuna sanzione accessoria. Stampa in italiano tramite wifi, non stampare anche la comunicazione.",1.7005345821380615,0.42045454545454547,0.24048442906574394,0.3995620053627355,0.7741935483870968,0.7741935483870968,139.0
Wav2Vec2 XLSR Italian (Grosman),il giorno due aprile duemila venticinque alle ore otto meno dieci  stato redatto un verbale per il veicolo audiatre motoveicolo immatricolato in olanda con targaza quattrocentocinquantasei cup di tipo speciale l'infrazione è avvenuta in viale dei giardini alcivico otto è stata riscontrata una violazione del codice penale articolo centottantacinque coma due o vero parcheggio davanti a passo carrabile non è stato possibile contestare sul posto a causa dell'assenza del trasgressore sono previsti tre punti da decurtare e non è stata applicata alcuna sanzione accessoria stampa in italiano tramite wifai non stampare anche la comunicazione,"Il giorno 02/04/2025, alle ore 07:50, è stato redatto un verbale per il veicolo Audi A3, motoveicolo immatricolato in olanda con targa ZA456QP di tipo speciale.L'infrazione è avvenuta in viale dei Giardini, al civico 8. È stata riscontrata una violazione del codice penale, articolo 185, comma 2 ovvero parcheggio davanti a passo carrabileNon è stato possibile contestare sul posto a causa dell'assenza del trasgressore. Sono previsti 3 punti da decurtare, e non è stata applicata alcuna sanzione accessoria. Stampa in italiano tramite wifi, non stampare anche la comunicazione.",9.827628135681152,0.4090909090909091,0.21972318339100347,0.41515175399847476,0.7734806629834255,0.7734806629834255,127.0
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),il giorno due aprile due milaventcinque alle ore otto meno dieci è stato redatto un verbale per il veicolo audia tre molto vecolo in matricolato inolanda con targazza quattrocentcinquantasei cupidi tipo speciale linfrazione avvenuta in viale ei giardini alcivicotto è stata riscontrata una violazione del codice penale articolocntantacinque comma due ovvero parcheggio davanti a passo carrabile non è stato possibile contestare sul posto a causa dellassenza del trasgressore sono previsti trepunti da decurtare e non è stata applicata alcuna sanzione accessoria stampa in italiano tramitewai fai non stampare anche la comunicazione,"Il giorno 02/04/2025, alle ore 07:50, è stato redatto un verbale per il veicolo Audi A3, motoveicolo immatricolato in olanda con targa ZA456QP di tipo speciale.L'infrazione è avvenuta in viale dei Giardini, al civico 8. È stata riscontrata una violazione del codice penale, articolo 185, comma 2 ovvero parcheggio davanti a passo carrabileNon è stato possibile contestare sul posto a causa dell'assenza del trasgressore. Sono previsti 3 punti da decurtare, e non è stata applicata alcuna sanzione accessoria. Stampa in italiano tramite wifi, non stampare anche la comunicazione.",29.06729769706726,0.4772727272727273,0.2301038062283737,0.35767069612621394,0.6818181818181819,0.6818181818181819,133.0
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",il giorno due aprile due mila venticinque alleore ottomenodiece  stato redatto un verbale per il vehicolo audia tre moo veicolo inmatricolato in olanda con targazza quattrocentocinquantasei cupi di tipo speciale linfrazione avvenuta ine viale dei giardini al civico otto è stata riscontrata una violazione del codice penare articolo centottantacinqu coma due o vero parcheggio davanti a passo carrabile non è stato possibile contestare sul postoa causa dellassenza del trasgressore sono previsti tre punti da decurtare e non è stata applicata alcuna sansione accesoria stnpa in italiano tramite wuaifae non stanpare anche la comunicazione,"Il giorno 02/04/2025, alle ore 07:50, è stato redatto un verbale per il veicolo Audi A3, motoveicolo immatricolato in olanda con targa ZA456QP di tipo speciale.L'infrazione è avvenuta in viale dei Giardini, al civico 8. È stata riscontrata una violazione del codice penale, articolo 185, comma 2 ovvero parcheggio davanti a passo carrabileNon è stato possibile contestare sul posto a causa dell'assenza del trasgressore. Sono previsti 3 punti da decurtare, e non è stata applicata alcuna sanzione accessoria. Stampa in italiano tramite wifi, non stampare anche la comunicazione.",10.68445372581482,0.5,0.25259515570934254,0.2691140063446394,0.6256983240223464,0.6256983240223464,146.0
Whisper Tiny (OpenAI)," si avvisa che è in corso la stesura di un preavviso di violazione per il veicolo rimorchio con. targa i 1033 chilolidri di tipo oficiale. marca folk swagendolf, proveniente da grecia, l'infrazione, nell'ospecifico parqueggio in doppia fila. si è verificata in data di ciotto marzo 2020 alle ore 21 e 23 in via della repubblica. al numero 20, articolo 14, con ma 1 del","Si avvisa che è in corso la stesura di un preavviso di violazione per il veicolo rimorchio con targa IJ123KL di tipo ufficiale, marca Volkswagen Golf, proveniente da grecia. L'infrazione, nello specifico parcheggio in doppia fila, si è verificata in data 18/03/2025 alle ore 21:23 in via della Repubblica, al numero 20 (articolo 14, comma 1 del codice civile). Si comunica che dalla violazione conseguirà una decurtazione di 8 punti.Si richiede la stampa in lingua italiano, modalità wifi, non stampare anche la comunicazione.",1.7756290435791016,0.6265060240963856,0.4505703422053232,0.2780584899784409,0.6533333333333333,0.6399999999999999,238.0
Whisper Distilled IT (bofenghuang),"si avvisa che è in corso la stesura di un preavviso di violazione per il veicolo rimorchio con targa i.123 chilolitri di tipo ufficiale, marca volkswagen golf, proveniente da grecia, l'infrazione, nello specifico parcheggio in doppia fila. si è verificata in data 18 marzo 2025 alle ore 21 e 23 in via della repubblica. al numero 20, articolo 14,1 del codice civile.","Si avvisa che è in corso la stesura di un preavviso di violazione per il veicolo rimorchio con targa IJ123KL di tipo ufficiale, marca Volkswagen Golf, proveniente da grecia. L'infrazione, nello specifico parcheggio in doppia fila, si è verificata in data 18/03/2025 alle ore 21:23 in via della Repubblica, al numero 20 (articolo 14, comma 1 del codice civile). Si comunica che dalla violazione conseguirà una decurtazione di 8 punti.Si richiede la stampa in lingua italiano, modalità wifi, non stampare anche la comunicazione.",12.86702585220337,0.5421686746987951,0.3935361216730038,0.3445072800355875,0.7785234899328859,0.7785234899328859,207.0
Faster Whisper Tiny (Turbo)," si avvisa che è in corso la stesura di un preavviso di violazione per il veicolo rimorchio con.  targa i 1033 chilolidri di tipo oficiale.  marca folk swagendolf, proveniente da grecia, l'infrazione,  nell'ospecifico parqueggio in doppia fila.  si è verificata in data di ciotto marzo 2.25 alle ore ventuno e 23 in via della repubblica.  al numero 20, articolo 14, con ma 1 del codice civile.  si comunica che dalla violazione conseguirà una decortazione di 8 punti, si richiede la stampa in.  l'ingua italiano, modalità wi-fi, non stampare anche la comunicazione.","Si avvisa che è in corso la stesura di un preavviso di violazione per il veicolo rimorchio con targa IJ123KL di tipo ufficiale, marca Volkswagen Golf, proveniente da grecia. L'infrazione, nello specifico parcheggio in doppia fila, si è verificata in data 18/03/2025 alle ore 21:23 in via della Repubblica, al numero 20 (articolo 14, comma 1 del codice civile). Si comunica che dalla violazione conseguirà una decurtazione di 8 punti.Si richiede la stampa in lingua italiano, modalità wifi, non stampare anche la comunicazione.",2.2536191940307617,0.40963855421686746,0.1520912547528517,0.377761993793324,0.7888888888888889,0.7888888888888889,81.0
Vosk STT (Small IT),si avvisa che è in corso la stesura di un preavviso di violazione per il veicolo rimorchio con targa i centoventitre chi lo litri di tipo ufficiale marca fox vaga in golf proveniente da grecia l'infrazione nello specifico parcheggia in doppia fila sia e verificata in data diciotto marzo duemilaventicinque alle ore ventuno e ventitré in via della repubblica al numero venti articolo quattordici con ma uno del codice civile si comunica che dalla violazione conseguirà una decurtazione di otto punti si richiede la stampa in lingua italiano modalità hawaii fai non stampare anche la comunicazione,"Si avvisa che è in corso la stesura di un preavviso di violazione per il veicolo rimorchio con targa IJ123KL di tipo ufficiale, marca Volkswagen Golf, proveniente da grecia. L'infrazione, nello specifico parcheggio in doppia fila, si è verificata in data 18/03/2025 alle ore 21:23 in via della Repubblica, al numero 20 (articolo 14, comma 1 del codice civile). Si comunica che dalla violazione conseguirà una decurtazione di 8 punti.Si richiede la stampa in lingua italiano, modalità wifi, non stampare anche la comunicazione.",1.5892081260681152,0.46987951807228917,0.2661596958174905,0.37783254999727267,0.7802197802197802,0.7802197802197802,140.0
Wav2Vec2 XLSR Italian (Grosman),si avvisa che è in corso la stesura di un preavviso di violazione per il veicolo rimorchio con targai centoventitré chilolitri di tipo ufficiale marca folxwigengolf proveniente da grecia linfrazione nello specifico parcheggio in doppia fila si è verificata in data diciotto marzo duemila venticinque alle ore ventuno e ventitré in via della repubblica al numero venti articolo quattordici coma uno del codice civile si comunica che dalla violazione conseguirà una decurtazione di otto punti si richiede la stampa in lingua italiano modalità wifai non stampare anche la comunicazione,"Si avvisa che è in corso la stesura di un preavviso di violazione per il veicolo rimorchio con targa IJ123KL di tipo ufficiale, marca Volkswagen Golf, proveniente da grecia. L'infrazione, nello specifico parcheggio in doppia fila, si è verificata in data 18/03/2025 alle ore 21:23 in via della Repubblica, al numero 20 (articolo 14, comma 1 del codice civile). Si comunica che dalla violazione conseguirà una decurtazione di 8 punti.Si richiede la stampa in lingua italiano, modalità wifi, non stampare anche la comunicazione.",9.501172065734863,0.37349397590361444,0.2414448669201521,0.44403311256188893,0.7976878612716762,0.7976878612716762,127.0
