model,text,reference,time,cost,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
gemini-2.0-flash,Segna il prossimo lunedì.,segna il prossimo lunedì,0.9428973197937012,4.038998565673828e-05,0.5,0.08333333333333333,0.16990442448471224,1.0,1.0,2.0
gemini-2.0-flash,Riproduci la lista delle mie canzoni più ascoltate.,riproduci la lista delle mie canzoni più ascoltate,3.06,0.00011651200000000001,0.25,0.04,0.6803749333171202,1.0,1.0,2.0
gemini-2.0-flash,Disattiva la sveglia delle 15.,disattiva la sveglia delle quindici,3.18,0.000119536,0.4,0.2571428571428571,0.26591479484724945,0.8000000000000002,0.8000000000000002,9.0
gemini-2.0-flash,"Cancella sveglia.
",cancella sveglia,1.92,7.3984e-05,1.0,0.125,0.0,1.0,1.0,3.0
gemini-2.0-flash,Ricordami i miei impegni del pomeriggio.,ricordami i miei impegni del pomeriggio,3.6,0.00013472,0.3333333333333333,0.05128205128205128,0.5081327481546147,1.0,1.0,2.0
gemini-2.0-flash,Metti in pausa il libro.,metti in pausa il libro,2.16,8.3632e-05,0.4,0.08695652173913043,0.26591479484724945,1.0,1.0,2.0
gemini-2.0-flash,"Ehi, puoi abbassare le luci, per favore?",ehi puoi abbassare le luci per favore,2.7,0.00010344000000000001,0.42857142857142855,0.10810810810810811,0.17567205239427922,1.0,1.0,4.0
gemini-2.0-flash,Quando è Pasqua nell'anno 2018?,quand'è pasqua nell'anno duemiladiciotto,2.94,0.00011108799999999999,1.0,0.475,0.05372849659117709,0.6,0.6,19.0
gemini-2.0-flash,Parla più forte.,parla più forte,1.74,6.8048e-05,0.6666666666666666,0.13333333333333333,0.11362193664674995,1.0,1.0,2.0
gemini-2.0-flash,Come si fa il tacchino?,come si fa il tacchino,2.88,0.000108976,0.4,0.09090909090909091,0.26591479484724945,1.0,1.0,2.0
gemini-2.0-flash,"Per favore, scrivi una nuova email a un collega.",per favore scrivi una nuova email a un collega,4.5,0.0001676,0.3333333333333333,0.06521739130434782,0.5873949094699213,1.0,1.0,3.0
gemini-2.0-flash,Quando comincia ufficialmente la fase a eliminazione diretta della Champions League?,quando comincia ufficialmente la fase a eliminazione diretta della champions league,5.58,0.00020641599999999998,0.2727272727272727,0.04819277108433735,0.6786502681586727,1.0,1.0,4.0
gemini-2.0-flash,Mi serve un biglietto del treno da Bologna a Parma.,mi serve un biglietto del treno da bologna a parma,4.56,0.000170112,0.3,0.08,0.537284965911771,1.0,1.0,4.0
gemini-2.0-flash,"Per favore, aggiungi arance alla mia lista della spesa.",per favore aggiungi arance alla mia lista della spesa,4.5,0.0001676,0.3333333333333333,0.05660377358490566,0.5873949094699213,1.0,1.0,3.0
gemini-2.0-flash,Aggiungi un orologio da polso alla lista delle cose da comprare.,aggiungi un orologio da polso alla lista delle cose da comprare,4.32,0.000162064,0.18181818181818182,0.031746031746031744,0.7860753021519787,1.0,1.0,2.0
gemini-2.0-flash,"Per favore, riproduci l'ultimo podcast di Francesco Costa.",per favore riproduci l'ultimo podcast di francesco costa,4.38,0.00016297599999999998,0.5,0.08928571428571429,0.345720784641941,1.0,1.0,5.0
gemini-2.0-flash,Quanto devo cuocere una bistecca a cottura media?,quanto devo cuocere una bistecca a cottura media,3.18,0.000120736,0.25,0.041666666666666664,0.6803749333171202,1.0,1.0,2.0
gemini-2.0-flash,"Ehi, come sarà il tempo oggi a Milano, Lombardia?",ehi come sarà il tempo oggi a milano lombardia,3.96,0.00014859200000000002,0.3333333333333333,0.13043478260869565,0.5873949094699213,1.0,1.0,6.0
gemini-2.0-flash,Riesco a malapena a sentirti.,riesco a malapena a sentirti,2.4,9.208e-05,0.4,0.07142857142857142,0.26591479484724945,1.0,1.0,2.0
gemini-2.0-flash,Qual è il Conad più vicino?,qual è il conad più vicino,2.92,0.000110784,0.5,0.11538461538461539,0.09554427922043669,1.0,1.0,3.0
gemini-2.0-flash,Chi è il direttore musicale di questo brano?,chi è il direttore musicale di questo brano,4.68,0.00017353599999999996,0.25,0.046511627906976744,0.6803749333171202,1.0,1.0,2.0
gemini-2.0-flash,Quali sono le novità di oggi?,quali sono le novità di oggi,2.52,9.6704e-05,0.3333333333333333,0.07142857142857142,0.5081327481546147,1.0,1.0,2.0
gemini-2.0-flash,Nuova sveglia per le 6:00 di mattina.,nuova sveglia per le sei di mattina,3.36,0.00012667199999999998,0.42857142857142855,0.17142857142857143,0.17567205239427922,0.7999999999999999,0.7999999999999999,6.0
gemini-2.0-flash,Cosa c'è dentro la torta mimosa?,cosa c'è dentro la torta mimosa,3.72,0.000138944,0.3333333333333333,0.06451612903225806,0.5081327481546147,1.0,1.0,2.0
gemini-2.0-flash,Passa alla prossima sezione.,passa alla prossima sezione,2.3467120181405896,8.980426303854874e-05,0.5,0.07407407407407407,0.16990442448471224,1.0,1.0,2.0
gemini-2.0-flash,"Cerca informazioni online.
",cerca informazioni online,2.94,0.000110288,0.6666666666666666,0.08,0.11362193664674995,1.0,1.0,3.0
gemini-2.0-flash,cancella l'incontro di domani dal mio calendario.,cancella l'incontro di domani dal mio calendario,4.2,0.00015624,0.14285714285714285,0.020833333333333332,0.8091067115702212,1.0,1.0,1.0
gemini-2.0-flash,"Siri, che data è oggi?",siri che data è oggi,2.52,9.630399999999999e-05,0.4,0.15,0.26591479484724945,1.0,1.0,3.0
gemini-2.0-flash,Quali film drammatici debutta questo fine settimana?,olly quali film drammatici debuttano questo fine settimana,4.26,0.000158352,0.5,0.15517241379310345,0.08563683466425753,0.7999999999999999,0.7999999999999999,9.0
gemini-2.0-flash,Puoi prenotarmi un taxi?,puoi prenotarmi un taxi,4.32,0.00015926400000000003,0.5,0.08695652173913043,0.16990442448471224,1.0,1.0,2.0
gemini-2.0-flash,Controlla email da Stefano.,controlla email da stefano,2.88,0.000108576,0.5,0.11538461538461539,0.16990442448471224,1.0,1.0,3.0
gemini-2.0-flash,Aggiungi questo brano al prossimo brano in riproduzione.,aggiungi questo brano al prossimo brano in riproduzione,3.9,0.00014607999999999998,0.25,0.03636363636363636,0.6803749333171202,1.0,1.0,2.0
gemini-2.0-flash,Che ore sono a Milano adesso?,che ore sono a milano adesso,2.7,0.00010304000000000002,0.5,0.10714285714285714,0.20205155046766235,1.0,1.0,3.0
gemini-2.0-flash,"Ehi, che ore sono a Roma adesso?",ehi che ore sono a roma adesso,3.370702947845805,0.00012704874376417231,0.42857142857142855,0.13333333333333333,0.41113361690051975,1.0,1.0,4.0
gemini-2.0-flash,Qual è l'oggetto dell'ultima email di mamma?,qual è l'oggetto dell'ultima email di mamma,3.66,0.000137232,0.2857142857142857,0.046511627906976744,0.6147881529512643,1.0,1.0,2.0
gemini-2.0-flash,Fammi una tazza di caffè con panna e caramello salato.,fammi una tazza di caffè con panna al caramello salato,4.98,0.000184896,0.3,0.07407407407407407,0.537284965911771,0.9,0.9,4.0
gemini-2.0-flash,Quali sono le ultime notizie sull'IRAI?,quali sono le ultime notizie sulla rai,2.88,0.000109376,0.42857142857142855,0.18421052631578946,0.43012508513132625,0.7142857142857143,0.7142857142857143,7.0
