model,text,reference,time,cost,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
gemini-2.0-flash-lite,"Segna il prossimo lunedì.
",segna il prossimo lunedì,2.82,3.564e-05,0.5,0.08333333333333333,0.16990442448471224,1.0,1.0,3.0
gemini-2.0-flash-lite,"Riproduci la lista delle mie canzoni più ascoltate.
",riproduci la lista delle mie canzoni più ascoltate,3.06,3.9720000000000006e-05,0.25,0.04,0.6803749333171202,1.0,1.0,3.0
gemini-2.0-flash-lite,"Disattiva la sveglia delle quindici.
",disattiva la sveglia delle quindici,3.18,4.026e-05,0.4,0.05714285714285714,0.26591479484724945,1.0,1.0,3.0
gemini-2.0-flash-lite,"Cancella sveglia.
",cancella sveglia,1.92,2.424e-05,1.0,0.125,0.0,1.0,1.0,3.0
gemini-2.0-flash-lite,"Ricordami i miei impegni del pomeriggio.
",ricordami i miei impegni del pomeriggio,3.6,4.56e-05,0.3333333333333333,0.05128205128205128,0.5081327481546147,1.0,1.0,3.0
gemini-2.0-flash-lite,"Metti in pausa il libro.
",metti in pausa il libro,2.16,2.802e-05,0.4,0.08695652173913043,0.26591479484724945,1.0,1.0,3.0
gemini-2.0-flash-lite,"Ehi, puoi abbassare le luci, per favore?
",ehi puoi abbassare le luci per favore,2.7,3.51e-05,0.42857142857142855,0.10810810810810811,0.17567205239427922,1.0,1.0,5.0
gemini-2.0-flash-lite,"Pasqua nel 2018 è stata il 1° aprile.
",quand'è pasqua nell'anno duemiladiciotto,2.94,3.827999999999999e-05,2.0,0.825,0.0,0.16666666666666666,0.16666666666666666,33.0
gemini-2.0-flash-lite,"Parla più forte.
",parla più forte,1.74,2.238e-05,0.6666666666666666,0.13333333333333333,0.11362193664674995,1.0,1.0,3.0
gemini-2.0-flash-lite,"Come si fa il tacchino?
",come si fa il tacchino,2.88,3.666e-05,0.4,0.09090909090909091,0.26591479484724945,1.0,1.0,3.0
gemini-2.0-flash-lite,"Certo, ecco la trascrizione:
""Per favore, scrivi una nuova email a un collega.""
",per favore scrivi una nuova email a un collega,4.5,5.85e-05,0.6666666666666666,0.7391304347826086,0.3805803001674946,0.8181818181818181,0.8181818181818181,35.0
gemini-2.0-flash-lite,"Quando comincia ufficialmente la fase a eliminazione diretta della Champions League?
",quando comincia ufficialmente la fase a eliminazione diretta della champions league,5.58,7.086e-05,0.2727272727272727,0.04819277108433735,0.6786502681586727,1.0,1.0,5.0
gemini-2.0-flash-lite,"Mi serve un biglietto del treno da Bologna a Parma.
",mi serve un biglietto del treno da bologna a parma,4.56,5.831999999999999e-05,0.3,0.08,0.537284965911771,1.0,1.0,5.0
gemini-2.0-flash-lite,"Per favore, aggiungi arance alla mia lista della spesa.
",per favore aggiungi arance alla mia lista della spesa,4.5,5.73e-05,0.3333333333333333,0.05660377358490566,0.5873949094699213,1.0,1.0,4.0
gemini-2.0-flash-lite,"Aggiungi un orologio da polso alla lista delle cose da comprare.
",aggiungi un orologio da polso alla lista delle cose da comprare,4.32,5.574e-05,0.18181818181818182,0.031746031746031744,0.7860753021519787,1.0,1.0,3.0
gemini-2.0-flash-lite,"Per favore, riproduci l'ultimo podcast di Francesco Costa.
",per favore riproduci l'ultimo podcast di francesco costa,4.38,5.5559999999999997e-05,0.5,0.08928571428571429,0.345720784641941,1.0,1.0,6.0
gemini-2.0-flash-lite,"Quanto devo cuocere una bistecca a cottura media?
",quanto devo cuocere una bistecca a cottura media,3.18,4.116e-05,0.25,0.041666666666666664,0.6803749333171202,1.0,1.0,3.0
gemini-2.0-flash-lite,"Ehi, come sarà il tempo oggi a Milano, Lombardia?
",ehi come sarà il tempo oggi a milano lombardia,3.96,5.0820000000000005e-05,0.3333333333333333,0.13043478260869565,0.5873949094699213,1.0,1.0,7.0
gemini-2.0-flash-lite,"esco a malapena a sentirti.
",riesco a malapena a sentirti,2.4,3.09e-05,0.4,0.10714285714285714,0.26591479484724945,0.8000000000000002,0.8000000000000002,4.0
gemini-2.0-flash-lite,"Qual è il Conad più vicino?
",qual è il conad più vicino,2.92,3.7439999999999994e-05,0.5,0.11538461538461539,0.09554427922043669,1.0,1.0,4.0
gemini-2.0-flash-lite,"Chi è il direttore musicale di questo brano?
",chi è il direttore musicale di questo brano,4.68,5.915999999999999e-05,0.25,0.046511627906976744,0.6803749333171202,1.0,1.0,3.0
gemini-2.0-flash-lite,Quali sono le novità di oggi?,quali sono le novità di oggi,2.52,3.264e-05,0.3333333333333333,0.07142857142857142,0.5081327481546147,1.0,1.0,2.0
gemini-2.0-flash-lite,"Nuova sveglia per le 6:00 di mattina.
",nuova sveglia per le sei di mattina,3.36,4.301999999999999e-05,0.42857142857142855,0.17142857142857143,0.17567205239427922,0.7999999999999999,0.7999999999999999,7.0
gemini-2.0-flash-lite,"Cosa c'è dentro la torta mimosa?
",cosa c'è dentro la torta mimosa,3.72,4.7040000000000004e-05,0.3333333333333333,0.06451612903225806,0.5081327481546147,1.0,1.0,3.0
gemini-2.0-flash-lite,"Passa alla prossima sezione.
",passa alla prossima sezione,2.3467120181405896,2.9960544217687074e-05,0.5,0.07407407407407407,0.16990442448471224,1.0,1.0,3.0
gemini-2.0-flash-lite,"Certo, posso farlo. Per favore, fornisci l'audio allegato.
",cerca informazioni online,2.94,3.827999999999999e-05,2.6666666666666665,1.8,0.0,0.0,0.0,46.0
