model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
gemini-1.5-pro,0.25,0.057692307692307696,0.53107253497887,1.0,4.0,1.15830659866333
gemini-1.5-pro,0.21428571428571427,0.02727272727272727,0.6162607099729586,0.9285714285714286,4.0,8.1
gemini-1.5-pro,0.25,0.0847457627118644,0.7259795291154771,1.0,6.0,4.68
gemini-1.5-pro,0.5,0.08695652173913043,0.20205155046766235,0.8571428571428571,5.0,4.14
gemini-1.5-pro,0.5,0.08536585365853659,0.21972813874997157,1.0,7.0,5.832018140589569
gemini-1.5-pro,0.42857142857142855,0.06451612903225806,0.44710186192584195,1.0,7.0,6.552018140589569
gemini-1.5-pro,0.25,0.03896103896103896,0.7102992180127422,1.0,4.0,4.212018140589569
gemini-1.5-pro,0.42857142857142855,0.0875,0.2658483576665877,1.0,8.0,9.756009070294784
gemini-1.5-pro,0.1,0.013513513513513514,0.8801117367933934,1.0,2.0,5.94
gemini-1.5-pro,0.2222222222222222,0.03773584905660377,0.6104735835807844,1.0,3.0,4.6440362811791385
gemini-1.5-pro,0.08333333333333333,0.011904761904761904,0.9036020036098448,1.0,2.0,6.516009070294785
gemini-1.5-pro,0.3,0.09259259259259259,0.6389431042462724,0.8888888888888888,6.0,3.5640362811791384
gemini-1.5-pro,0.25,0.21311475409836064,0.4832697830906221,0.8799999999999999,14.0,8.856009070294785
gemini-1.5-pro,0.09090909090909091,0.012048192771084338,0.8931539818068694,1.0,2.0,5.94
gemini-1.5-pro,0.14285714285714285,0.02040816326530612,0.8091067115702212,1.0,2.0,5.076009070294784
gemini-1.5-pro,0.08333333333333333,0.011363636363636364,0.9036020036098448,1.0,2.0,6.3
gemini-1.5-pro,0.3333333333333333,0.05660377358490566,0.5873949094699213,1.0,4.0,6.336009070294785
gemini-1.5-pro,1.0,0.125,0.0,1.0,3.0,2.304036281179138
gemini-1.5-pro,0.2,0.03636363636363636,0.5253819788848316,1.0,3.0,5.22
gemini-1.5-pro,0.125,0.02,0.8408964152537145,1.0,2.0,5.616009070294784
gemini-1.5-pro,0.16666666666666666,0.060240963855421686,0.8070557274927982,0.9090909090909091,6.0,5.796009070294785
gemini-1.5-pro,0.1,0.017241379310344827,0.8801117367933934,1.0,2.0,4.428027210884354
gemini-1.5-pro,0.18181818181818182,0.03278688524590164,0.6315552371794037,1.0,3.0,4.68
gemini-1.5-pro,0.2857142857142857,0.0847457627118644,0.6803749333171202,0.9333333333333333,6.0,5.76
gemini-1.5-pro,0.08333333333333333,0.0125,0.9036020036098448,1.0,2.0,8.856009070294785
gemini-1.5-pro,0.125,0.018867924528301886,0.8408964152537145,1.0,2.0,3.1320181405895693
gemini-1.5-pro,0.2,0.03278688524590164,0.6606328636027614,1.0,3.0,6.48
gemini-1.5-pro,0.1111111111111111,0.014925373134328358,0.8633400213704505,1.0,2.0,5.7240362811791385
gemini-1.5-pro,0.14285714285714285,0.022222222222222223,0.8385766789076257,1.0,3.0,5.832018140589569
gemini-1.5-pro,0.5,0.06896551724137931,0.1477219991186121,1.0,5.0,3.312018140589569
gemini-1.5-pro,0.6363636363636364,0.13636363636363635,0.04740604259878138,0.8571428571428572,10.0,5.112018140589569
gemini-1.5-pro,0.09090909090909091,0.017543859649122806,0.8931539818068694,1.0,2.0,6.948027210884354
gemini-1.5-pro,0.1,0.011764705882352941,0.8801117367933934,1.0,2.0,5.832018140589569
gemini-1.5-pro,0.07142857142857142,0.01098901098901099,0.9193227152249185,1.0,2.0,6.444036281179138
gemini-1.5-pro,0.42857142857142855,0.04225352112676056,0.17567205239427922,1.0,4.0,9.0
gemini-1.5-pro,0.2857142857142857,0.05309734513274336,0.6115380576901023,0.8387096774193549,7.0,7.776009070294784
gemini-1.5-pro,0.07692307692307693,0.011363636363636364,0.912167909070388,1.0,2.0,6.444036281179138
gemini-1.5-pro,0.75,0.17391304347826086,0.0814136751754278,0.6666666666666665,5.0,3.528027210884354
gemini-1.5-pro,0.125,0.022222222222222223,0.8408964152537145,1.0,2.0,5.94
gemini-1.5-pro,0.125,0.016129032258064516,0.8408964152537145,1.0,2.0,5.076009070294784
gemini-1.5-pro,0.18181818181818182,0.03636363636363636,0.587728372510532,1.0,3.0,3.6360090702947847
gemini-1.5-pro,0.25,0.045454545454545456,0.4111336169005197,1.0,3.0,4.212018140589569
gemini-1.5-pro,0.36363636363636365,0.05970149253731343,0.47987820666906633,1.0,5.0,4.68
gemini-1.5-pro,0.09090909090909091,0.012048192771084338,0.8931539818068694,1.0,2.0,6.66
gemini-1.5-pro,0.42857142857142855,0.10416666666666667,0.41113361690051975,1.0,6.0,4.068027210884353
gemini-1.5-pro,0.08333333333333333,0.015151515151515152,0.9036020036098448,1.0,2.0,4.716009070294785
gemini-1.5-pro,0.2222222222222222,0.05263157894736842,0.5133450480401704,0.8888888888888888,4.0,5.796009070294785
gemini-1.5-pro,0.375,0.06,0.5169731539571706,1.0,4.0,5.004036281179138
gemini-1.5-pro,0.07692307692307693,0.012658227848101266,0.912167909070388,1.0,2.0,4.86
gemini-1.5-pro,0.8333333333333334,0.19047619047619047,0.2984745896009823,0.9,13.0,5.04
gemini-1.5-pro,0.125,0.015625,0.8408964152537145,1.0,2.0,3.708027210884354
gemini-1.5-pro,0.1111111111111111,0.014285714285714285,0.8633400213704505,1.0,2.0,4.86
gemini-1.5-pro,0.3333333333333333,0.058823529411764705,0.6132297420585351,1.0,5.0,6.876009070294785
gemini-1.5-pro,0.2727272727272727,0.041666666666666664,0.4172261448611506,1.0,4.0,3.96
gemini-1.5-pro,0.18181818181818182,0.03896103896103896,0.6989307622784944,1.0,4.0,6.516009070294785
gemini-1.5-pro,0.6,0.09375,0.11362193664674995,1.0,4.0,3.528027210884354
gemini-1.5-pro,0.42857142857142855,0.12244897959183673,0.09878765474230743,0.8571428571428571,7.0,3.96
gemini-1.5-pro,0.1111111111111111,0.02,0.8633400213704505,1.0,2.0,4.248027210884354
gemini-1.5-pro,0.1,0.01639344262295082,0.8801117367933934,1.0,2.0,4.464036281179139
gemini-1.5-pro,1.0,0.46153846153846156,0.0,0.8,7.0,3.4560090702947845
gemini-1.5-pro,0.08333333333333333,0.0125,0.9036020036098448,1.0,2.0,5.364036281179138
gemini-1.5-pro,0.23076923076923078,0.05128205128205128,0.6115380576901023,1.0,5.0,5.4
gemini-1.5-pro,0.3076923076923077,0.044444444444444446,0.5760844201603896,1.0,5.0,6.876009070294785
gemini-1.5-pro,0.4166666666666667,0.10666666666666667,0.1239040201758117,0.9166666666666666,9.0,5.4
gemini-1.5-pro,0.125,0.023255813953488372,0.8408964152537145,1.0,2.0,4.428027210884354
gemini-1.5-pro,0.08333333333333333,0.012987012987012988,0.9036020036098448,1.0,2.0,4.9320181405895696
gemini-1.5-pro,0.42857142857142855,0.08108108108108109,0.41113361690051975,1.0,4.0,2.628027210884354
gemini-1.5-pro,0.09090909090909091,0.011627906976744186,0.8931539818068694,1.0,2.0,6.336009070294785
gemini-1.5-pro,0.2727272727272727,0.056338028169014086,0.5900468726392808,1.0,5.0,5.796009070294785
gemini-1.5-pro,0.2222222222222222,0.029411764705882353,0.43167001068522526,1.0,3.0,5.04
gemini-1.5-pro,0.23076923076923078,0.04395604395604396,0.5783569866465142,1.0,5.0,8.964036281179139
gemini-1.5-pro,0.3,0.06,0.37991784282579627,1.0,4.0,5.22
gemini-1.5-pro,0.3,0.043478260869565216,0.5900468726392808,1.0,4.0,5.796009070294785
gemini-1.5-pro,0.14285714285714285,0.023255813953488372,0.8091067115702212,1.0,2.0,4.032018140589569
gemini-1.5-pro,0.07142857142857142,0.0125,0.9193227152249185,1.0,2.0,6.984036281179138
gemini-1.5-pro,0.2,0.022727272727272728,0.668740304976422,1.0,2.0,3.96
gemini-1.5-pro,0.3333333333333333,0.09615384615384616,0.5873949094699213,0.8421052631578948,6.0,4.32
gemini-1.5-pro,0.42857142857142855,0.06666666666666667,0.44710186192584195,1.0,7.0,6.192018140589569
gemini-1.5-pro,0.09090909090909091,0.011494252873563218,0.8931539818068694,1.0,2.0,6.2280272108843535
gemini-1.5-pro,0.3,0.0784313725490196,0.4518010018049224,1.0,5.0,6.84
gemini-1.5-pro,0.09090909090909091,0.014285714285714285,0.8931539818068694,1.0,2.0,5.076009070294784
gemini-1.5-pro,1.0,0.18181818181818182,0.0,1.0,3.0,1.8
gemini-1.5-pro,0.2222222222222222,0.041666666666666664,0.5133450480401704,1.0,3.0,4.716009070294785
gemini-1.5-pro,0.07692307692307693,0.011764705882352941,0.912167909070388,1.0,2.0,5.868027210884354
gemini-1.5-pro,0.09090909090909091,0.015384615384615385,0.8931539818068694,1.0,2.0,8.316009070294784
gemini-1.5-pro,0.25,0.037037037037037035,0.3976353643835253,1.0,2.0,3.9960090702947846
gemini-1.5-pro,0.1,0.011111111111111112,0.8801117367933934,1.0,2.0,7.128027210884354
gemini-1.5-pro,0.1,0.014492753623188406,0.8801117367933934,1.0,2.0,5.04
gemini-1.5-pro,0.08333333333333333,0.011904761904761904,0.9036020036098448,1.0,2.0,5.976009070294785
gemini-1.5-pro,1.0,0.3076923076923077,0.0,0.5714285714285715,8.0,3.4560090702947845
gemini-1.5-pro,0.36363636363636365,0.08571428571428572,0.12760671487807074,1.0,7.0,5.004036281179138
gemini-1.5-pro,0.18181818181818182,0.028169014084507043,0.7860753021519787,1.0,3.0,6.264036281179139
gemini-1.5-pro,1.0,0.16666666666666666,0.0,0.5,3.0,2.9160090702947845
gemini-1.5-pro,0.35714285714285715,0.052083333333333336,0.4785543921093738,1.0,6.0,5.616009070294784
gemini-1.5-pro,0.07692307692307693,0.00980392156862745,0.912167909070388,1.0,2.0,7.668027210884354
gemini-1.5-pro,0.5454545454545454,0.08571428571428572,0.059609942732681,1.0,7.0,5.4360090702947845
gemini-1.5-pro,0.4166666666666667,0.06756756756756757,0.3448444257953326,1.0,6.0,5.148027210884353
gemini-1.5-pro,1.0,0.2222222222222222,0.0,0.4,5.0,3.06
gemini-1.5-pro,0.1,0.014705882352941176,0.8801117367933934,1.0,2.0,5.76
gemini-1.5-pro,0.16666666666666666,0.02564102564102564,0.7598356856515925,1.0,2.0,3.4560090702947845
