model,text,reference,time,cost,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
gemini-1.5-flash,"Anche Yu, poi si ribellò a Shun e lo bandì dal regno.
",anche yu poi si ribellò a shun e lo bandì dal regno.,0.7794680595397949,1.355361671447754e-05,0.25,0.07692307692307693,0.53107253497887,1.0,1.0,5.0
gemini-1.5-flash,"Sono presenti alcuni plastici riproducenti battaglie medievali tra Lucchesi e Modenesi risalenti al Medioevo.
",sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,8.1,0.00010199999999999999,0.35714285714285715,0.045454545454545456,0.32559641262003014,0.9285714285714286,0.9285714285714286,6.0
gemini-1.5-flash,"L'ex Beatle ha suonato tutti gli strumenti nella canzone.
","l'ex-""beatle"" ha suonato tutti gli strumenti nella canzone.",4.68,5.945999999999999e-05,0.25,0.0847457627118644,0.7259795291154771,1.0,1.0,6.0
gemini-1.5-flash,"L'anno seguente tornò nuovamente nello Jonka.
","l'anno seguente, tornò nuovamente nello honka.",4.14,5.207999999999999e-05,0.5,0.06521739130434782,0.20205155046766235,0.8571428571428571,0.8571428571428571,4.0
gemini-1.5-flash,"Solo la Marina Militare italiana e la Royal Navy possiedono unità di questo tipo.
",solo la marina militare italiana e la royal navy possiedono unità di questo tipo..,5.832018140589569,7.478421768707482e-05,0.42857142857142855,0.07317073170731707,0.2658483576665877,1.0,1.0,6.0
gemini-1.5-flash,"La Basilica della Beata Vergine Maria è un importante centro di pellegrinaggio della Polonia.
",la basilica della beata vergine maria è un importante centro di pellegrinaggio della polonia.,6.552018140589569,8.342421768707482e-05,0.42857142857142855,0.06451612903225806,0.44710186192584195,1.0,1.0,7.0
gemini-1.5-flash,"Per vendetta Timmy desidera di diventare il bagnino più forte della spiaggia.
",per vendetta timmy desidera di diventare il bagnino più forte della spiaggia.,4.212018140589569,5.474421768707483e-05,0.16666666666666666,0.025974025974025976,0.7292571723872933,1.0,1.0,3.0
gemini-1.5-flash,"La città è situata nelle Snowy Mountains, nella regione del Nuovo Galles del Sud.
",la città è situata nelle snowy mountains nella regione del nuovo galles del sud.,9.756009070294784,0.0001218721088435374,0.42857142857142855,0.0875,0.2658483576665877,1.0,1.0,8.0
gemini-1.5-flash,"Le immersioni ricreative nascono dallo snorkeling e dalla pesca subacquea.
",le immersioni ricreative nascono dallo snorkeling e dalla pesca subacquea.,5.94,7.488e-05,0.1,0.013513513513513514,0.8801117367933934,1.0,1.0,2.0
gemini-1.5-flash,"Il signor Ricci disse che l'euro si svaluterà ancora.
",il signor ricci disse che l'euro si svaluterà ancora.,4.6440362811791385,5.902843537414966e-05,0.2222222222222222,0.03773584905660377,0.6104735835807844,1.0,1.0,3.0
gemini-1.5-flash,"L'aereo sorvola l'isola, obbligando così il giocatore a proseguire la sua avventura.
","l'aereo sorvola l'isola, obbligando così il giocatore a proseguire la sua avventura.",6.516009070294785,8.239210884353741e-05,0.08333333333333333,0.011904761904761904,0.9036020036098448,1.0,1.0,2.0
gemini-1.5-flash,"La storia è narrata in prima persona da James Farrer.
",la storia è narrata in prima persona da james farrell.,3.5640362811791384,4.6368435374149656e-05,0.3,0.09259259259259259,0.6389431042462724,0.8888888888888888,0.8888888888888888,6.0
gemini-1.5-flash,"E poi il dietro le quinte di Pinocchio e i pu- goliartici.
","e poi il dietro le quinte di ""pinocchio"" e i pooh goliardici.",8.856009070294785,0.00011047210884353741,0.3333333333333333,0.13114754098360656,0.46924700641055994,0.8333333333333334,0.8333333333333334,9.0
gemini-1.5-flash,"Dopo tre stagioni consecutive nella massima divisione, però, la squadra retrocesse.
","dopo tre stagioni consecutive nella massima divisione, però, la squadra retrocesse.",5.94,7.518e-05,0.09090909090909091,0.012048192771084338,0.8931539818068694,1.0,1.0,2.0
gemini-1.5-flash,"Conta numerose presenze con la nazionale bulgara.
",conta numerose presenze con la nazionale bulgara.,5.076009070294784,6.36121088435374e-05,0.14285714285714285,0.02040816326530612,0.8091067115702212,1.0,1.0,2.0
gemini-1.5-flash,"viene invocata in tutte le situazioni difficili che compromettono la serenità familiare.
",viene invocata in tutte le situazioni difficili che compromettono la serenità familiare.,6.3,7.979999999999999e-05,0.0,0.0,1.0,1.0,1.0,1.0
gemini-1.5-flash,"Nel duemila il territorio passò in gestione a Rieti.
",nel duecento il territorio passò in gestione a rieti.,6.336009070294785,7.933210884353742e-05,0.3333333333333333,0.1320754716981132,0.5873949094699213,0.8888888888888888,0.8888888888888888,8.0
gemini-1.5-flash,"Giuseppe Quarino.
",giuseppe guarino,2.304036281179138,2.8848435374149654e-05,1.0,0.1875,0.0,0.5,0.5,4.0
gemini-1.5-flash,"Il vanadio è un metallo bianco, lucente, duro e duttile.
","il vanadio è un metallo bianco lucente, duro e duttile.",5.22,6.623999999999999e-05,0.2,0.03636363636363636,0.5253819788848316,1.0,1.0,3.0
gemini-1.5-flash,"Esiste anche una cover realizzata in lingua hindi?
",esiste anche una cover realizzata in lingua hindi.,5.616009070294784,7.03921088435374e-05,0.25,0.04,0.6803749333171202,1.0,1.0,3.0
gemini-1.5-flash,"Tutto ciò è andato completamente perduto insieme a svariate composizioni di Alkan.
","tutto ciò è andato completamente perduto, insieme a svariate composizioni di alkan.",5.796009070294785,7.375210884353742e-05,0.25,0.03614457831325301,0.53107253497887,1.0,1.0,4.0
gemini-1.5-flash,"Il quartiere ha diverse aree verdi e una piscina scoperta.
",il quartiere ha diverse aree verdi e una piscina scoperta.,4.428027210884354,5.673632653061225e-05,0.1,0.017241379310344827,0.8801117367933934,1.0,1.0,2.0
gemini-1.5-flash,"Alla base del manico il bordo della tavola non si interrompe.
",alla base del manico il bordo della tavola non si interrompe.,4.68,6.006e-05,0.09090909090909091,0.01639344262295082,0.8931539818068694,1.0,1.0,2.0
gemini-1.5-flash,"Alcuni dei suoi componimenti poetici furono pubblicati postumi.
",alcuni suoi componimenti poetici furono pubblicati postumi.,5.76,7.212e-05,0.2857142857142857,0.0847457627118644,0.6803749333171202,0.9333333333333333,0.9333333333333333,6.0
gemini-1.5-flash,"Di conseguenza, questa proposta non venne inclusa nel testo finale del trattato.
","di conseguenza, questa proposta non venne inclusa nel testo finale del trattato.",8.856009070294785,0.00011047210884353741,0.08333333333333333,0.0125,0.9036020036098448,1.0,1.0,2.0
gemini-1.5-flash,"Tutte le mosse degli scacchi normali sono supportate.
",tutte le mosse degli scacchi normali sono supportate.,3.1320181405895693,4.058421768707483e-05,0.125,0.018867924528301886,0.8408964152537145,1.0,1.0,2.0
gemini-1.5-flash,"Secondo il regista, quei soldi erano l'intero budget del film.
",secondo il regista quei soldi erano l'intero budget del film.,6.48,8.136000000000001e-05,0.2,0.03278688524590164,0.6606328636027614,1.0,1.0,3.0
gemini-1.5-flash,"Altri lavori nel periodo lorenese mutarono l'aspetto del complesso.
",altri lavori nel periodo lorenese mutarono l'aspetto del complesso.,5.7240362811791385,7.198843537414966e-05,0.1111111111111111,0.014925373134328358,0.8633400213704505,1.0,1.0,2.0
gemini-1.5-flash,"Vi si insediarono alcune migliaia di coloni italiani nella seconda metà degli anni trenta.
",vi si insediarono alcune migliaia di coloni italiani nella seconda metà degli anni trenta.,5.832018140589569,7.478421768707482e-05,0.07142857142857142,0.011111111111111112,0.9193227152249185,1.0,1.0,2.0
gemini-1.5-flash,"Attualmente i Paesi Bassi sono comunque campioni d'Europa.
",attualmente i paesi bassi sono comunque campioni d'europa.,3.312018140589569,4.274421768707483e-05,0.5,0.06896551724137931,0.1477219991186121,1.0,1.0,5.0
gemini-1.5-flash,"Inoltre è coautore del brano ""A Public Affair"" di Jessica Simpson.
","inoltre è coautore del brano ""a public affair"" di jessica simpson.",5.112018140589569,6.524421768707483e-05,0.5454545454545454,0.09090909090909091,0.24808415001701817,1.0,1.0,7.0
gemini-1.5-flash,"Si ritiene che la femminina dia alla luce un unico piccolo.
",si ritiene che la femmina dia alla luce un unico piccolo.,6.948027210884354,8.727632653061225e-05,0.18181818181818182,0.05263157894736842,0.587728372510532,0.9090909090909091,0.9090909090909091,4.0
gemini-1.5-flash,"Dopo varie esperienze teatrali intraprende la carriera cinematografica e televisiva.
","dopo varie esperienze teatrali, intraprende la carriera cinematografica e televisiva.",5.832018140589569,7.358421768707482e-05,0.2,0.023529411764705882,0.5814307369682193,1.0,1.0,3.0
gemini-1.5-flash,"La spiegazione di questo fenomeno è insita nella definizione di temperatura di bulbo umido.
",la spiegazione di questo fenomeno è insita nella definizione di temperatura di bulbo umido.,6.444036281179138,8.212843537414965e-05,0.07142857142857142,0.01098901098901099,0.9193227152249185,1.0,1.0,2.0
gemini-1.5-flash,"Il termine probabilmente significa rendendo meraviglioso, eccellente.
","il termine probabilmente significa ""rendendo meraviglioso, eccellente"".",9.0,0.0001107,0.42857142857142855,0.04225352112676056,0.17567205239427922,1.0,1.0,4.0
gemini-1.5-flash,"Propugnò lo studio della formazione delle città attraverso l'utilizzo degli annali della Russia Sud Occidentale.
","propugnò lo studio della formazione delle città attraverso l'utilizzo degli ""annali della russia sudoccidentale"".",7.776009070294784,9.841210884353739e-05,0.35714285714285715,0.061946902654867256,0.5659119256652702,0.9032258064516129,0.9032258064516129,8.0
gemini-1.5-flash,"Per estensione, ha finito per designare il palo utilizzato per questi esercizi militari.
","per estensione, ha finito per designare il palo utilizzato per questi esercizi militari.",6.444036281179138,8.182843537414966e-05,0.07692307692307693,0.011363636363636364,0.912167909070388,1.0,1.0,2.0
gemini-1.5-flash,"L'esperienza di annoi.
","l'esperienza di ""a noi!",3.528027210884354,4.383632653061225e-05,0.75,0.17391304347826086,0.0814136751754278,0.6666666666666665,0.6666666666666665,5.0
gemini-1.5-flash,"L'area della vasca era coperta da una cupola.
",l'area della vasca era coperta da una cupola.,5.94,7.428e-05,0.125,0.022222222222222223,0.8408964152537145,1.0,1.0,2.0
gemini-1.5-flash,"Insieme hanno formato una coppia instancabile ed inossidabile.
",insieme hanno formato una coppia instancabile ed inossidabile.,5.076009070294784,6.391210884353741e-05,0.125,0.016129032258064516,0.8408964152537145,1.0,1.0,2.0
