model,text,reference,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Whisper Tiny (OpenAI), anche io poi si rivelò a son e lo bandida reño.,anche yu poi si ribellò a shun e lo bandì dal regno.,0.524369478225708,0.5,0.21153846153846154,0.05696822651325549,0.5,0.5,12.0
Whisper Distilled IT (bofenghuang),anche io poi si ribellò a shun e lo bandì dal regno.,anche yu poi si ribellò a shun e lo bandì dal regno.,7.875600814819336,0.08333333333333333,0.038461538461538464,0.8265168183793802,0.9166666666666666,0.9166666666666666,2.0
Faster Whisper Tiny (Turbo), anche io poi si rivelò a son e lo bandida reño.,anche yu poi si ribellò a shun e lo bandì dal regno.,0.500882625579834,0.5,0.21153846153846154,0.05696822651325549,0.5,0.5,12.0
Vosk STT (Small IT),anche io poi si rivelo e lo pan di dar,anche yu poi si ribellò a shun e lo bandì dal regno.,0.30576205253601074,0.5833333333333334,0.4230769230769231,0.05464286595434615,0.45454545454545453,0.45454545454545453,22.0
Wav2Vec2 XLSR Italian (Grosman),anche u poi si ribellò a shean e lo bandì dal regno,anche yu poi si ribellò a shun e lo bandì dal regno.,0.965794563293457,0.25,0.07692307692307693,0.4366835442847812,0.8333333333333334,0.8333333333333334,4.0
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),anche u poi si rrivellò aschon e lo bandidal regno,anche yu poi si ribellò a shun e lo bandì dal regno.,2.637270450592041,0.5833333333333334,0.17307692307692307,0.05464286595434615,0.5454545454545454,0.5454545454545454,9.0
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",anche io poi sirribe il loashun e lobandida al regno,anche yu poi si ribellò a shun e lo bandì dal regno.,1.0164883136749268,0.75,0.28846153846153844,0.02274122123480211,0.3636363636363636,0.3636363636363636,15.0
Whisper Tiny (OpenAI), sono presenti alcuni plastici riproducenti battagli e medievali tra l'ukese e modenesi risalenti al medirevo.,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,0.5602030754089355,0.35714285714285715,0.07272727272727272,0.42311785416105785,0.7333333333333334,0.7333333333333334,9.0
Whisper Distilled IT (bofenghuang),sono presenti alcuni plastici riproducenti battaglie medievali tra lucchesi e modenesi risalenti al medioevo.,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,7.995817184448242,0.07142857142857142,0.00909090909090909,0.7825422900366437,0.9285714285714286,0.9285714285714286,1.0
Faster Whisper Tiny (Turbo), sono presenti alcuni plastici riproducenti battaglia medievali tra lucchesi e modenesi risalenti al medirevo.,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,0.5742831230163574,0.21428571428571427,0.02727272727272727,0.6162607099729586,0.7857142857142857,0.7857142857142857,4.0
Vosk STT (Small IT),sono presenti alcuni plastici riproduce battaglia medievali tra lucchese e modenese risalenti al medioevo,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,0.4537696838378906,0.42857142857142855,0.07272727272727272,0.22718709780542318,0.6428571428571429,0.6428571428571429,8.0
Wav2Vec2 XLSR Italian (Grosman),sono presenti alcuni plastici riproducenti battaglie medievali tra lucchesi e modenesi risalenti al medioevo,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,1.146913766860962,0.14285714285714285,0.01818181818181818,0.6997522298221912,0.9285714285714286,0.9285714285714286,2.0
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),sono presenti alcuni plastici riproducenti battaglie medievali tra lucchesi e modenesi risalenti al medioevo,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,3.0215766429901123,0.14285714285714285,0.01818181818181818,0.6997522298221912,0.9285714285714286,0.9285714285714286,2.0
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",sono presenti alcuni plastici riproducenti battaglie medievali tra lucchesi e modenesi risalenti al mediolevo,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,1.1828339099884033,0.14285714285714285,0.02727272727272727,0.6997522298221912,0.8571428571428571,0.8571428571428571,3.0
Whisper Tiny (OpenAI)," lex bitor, assonato tutti gli strumenti nella canzone.","l'ex-""beatle"" ha suonato tutti gli strumenti nella canzone.",0.3515176773071289,0.375,0.1864406779661017,0.5169731539571706,0.5555555555555556,0.5555555555555556,12.0
Whisper Distilled IT (bofenghuang),l'ex beatle ha suonato tutti gli strumenti nella canzone.,"l'ex-""beatle"" ha suonato tutti gli strumenti nella canzone.",7.729172229766846,0.25,0.05084745762711865,0.7259795291154771,1.0,1.0,3.0
Faster Whisper Tiny (Turbo)," lex beetle, ad sonato tutti gli strumenti nella canzone.","l'ex-""beatle"" ha suonato tutti gli strumenti nella canzone.",0.42514514923095703,0.5,0.13559322033898305,0.44632361378533286,0.5263157894736842,0.5263157894736842,9.0
Vosk STT (Small IT),l'ex viktor ha suonato tutti gli strumenti nella canzone,"l'ex-""beatle"" ha suonato tutti gli strumenti nella canzone.",0.2807321548461914,0.375,0.15254237288135594,0.5873949094699213,0.9,0.9,9.0
Wav2Vec2 XLSR Italian (Grosman),l'ex biatle ha suonato tutti gli strumenti nella canzone,"l'ex-""beatle"" ha suonato tutti gli strumenti nella canzone.",0.6475863456726074,0.375,0.0847457627118644,0.5873949094699213,0.9,0.9,5.0
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),lexbeatl hassuonato tutti gli strumenti nella canzone,"l'ex-""beatle"" ha suonato tutti gli strumenti nella canzone.",1.7135591506958008,0.5,0.11864406779661017,0.35640264633541835,0.588235294117647,0.588235294117647,7.0
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",lex beatle ha suonato tutti g i istrumenti nella canzone,"l'ex-""beatle"" ha suonato tutti gli strumenti nella canzone.",0.7401046752929688,0.75,0.11864406779661017,0.1122444464861146,0.6,0.6,7.0
Whisper Tiny (OpenAI), hanno seguente tornano valente nella junta,"l'anno seguente, tornò nuovamente nello honka.",0.2921171188354492,1.0,0.2826086956521739,0.0,0.15384615384615383,0.15384615384615383,13.0
Whisper Distilled IT (bofenghuang),l'anno seguente tornò nuovamente nello honka.,"l'anno seguente, tornò nuovamente nello honka.",8.09915828704834,0.16666666666666666,0.021739130434782608,0.537284965911771,1.0,1.0,1.0
Faster Whisper Tiny (Turbo), ando seguente tornano valente in l'ohonca,"l'anno seguente, tornò nuovamente nello honka.",0.426971435546875,1.0,0.32608695652173914,0.0,0.2857142857142857,0.14285714285714285,15.0
Vosk STT (Small IT),l'anno seguente torna nuovamente nell'ottanta,"l'anno seguente, tornò nuovamente nello honka.",0.30233025550842285,0.6666666666666666,0.17391304347826086,0.05231223689135342,0.5714285714285714,0.5714285714285714,8.0
Wav2Vec2 XLSR Italian (Grosman),l'anno seguente tornò nuovamente nello honka,"l'anno seguente, tornò nuovamente nello honka.",0.5452768802642822,0.3333333333333333,0.043478260869565216,0.21711852081087685,1.0,1.0,2.0
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),anno seguente tornò a nuovamente nellohonca,"l'anno seguente, tornò nuovamente nello honka.",1.4866306781768799,0.8333333333333334,0.17391304347826086,0.048549177170732344,0.6153846153846153,0.6153846153846153,8.0
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",lanno seguente tornao nuovamente nello honca,"l'anno seguente, tornò nuovamente nello honka.",0.6439781188964844,0.6666666666666666,0.13043478260869565,0.08633400213704504,0.4615384615384615,0.4615384615384615,6.0
Whisper Tiny (OpenAI), solo la marina militare italiana e l'aro e al neve possiedono unità di questo tipo.,solo la marina militare italiana e la royal navy possiedono unità di questo tipo..,0.6022987365722656,0.35714285714285715,0.0975609756097561,0.4920274515385508,0.7333333333333334,0.7333333333333334,9.0
Whisper Distilled IT (bofenghuang),solo la marina militare italiana e la royal navy possiedono unità di questo tipo.,solo la marina militare italiana e la royal navy possiedono unità di questo tipo..,7.695028781890869,0.07142857142857142,0.012195121951219513,0.9193227152249185,1.0,1.0,1.0
Faster Whisper Tiny (Turbo)," solo la marina militare italiane, l'aro e al neve possiedono unità di questo tipo.",solo la marina militare italiana e la royal navy possiedono unità di questo tipo..,0.4907503128051758,0.42857142857142855,0.13414634146341464,0.3661926362999429,0.689655172413793,0.689655172413793,12.0
Vosk STT (Small IT),sulla marina militare italiane la royal nevi possiedono unita di questo ti,solo la marina militare italiana e la royal navy possiedono unità di questo tipo..,0.3798694610595703,0.5,0.14634146341463414,0.05488684910025907,0.5384615384615384,0.5384615384615384,12.0
