model,text,reference,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Whisper Tiny (OpenAI)," sino tifica un preavisore lativo al veicolo autovettura taggato uv2023 doppia vx di tipo prova proveniente da italia, marca scoda fabia. la violazione, ovvero transito in zona accesso vietato, si è verificata in dataventuno a prile 2020-25 alle ore 23 e 49 in via del corso, al numero 12. l'infrazione rientra nell'articolo 6, comma 1a e 1 a 12 il del codice penale. cont","Si notifica un preavviso relativo al veicolo autovettura targato UV123WX di tipo prova proveniente da italia, marca Skoda Fabia. La violazione, ovvero transito in zona accesso vietato, si è verificata in data 21/04/2025 alle ore 23:49 in via del Corso, al numero 12. L'infrazione rientra nell'articolo 6, comma 1a(1-12) del codice penale. Contestazione immediata da parte dell'agente Mario Rossi. La sanzione prevede la perdita di 1 punti. Si richiede la stampa in lingua italiano, tramite wifi, non stampare anche la comunicazione. ",2.6613998413085938,0.6419753086419753,0.4492481203007519,0.2832233222679475,0.6103896103896105,0.6103896103896105,241.0
Whisper Distilled IT (bofenghuang),"si notifica un preavviso relativo al veicolo autovettura targato uv123 wx di tipo prova proveniente da italia, marca scoda fabia. la violazione, ovvero transito in zona accesso vietato, si è verificata in data 21 aprile 2025 alle ore 23 e 49 in via del corso, al numero 12. l'infrazione rientra nell'articolo 6,1a e 1a 12, il del codice penale. contestazione immediata da parte dell'agente","Si notifica un preavviso relativo al veicolo autovettura targato UV123WX di tipo prova proveniente da italia, marca Skoda Fabia. La violazione, ovvero transito in zona accesso vietato, si è verificata in data 21/04/2025 alle ore 23:49 in via del Corso, al numero 12. L'infrazione rientra nell'articolo 6, comma 1a(1-12) del codice penale. Contestazione immediata da parte dell'agente Mario Rossi. La sanzione prevede la perdita di 1 punti. Si richiede la stampa in lingua italiano, tramite wifi, non stampare anche la comunicazione. ",29.11323618888855,0.5432098765432098,0.34774436090225563,0.3644029574699556,0.7612903225806451,0.7612903225806451,186.0
Faster Whisper Tiny (Turbo)," sino tifica un preavisore lativo al veicolo autovettura taggato uv2023, vx di tipo prova proveniente  da italia, marca scoda fabia. la violazione, o vero transito in zona accesso vietato,  si è verificata in dataventuno a prile 2022, 25 alle ore 23 e 49 in via del corso, al numero  12.  l'infrazione rientra nell'articolo 6, comma 1a e 1 a 12 i del codice penale. contestazioni  immediata da parte dell'agente mario rossi.  la sancione prevede la perdita di un punti. si richiede la stampa in lingua italiano,  tramite wi-fi, non stampare anche la comunicazione.","Si notifica un preavviso relativo al veicolo autovettura targato UV123WX di tipo prova proveniente da italia, marca Skoda Fabia. La violazione, ovvero transito in zona accesso vietato, si è verificata in data 21/04/2025 alle ore 23:49 in via del Corso, al numero 12. L'infrazione rientra nell'articolo 6, comma 1a(1-12) del codice penale. Contestazione immediata da parte dell'agente Mario Rossi. La sanzione prevede la perdita di 1 punti. Si richiede la stampa in lingua italiano, tramite wifi, non stampare anche la comunicazione. ",3.3317885398864746,0.4444444444444444,0.12969924812030076,0.3751883680431777,0.7826086956521738,0.7826086956521738,71.0
Vosk STT (Small IT),si notifica un preavviso relativo al veicolo autovettura targato vuoi centoventitre doppia wings di tipo prova proveniente da italia manca skoda fabia la violazione ovvero transito in zona accesso vietato si e verificata in data ventuno aprile duemilaventicinque alle ore ventitré quarantanove in via del corso al numero dodici l'infrazione rientra nell'articolo sei con ma uno a è uno a dodici i del codice penale contestazioni immediata da parte della gente mario rossi la sanzione prevede la perdita di un punti si richiede la stampa in lingua italiano tramite wifi non stampare anche la comunicazione,"Si notifica un preavviso relativo al veicolo autovettura targato UV123WX di tipo prova proveniente da italia, marca Skoda Fabia. La violazione, ovvero transito in zona accesso vietato, si è verificata in data 21/04/2025 alle ore 23:49 in via del Corso, al numero 12. L'infrazione rientra nell'articolo 6, comma 1a(1-12) del codice penale. Contestazione immediata da parte dell'agente Mario Rossi. La sanzione prevede la perdita di 1 punti. Si richiede la stampa in lingua italiano, tramite wifi, non stampare anche la comunicazione. ",2.0936503410339355,0.5432098765432098,0.2744360902255639,0.2980299228192013,0.7717391304347826,0.7717391304347826,147.0
Wav2Vec2 XLSR Italian (Grosman),si notifica un preavviso relativo al veicolo autovetture targato ovoc ventitré doppia wuix di tipo prova proveniente da italia marcascoda fabiala violazione ovvero transito in zona accesso vietato si è verificata in data ventuno aprile duemila venticinque alle ore ventitré e quarantanove in via del corso al numero dodil'infrazione rientra nellarticolo sei coma unoa e uno a dodici  del codice penalecontestazione immediata da parte dellagente mario rossila sanzione prevede la perdita di un puntisi richiede la stampa in lingua italiano tramite wifi non stampare anche la comunicazione,"Si notifica un preavviso relativo al veicolo autovettura targato UV123WX di tipo prova proveniente da italia, marca Skoda Fabia. La violazione, ovvero transito in zona accesso vietato, si è verificata in data 21/04/2025 alle ore 23:49 in via del Corso, al numero 12. L'infrazione rientra nell'articolo 6, comma 1a(1-12) del codice penale. Contestazione immediata da parte dell'agente Mario Rossi. La sanzione prevede la perdita di 1 punti. Si richiede la stampa in lingua italiano, tramite wifi, non stampare anche la comunicazione. ",13.88548493385315,0.5308641975308642,0.2650375939849624,0.32047525456589226,0.6742857142857143,0.6742857142857143,142.0
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),sinotifica un prea viso le lativo al veicolo autovettura targato uvucento ventitreddo piawuix di tipo prova proveniente da italia marcascò da fabia la violazione ovvero transito in zona accesso vietato si è verificata in data ventuno apri le duemila venticinque alle ore ventitrequalantanove in via del corso al numerdi linfrazione rientra nellarticolo se comma uno a e uno ad odici i del coice penale con testazione immediata da parte della gente mario rossi la sanzione prevede la perdita di un punti si richiede la stampa in lingua italiano tramite wai fai non stampare anche la comunicazione,"Si notifica un preavviso relativo al veicolo autovettura targato UV123WX di tipo prova proveniente da italia, marca Skoda Fabia. La violazione, ovvero transito in zona accesso vietato, si è verificata in data 21/04/2025 alle ore 23:49 in via del Corso, al numero 12. L'infrazione rientra nell'articolo 6, comma 1a(1-12) del codice penale. Contestazione immediata da parte dell'agente Mario Rossi. La sanzione prevede la perdita di 1 punti. Si richiede la stampa in lingua italiano, tramite wifi, non stampare anche la comunicazione. ",36.99172759056091,0.6296296296296297,0.28383458646616544,0.2605035302137566,0.6557377049180327,0.6557377049180327,152.0
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",si notifica un preavviso relativo al vehicolo autovatura targatovucento ventitre doppiavuics di tipo prova proveniente da italia marcascoda fabiala violazione ovvero transito in zona accessovietato siè verificata intata ventun aprile duemila venticinque alleore ventitre e quarantanove in via del corso al nmro dodi linfraione rientra nellarticolo sei comaunoa e uno adodici y del codice penale contestazine immediata da parte della gente mario rossi la sanione prevedella perdita di un punti si ri chiede la stampa inlingua italiano tramite wai f non stampare anche la comunicazione,"Si notifica un preavviso relativo al veicolo autovettura targato UV123WX di tipo prova proveniente da italia, marca Skoda Fabia. La violazione, ovvero transito in zona accesso vietato, si è verificata in data 21/04/2025 alle ore 23:49 in via del Corso, al numero 12. L'infrazione rientra nell'articolo 6, comma 1a(1-12) del codice penale. Contestazione immediata da parte dell'agente Mario Rossi. La sanzione prevede la perdita di 1 punti. Si richiede la stampa in lingua italiano, tramite wifi, non stampare anche la comunicazione. ",13.875991106033325,0.6790123456790124,0.2932330827067669,0.18294309993618457,0.5433526011560694,0.5433526011560694,157.0
Whisper Tiny (OpenAI)," sistare dicendo verbale per violazione a certata il 24 marzo 2.25 a le ore 4 e 41 in viale di jardini, al civico oto, a carico del veicolo nissan micra, macchina opera 13 contarga a cuere 400-50 6-7 di tipoficiale, immatricolato ingrecia. la violazione contestata è transito in zona ci ha sovietato, in base a l'articolo 3, con ma uno del codice stradale. la contestazione av","Si sta redigendo verbale per violazione accertata il 24/03/2025 alle ore 04:41 in viale dei Giardini, al civico 8, a carico del veicolo Nissan Micra, macchina operatrice con targa QR456ST di tipo ufficiale, immatricolato in grecia. La violazione contestata è transito in zona accesso vietato, in base all'articolo 3, comma 1 del codice stradale. La contestazione è avvenuta immediatamente da parte dell'agente Carlo Bruni. Sono previsti 10 punti di decurtazione. Si richiede la stampa in lingua italiano via bluetooth, non stampare anche la comunicazione. ",2.824655294418335,0.7976190476190477,0.46306306306306305,0.13243427268976893,0.4743589743589744,0.4487179487179487,259.0
Whisper Distilled IT (bofenghuang),"si sta redigendo verbale per violazione accertata il 24 marzo 2025 alle ore 4.41 in viale di giardini, al civico 8, a carico del veicolo nissan micra, macchina operatrice con targa qr 456 st di tipo ufficiale, immatricolato in grecia. la violazione contestata è transito in zona accesso vietato, in base all'articolo 3,1 del codice stradale. la contestazione è avvenuta immediatamente da parte dell'agente carlo","Si sta redigendo verbale per violazione accertata il 24/03/2025 alle ore 04:41 in viale dei Giardini, al civico 8, a carico del veicolo Nissan Micra, macchina operatrice con targa QR456ST di tipo ufficiale, immatricolato in grecia. La violazione contestata è transito in zona accesso vietato, in base all'articolo 3, comma 1 del codice stradale. La contestazione è avvenuta immediatamente da parte dell'agente Carlo Bruni. Sono previsti 10 punti di decurtazione. Si richiede la stampa in lingua italiano via bluetooth, non stampare anche la comunicazione. ",17.58507800102234,0.4642857142857143,0.3045045045045045,0.41472007409376577,0.8051948051948052,0.7922077922077922,170.0
Faster Whisper Tiny (Turbo)," sistare dicendo verbale per violazione a certata il 24 marzo 2.25 a le ore 4 e 41 in viale di gerdini, al civico oto, a carico del veicolo niss'ammicra,  macchina operatrice contarga a cuere 450 a 6 a 7 di tipoficiale, immatricolato ingrecia.  la violazione contestata è transito in zona ci ha sovietato, in base a l'articolo 3, con ma uno del codice stradale.  la contestazione è avvenuta immediatamente da parte dell'agente carlo bruni, sono previsti 10 punti di d'icurtazione.  sì ricchiate la stampa il lingua italiano vi absolutt, non stampare anche la comunicazione.","Si sta redigendo verbale per violazione accertata il 24/03/2025 alle ore 04:41 in viale dei Giardini, al civico 8, a carico del veicolo Nissan Micra, macchina operatrice con targa QR456ST di tipo ufficiale, immatricolato in grecia. La violazione contestata è transito in zona accesso vietato, in base all'articolo 3, comma 1 del codice stradale. La contestazione è avvenuta immediatamente da parte dell'agente Carlo Bruni. Sono previsti 10 punti di decurtazione. Si richiede la stampa in lingua italiano via bluetooth, non stampare anche la comunicazione. ",2.0229711532592773,0.5833333333333334,0.16396396396396395,0.2544715391758509,0.6195652173913044,0.6086956521739131,93.0
