model,text,reference,time,cost,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
gemini-2.0-flash-lite,"Agente, si via Neri in servizio. Segnalazione di divieto di sosta al Leone, one del Fort 2025, via Roma 27, Palermo. Auto coinvolta, vol sua, targa Zaffura 135.","Agente Silvia Neri in servizio. Segnalazione di divieto di sosta alle 01:01 del 14/03/2025, in via Roma 77, Palermo. Auto coinvolta: Volkswagen Golf, targa ZA456QP.",15.90702947845805,0.0001998843537414966,0.56,0.27439024390243905,0.29615165360116247,0.6071428571428571,0.6071428571428571,45.0
gemini-2.0-flash-lite,"Agente Giulia Costa in servizio. Segnalazione di divieto di sosta al Leone, fiorone del 33, in via Garibaldi, Firenze. Auto coinvolta, Fiat Panda, targa 23.","Agente Giulia Costa in servizio. Segnalazione di divieto di sosta alle 01:51 del 30/03/2025, in via Garibaldi 11, Firenze. Auto coinvolta: Fiat Panda, targa AB123CD.",15.71501133786848,0.0001966801360544218,0.32,0.18181818181818182,0.4694222382938492,0.7547169811320756,0.7547169811320756,30.0
gemini-2.0-flash-lite,"Sono l'agente Anna Bianchi. Alle ore 10:00 e 10:00, rilevando infrazione per parcheggio su strisce pedonali in via Milano 10:40. Veicolo, Volkswagen Golf, targa, e 10:40.
","Sono l'agente Anna Bianchi. Alle ore 05:11 del 13/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano 24, Torino. Veicolo: Volkswagen Golf, targa FG234LM.",16.54702947845805,0.0002069643537414966,0.4444444444444444,0.21505376344086022,0.446551536444017,0.634920634920635,0.634920634920635,41.0
gemini-2.0-flash-lite,"Infrazione riscontrata doppia fila. Posizione: Corso Buenos Aires, Ninetti e Ita, Milano. Ora: Furo, fatti, seven. Data: 6/3/2025. Auto: Renault, Targa A123456, agente: Mario Rossi.","Infrazione riscontrata: doppia fila. Posizione: corso Buenos Aires 98, Milano. Ora: 04:47, Data: 16/03/2025. Auto: Renault Clio, targa AB123CD. Agente: Mario Rossi.",19.20503401360544,0.0002385604081632653,0.6818181818181818,0.2926829268292683,0.061700364165330555,0.6923076923076923,0.6923076923076923,48.0
gemini-2.0-flash-lite,"tento le retate, tenti file, ore 57, veicolo per corsa, targa, pone, onde le tenti, terzi, in divieto di sosta presso Piazza Venezia, Roma, rilevato da gente Anna Bianca.
","21/03/2025, ore 08:57: veicolo Opel Corsa, targa AB123CD, in divieto di sosta presso piazza Venezia, Roma. Rilevato da agente Anna Bianchi.",13.218004535147392,0.0001679160544217687,0.9047619047619048,0.4748201438848921,0.1432450175903488,0.6037735849056604,0.6037735849056604,67.0
gemini-2.0-flash-lite,"In base all'articolo, un uomo di 50 anni è stato investito da un'auto. L'agente Marco Gentili ha riscontrato un'infrazione in via Garibaldi, Firenze, alle ore 8:00, figlio del 30 nel 30, 30. Veicolo coinvolto, Fiat Panda, tra gli altri.","In base al articolo 158, comma 2, l'agente Marco Gentili ha riscontrato un'infrazione in via Garibaldi 11, Firenze alle ore 02:51 del 29/03/2025. Veicolo coinvolto: Fiat Panda, targa XY987ZT.",18.370022675736962,0.00023274027210884354,0.8620689655172413,0.450261780104712,0.1923104277783772,0.5714285714285715,0.5714285714285715,86.0
gemini-2.0-flash-lite,"Durante il pattugliamento in zona Piazza Venezia, Roma, l'agente Anna Bianchi ha rilevato una violazione dell'articolo 157, comma 5. La Ugo coinvolta e ora vuole saggi il golf targata 1344, alle ore 23:57 del 13/3/2020.
","Durante il pattugliamento in zona piazza Venezia, Roma, l'agente Anna Bianchi ha rilevato una violazione del articolo 157, comma 5. L'auto coinvolta è una Volkswagen Golf targata FG234LM, alle ore 23:57 del 16/03/2025.",19.36204081632653,0.00024344448979591836,0.3939393939393939,0.13302752293577982,0.43680533583037834,0.7272727272727273,0.7272727272727273,30.0
gemini-2.0-flash-lite,"pone for 2023, ore, il fitto, veicolo, Panda, taglia il tre, lunghe tenti, in doppia fila presso via Milano, tenti, Torino. Rilevato da gente annabiata.
","01/04/2025, ore 08:32: veicolo Fiat Panda, targa KL321MN, in doppia fila presso via Milano 24, Torino. Rilevato da agente Anna Bianchi.",12.706031746031746,0.00016057238095238096,0.8095238095238095,0.45925925925925926,0.19422069098763883,0.4897959183673469,0.4897959183673469,63.0
gemini-2.0-flash-lite,"Verbale di infrazione redatto dall'agente Luca Verdi. Data: 13/10/2023, ora: 10:02. Infrazione: parcheggio sul strisce pedonali. Luogo: Corso Buono, via. Veicolo: Fiat Panda, targa: CA 000000.
","Verbale di infrazione redatto dall'agente Luca Verdi. Data: 08/03/2025, ora: 22:16. Infrazione: parcheggio su strisce pedonali. Luogo: corso Buenos Aires 98, Milano. Veicolo: Fiat Panda, targa GH789IJ.",20.29301587301587,0.00025191619047619046,0.4074074074074074,0.1791044776119403,0.3736851134812951,0.6557377049180327,0.6557377049180327,37.0
gemini-2.0-flash-lite,"Il giorno 20/05/2020 alle ore 14:00 è stata segnalata un'infrazione per divieto di sosta in via Roma 77, Palermo. Veicolo coinvolto: per corsa targa, 333 Funo. Agente: Silvia Neri.
","Il giorno 26/03/2025, alle ore 04:40, è stata segnalata un’infrazione per divieto di sosta in via Roma 77, Palermo. Veicolo coinvolto: Opel Corsa, targa FG234LM. Agente: Silvia Neri.",17.63501133786848,0.00022092013605442176,0.2857142857142857,0.11538461538461539,0.4772349067014227,0.7619047619047619,0.7619047619047619,22.0
