model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
Wav2Vec2 XLSR Italian (Grosman),0.5308641975308642,0.2650375939849624,0.32047525456589226,0.6742857142857143,142.0,6.658992528915405
Wav2Vec2 XLSR Italian (Grosman),0.4166666666666667,0.2594594594594595,0.35776090954749706,0.6971428571428572,145.0,7.14858865737915
Wav2Vec2 XLSR Italian (Grosman),0.42696629213483145,0.23863636363636365,0.37105580716305364,0.7634408602150536,148.0,7.9856116771698
Wav2Vec2 XLSR Italian (Grosman),0.3972602739726027,0.16872427983539096,0.39441908375635504,0.761904761904762,83.0,5.802036285400391
Wav2Vec2 XLSR Italian (Grosman),0.43661971830985913,0.2561247216035635,0.31227170202886445,0.7448275862068966,116.0,5.673087120056152
Wav2Vec2 XLSR Italian (Grosman),0.4266666666666667,0.23636363636363636,0.3575045201486387,0.7421383647798743,118.0,6.807026386260986
Wav2Vec2 XLSR Italian (Grosman),0.4155844155844156,0.20702402957486138,0.40624412485873085,0.7515151515151515,113.0,6.354449033737183
Wav2Vec2 XLSR Italian (Grosman),0.44594594594594594,0.30327868852459017,0.33005479481844946,0.7125,149.0,5.635199546813965
Wav2Vec2 XLSR Italian (Grosman),0.4027777777777778,0.2838983050847458,0.3412226458817346,0.7948717948717949,135.0,5.604475736618042
Wav2Vec2 XLSR Italian (Grosman),0.4069767441860465,0.22359154929577466,0.38657973959629527,0.7243243243243243,128.0,7.502520322799683
Wav2Vec2 XLSR Italian (Grosman),0.4861111111111111,0.25992063492063494,0.2855364088736686,0.6578947368421053,132.0,6.5904700756073
Wav2Vec2 XLSR Italian (Grosman),0.4634146341463415,0.2045060658578856,0.3602132622599861,0.7199999999999999,119.0,6.7630615234375
Wav2Vec2 XLSR Italian (Grosman),0.4936708860759494,0.2767175572519084,0.30834761565641083,0.6626506024096386,146.0,6.821419954299927
Wav2Vec2 XLSR Italian (Grosman),0.5135135135135135,0.2730627306273063,0.264137316703864,0.7058823529411765,149.0,8.449999809265137
Wav2Vec2 XLSR Italian (Grosman),0.3673469387755102,0.22306525037936267,0.4350388951581729,0.7707317073170732,148.0,8.720833778381348
Wav2Vec2 XLSR Italian (Grosman),0.4268292682926829,0.2648648648648649,0.3765356461813839,0.7167630057803469,148.0,7.125359535217285
Wav2Vec2 XLSR Italian (Grosman),0.49295774647887325,0.3087248322147651,0.2993535735880536,0.7074829931972789,139.0,5.765961408615112
Wav2Vec2 XLSR Italian (Grosman),0.358974358974359,0.1875,0.45242026654125894,0.7307692307692307,100.0,5.549822568893433
Wav2Vec2 XLSR Italian (Grosman),0.4166666666666667,0.25840336134453784,0.35248719935850376,0.7236842105263158,124.0,5.767714500427246
Wav2Vec2 XLSR Italian (Grosman),0.5064935064935064,0.26629422718808193,0.2803860486808562,0.691358024691358,144.0,6.743056297302246
Wav2Vec2 XLSR Italian (Grosman),0.47297297297297297,0.26043737574552683,0.30039273024232416,0.7875,132.0,6.7680089473724365
Wav2Vec2 XLSR Italian (Grosman),0.4659090909090909,0.2419871794871795,0.3532317156762211,0.7368421052631579,152.0,7.814066410064697
Wav2Vec2 XLSR Italian (Grosman),0.47297297297297297,0.222,0.3102614868500083,0.7225806451612903,112.0,6.459685325622559
Wav2Vec2 XLSR Italian (Grosman),0.41304347826086957,0.23014586709886548,0.3708573696178888,0.7340425531914894,143.0,8.30975890159607
Wav2Vec2 XLSR Italian (Grosman),0.4691358024691358,0.27599243856332706,0.2913624545991508,0.7176470588235295,147.0,6.961073398590088
Wav2Vec2 XLSR Italian (Grosman),0.52,0.25678119349005424,0.2690151590495232,0.7468354430379747,143.0,8.167736768722534
Wav2Vec2 XLSR Italian (Grosman),0.9452054794520548,0.7331932773109243,0.02789641839729013,0.35211267605633806,350.0,4.43158221244812
Wav2Vec2 XLSR Italian (Grosman),0.4266666666666667,0.2567849686847599,0.34977698796807316,0.8074534161490683,124.0,5.814399242401123
Wav2Vec2 XLSR Italian (Grosman),0.4166666666666667,0.2655367231638418,0.3665536150017744,0.7058823529411765,142.0,6.203194618225098
Wav2Vec2 XLSR Italian (Grosman),0.4657534246575342,0.28085106382978725,0.3112784997845689,0.7320261437908497,133.0,5.847162485122681
Wav2Vec2 XLSR Italian (Grosman),0.3939393939393939,0.2191358024691358,0.4381903350712175,0.75,143.0,8.75750732421875
Wav2Vec2 XLSR Italian (Grosman),0.37755102040816324,0.20030816640986132,0.4285392788822507,0.7586206896551724,131.0,7.799229621887207
Wav2Vec2 XLSR Italian (Grosman),0.36666666666666664,0.24573378839590443,0.4260237144148233,0.7956989247311829,145.0,7.520337104797363
Wav2Vec2 XLSR Italian (Grosman),0.4868421052631579,0.23048327137546468,0.3408181557044593,0.6909090909090909,125.0,6.655296325683594
Wav2Vec2 XLSR Italian (Grosman),0.391304347826087,0.20032051282051283,0.4126843883334071,0.7830687830687831,126.0,7.460225820541382
Wav2Vec2 XLSR Italian (Grosman),0.4691358024691358,0.2574074074074074,0.26428864278125697,0.6867469879518072,140.0,7.182833194732666
Wav2Vec2 XLSR Italian (Grosman),0.5416666666666666,0.2804642166344294,0.26613257421860653,0.6490066225165563,146.0,6.917032957077026
Wav2Vec2 XLSR Italian (Grosman),0.5616438356164384,0.26556776556776557,0.23309278673790232,0.6883116883116883,146.0,8.099289417266846
Wav2Vec2 XLSR Italian (Grosman),0.4117647058823529,0.26865671641791045,0.410556514607389,0.7251461988304094,145.0,6.080240488052368
Wav2Vec2 XLSR Italian (Grosman),0.4875,0.26666666666666666,0.2841507155960174,0.6904761904761905,141.0,7.784844160079956
Wav2Vec2 XLSR Italian (Grosman),0.45,0.24358974358974358,0.30768102267910946,0.7151515151515151,134.0,7.5202531814575195
Wav2Vec2 XLSR Italian (Grosman),0.4657534246575342,0.28879310344827586,0.2925718561837604,0.6891891891891893,135.0,5.8947954177856445
Wav2Vec2 XLSR Italian (Grosman),0.48,0.3023255813953488,0.3218918087442624,0.717948717948718,144.0,6.499007225036621
Wav2Vec2 XLSR Italian (Grosman),0.48717948717948717,0.27893738140417457,0.28189761853200834,0.6913580246913581,148.0,8.344905138015747
Wav2Vec2 XLSR Italian (Grosman),0.4533333333333333,0.2668024439918534,0.3179835941706078,0.7073170731707318,132.0,7.214659690856934
Wav2Vec2 XLSR Italian (Grosman),0.325,0.14744801512287334,0.48090434372692564,0.7721518987341771,79.0,7.104453802108765
Wav2Vec2 XLSR Italian (Grosman),0.49295774647887325,0.33557046979865773,0.30029941024924434,0.6986301369863014,151.0,6.0267345905303955
Wav2Vec2 XLSR Italian (Grosman),0.410958904109589,0.27405857740585776,0.3469138451878725,0.7974683544303799,132.0,6.722596883773804
