model,text,reference,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Wav2Vec2 XLSR Italian (Grosman),anche u poi si ribellò a shean e lo bandì dal regno,anche yu poi si ribellò a shun e lo bandì dal regno.,1.3948266506195068,0.25,0.07692307692307693,0.4366835442847812,0.8333333333333334,0.8333333333333334,4.0
Wav2Vec2 XLSR Italian (Grosman),sono presenti alcuni plastici riproducenti battaglie medievali tra lucchesi e modenesi risalenti al medioevo,sono presenti alcuni plastici riproducenti battaglie medioevali tra lucchesi e modenesi risalenti al medioevo.,1.4236268997192383,0.14285714285714285,0.01818181818181818,0.6997522298221912,0.9285714285714286,0.9285714285714286,2.0
Wav2Vec2 XLSR Italian (Grosman),l'ex biatle ha suonato tutti gli strumenti nella canzone,"l'ex-""beatle"" ha suonato tutti gli strumenti nella canzone.",0.956693172454834,0.375,0.0847457627118644,0.5873949094699213,0.9,0.9,5.0
Wav2Vec2 XLSR Italian (Grosman),l'anno seguente tornò nuovamente nello honka,"l'anno seguente, tornò nuovamente nello honka.",0.8225321769714355,0.3333333333333333,0.043478260869565216,0.21711852081087685,1.0,1.0,2.0
Wav2Vec2 XLSR Italian (Grosman),solo la marina militare italiana e la royal navy possiedono unità di questo tipo,solo la marina militare italiana e la royal navy possiedono unità di questo tipo..,1.0863656997680664,0.07142857142857142,0.024390243902439025,0.9193227152249185,1.0,1.0,2.0
Wav2Vec2 XLSR Italian (Grosman),la basilica della beata vergine maria è un importante centro di pelligrinaggio della polonia,la basilica della beata vergine maria è un importante centro di pellegrinaggio della polonia.,1.209859848022461,0.14285714285714285,0.021505376344086023,0.7744031410142033,0.9230769230769231,0.9230769230769231,2.0
Wav2Vec2 XLSR Italian (Grosman),per vendetta timmy desidera di diventare il banino più forte della spiaggia,per vendetta timmy desidera di diventare il bagnino più forte della spiaggia.,0.8457210063934326,0.16666666666666666,0.025974025974025976,0.6340466277046861,0.9166666666666666,0.9166666666666666,2.0
Wav2Vec2 XLSR Italian (Grosman),la città è situata nelle snoy mouns nella regione del nuovo gales del sud,la città è situata nelle snowy mountains nella regione del nuovo galles del sud.,1.6726479530334473,0.2857142857142857,0.0875,0.45723134461864345,0.7692307692307693,0.7692307692307693,7.0
Wav2Vec2 XLSR Italian (Grosman),le immersioni ricreative nascono dallo snorkeling e dalla pesca subacquea,le immersioni ricreative nascono dallo snorkeling e dalla pesca subacquea.,1.095736026763916,0.1,0.013513513513513514,0.8801117367933934,1.0,1.0,1.0
Wav2Vec2 XLSR Italian (Grosman),il signor ricci disse che leuro si svaluterà ancora,il signor ricci disse che l'euro si svaluterà ancora.,0.9377937316894531,0.2222222222222222,0.03773584905660377,0.5133450480401704,0.8421052631578948,0.8421052631578948,2.0
Wav2Vec2 XLSR Italian (Grosman),l'aereo sorvò lallisola obbligando così il giocatore a proseguire la sua avventura,"l'aereo sorvola l'isola, obbligando così il giocatore a proseguire la sua avventura.",1.155578851699829,0.25,0.07142857142857142,0.6315552371794037,0.8148148148148148,0.8148148148148148,6.0
Wav2Vec2 XLSR Italian (Grosman),la storia è narrata in prima persona da james farrer,la storia è narrata in prima persona da james farrell.,0.731410026550293,0.1,0.05555555555555555,0.8801117367933934,0.8888888888888888,0.8888888888888888,3.0
Wav2Vec2 XLSR Italian (Grosman),e poi il dietro le quintei di pianokio e i puo colyardichi,"e poi il dietro le quinte di ""pinocchio"" e i pooh goliardici.",1.4775021076202393,0.3333333333333333,0.21311475409836064,0.37700638045494705,0.6666666666666666,0.6666666666666666,13.0
Wav2Vec2 XLSR Italian (Grosman),dopo tre stagioni consecutive nella massima divisione però la squadra retrocesse,"dopo tre stagioni consecutive nella massima divisione, però, la squadra retrocesse.",1.1673238277435303,0.2727272727272727,0.03614457831325301,0.5193071778680676,1.0,1.0,3.0
Wav2Vec2 XLSR Italian (Grosman),conta numerose presenze con la nazionale bulgara,conta numerose presenze con la nazionale bulgara.,1.0076007843017578,0.14285714285714285,0.02040816326530612,0.8091067115702212,1.0,1.0,1.0
Wav2Vec2 XLSR Italian (Grosman),viene invocata in tutte le situazioni difficili che compromettono la serenità familiare,viene invocata in tutte le situazioni difficili che compromettono la serenità familiare.,1.2038557529449463,0.08333333333333333,0.011363636363636364,0.9036020036098448,1.0,1.0,1.0
Wav2Vec2 XLSR Italian (Grosman),nel due centro il territorio passò in gestioni aarietti,nel duecento il territorio passò in gestione a rieti.,1.1894540786743164,0.5555555555555556,0.11320754716981132,0.3155984539112945,0.5555555555555556,0.5555555555555556,6.0
Wav2Vec2 XLSR Italian (Grosman),giuseppe guarino,giuseppe guarino,0.6196861267089844,0.0,0.0,0.316227766016838,1.0,1.0,0.0
Wav2Vec2 XLSR Italian (Grosman),il vanadio è un metallo bianco lucente duro ed uttile,"il vanadio è un metallo bianco lucente, duro e duttile.",1.06693434715271,0.3,0.07272727272727272,0.537284965911771,0.7777777777777778,0.7777777777777778,4.0
Wav2Vec2 XLSR Italian (Grosman),esiste anche una cuvro realizzata in lingua hinde,esiste anche una cover realizzata in lingua hindi.,1.1193270683288574,0.25,0.1,0.23119742295813953,0.75,0.75,5.0
Wav2Vec2 XLSR Italian (Grosman),tutto ciò è andato completamente perduto insieme a svariati composizioni di alkan,"tutto ciò è andato completamente perduto, insieme a svariate composizioni di alkan.",1.1212830543518066,0.25,0.03614457831325301,0.4063798282013443,0.9090909090909091,0.9090909090909091,3.0
Wav2Vec2 XLSR Italian (Grosman),il quartiere ha diverse aree verdi è una piscina scoperta,il quartiere ha diverse aree verdi e una piscina scoperta.,0.8931605815887451,0.2,0.034482758620689655,0.5814307369682193,0.9473684210526316,0.9473684210526316,2.0
Wav2Vec2 XLSR Italian (Grosman),alla base del manico il bordo della tavola non s'interrompe,alla base del manico il bordo della tavola non si interrompe.,0.9537408351898193,0.18181818181818182,0.04918032786885246,0.7963580315032781,0.9090909090909091,0.9090909090909091,3.0
Wav2Vec2 XLSR Italian (Grosman),alcuni dei suoi componimenti poetici furono pubblicati postumi,alcuni suoi componimenti poetici furono pubblicati postumi.,1.1430587768554688,0.2857142857142857,0.0847457627118644,0.5410822690539396,0.9333333333333333,0.9333333333333333,5.0
Wav2Vec2 XLSR Italian (Grosman),di conseguenza questa proposta non venne inclusa nel testo finale del trattato,"di conseguenza, questa proposta non venne inclusa nel testo finale del trattato.",1.806725263595581,0.16666666666666666,0.025,0.7292571723872933,1.0,1.0,2.0
Wav2Vec2 XLSR Italian (Grosman),tutte le mosse degli scacchi normali sono supportate,tutte le mosse degli scacchi normali sono supportate.,0.7095592021942139,0.125,0.018867924528301886,0.8408964152537145,1.0,1.0,1.0
