model,text,reference,time,cost,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
gemini-2.0-flash,"Durante il pattugliamento in zona Via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione dell'articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR98YU, alle ore 21:15 del 13 marzo 2025.","Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR098YU, alle ore 21:15 del 13/03/2025.",16.194013605442176,0.0005896292789115646,0.20588235294117646,0.05188679245283019,0.6736725254446679,0.9210526315789473,0.9210526315789473,11.0
gemini-2.0-flash,"Sono l'agente Carlo Bruni, alle ore 15:03 del 24 marzo 2025. Ho rilevato un'infrazione per sosta davanti a passo carrabile in Via Etnea 45. Catania, veicolo, Volkswagen Golf, targa TR98U.","Sono l'agente Carlo Bruni. Alle ore 15:03 del 24/03/2025, ho rilevato un'infrazione per sosta davanti a passo carrabile in via Etnea 45, Catania. Veicolo: Volkswagen Golf, targa TR098YU.",18.456009070294783,0.0006672515192743763,0.39285714285714285,0.0967741935483871,0.3946825811316049,0.9393939393939394,0.9393939393939394,18.0
gemini-2.0-flash,"Sono l'agente Anna Bianchi, alle ore mezzanotte e 16 del 14 marzo 2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in Via Milano 24, Torino, veicolo, Volkswagen Golf, targa FG 234 LM.","Sono l'agente Anna Bianchi. Alle ore 00:16 del 14/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano 24, Torino. Veicolo: Volkswagen Golf, targa FG234LM.",16.098004535147393,0.0005854497596371883,0.5185185185185185,0.15053763440860216,0.34137833947731483,0.8656716417910447,0.8656716417910447,28.0
gemini-2.0-flash,"Sono l'agente Carlo Bruni, alle ore 15:03 del 24 marzo 2025. Ho rilevato un'infrazione per sosta davanti a passo carrabile in Via Etnea 45. Catania, veicolo, Volkswagen Golf, targa TR98U.","Sono l'agente Carlo Bruni. Alle ore 15:03 del 24/03/2025, ho rilevato un'infrazione per sosta davanti a passo carrabile in via Etnea 45, Catania. Veicolo: Volkswagen Golf, targa TR098YU.",18.456009070294783,0.0006672515192743763,0.39285714285714285,0.0967741935483871,0.3946825811316049,0.9393939393939394,0.9393939393939394,18.0
gemini-2.0-flash,"Agente Silvia Neri in servizio. Segnalazione di doppia fila alle mezzanotte e 38 del 6 marzo 2025. In Piazza Venezia, Roma, auto coinvolta, Renault Clio, targa XY987ZT.","Agente Silvia Neri in servizio. Segnalazione di doppia fila alle 00:38 del 06/03/2025, in piazza Venezia, Roma. Auto coinvolta: Renault Clio, targa XY987ZT.",14.152018140589568,0.0005145510385487528,0.4782608695652174,0.17307692307692307,0.4369942407063455,0.8679245283018868,0.8679245283018868,27.0
gemini-2.0-flash,"Infrazione riscontrata. Accertamento di età. Posizione: Via del Corso 12, Roma, zona Via del 52. Data: 16 marzo 2025. Auto: Volkswagen Golf, targa HL321. Agente: Carlo Bruno.","Infrazione riscontrata: accesso vietato. Posizione: via del Corso 12, Roma. Ora: 02:52, Data: 16/03/2025. Auto: Volkswagen Golf, targa KL321MN. Agente: Carlo Bruni.",20.4,0.0007344799999999998,0.6818181818181818,0.23780487804878048,0.15048435361489218,0.6923076923076923,0.6923076923076923,39.0
gemini-2.0-flash,"Sono l'agente Carlo Bruni, alle ore 13:26 del 9 marzo 2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in Via Etnea 45. Catania, veicolo, Toyota Yaris, targa GH789I.","Sono l'agente Carlo Bruni. Alle ore 13:26 del 09/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Etnea 45, Catania. Veicolo: Toyota Yaris, targa GH789IJ.",15.633015873015873,0.0005674821587301588,0.37037037037037035,0.08791208791208792,0.40905804311735244,0.90625,0.90625,16.0
gemini-2.0-flash,"Agente Sara Bellini in servizio. Segnalazione di accesso vietato alle 20:6 minuti dell'8 marzo 2025. In Via Garibaldi 11, Firenze, auto coinvolta, Toyota Yaris, targa XY 987ZT.","Agente Sara Bellini in servizio. Segnalazione di accesso vietato alle 20:06 del 08/03/2025, in via Garibaldi 11, Firenze. Auto coinvolta: Toyota Yaris, targa XY987ZT.",17.88,0.0006457759999999999,0.5,0.14457831325301204,0.4050710194872912,0.7857142857142857,0.7857142857142857,24.0
gemini-2.0-flash,"Il giorno 11 marzo 2025, alle ore 15:06, è stata segnalata un'infrazione per accesso vietato in Corso Buenos Aires 98, Milano, veicolo coinvolto, Toyota Yaris, targa FG 234 LM, agente, Giulia Costa.","Il giorno 11/03/2025, alle ore 15:06, è stata segnalata un’infrazione per accesso vietato in corso Buenos Aires 98, Milano. Veicolo coinvolto: Toyota Yaris, targa FG234LM. Agente: Giulia Costa.",20.59201814058957,0.0007432390385487529,0.42857142857142855,0.08808290155440414,0.3192046955193162,0.90625,0.90625,17.0
gemini-2.0-flash,"Durante il pattugliamento in zona Via Milano 24, Torino, l'agente Carlo Bruni ha rilevato una violazione dell'articolo 7, comma 15. L'auto coinvolta è una Mercedes classe A targata XY 987 ZQ, alle ore 8:13 del 5 marzo 2025.","Durante il pattugliamento in zona via Milano 24, Torino, l'agente Carlo Bruni ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Mercedes Classe A targata XY987ZT, alle ore 08:13 del 05/03/2025.",17.885986394557822,0.0006503867210884354,0.3142857142857143,0.0730593607305936,0.5363526748704261,0.8500000000000001,0.8500000000000001,16.0
gemini-2.0-flash,"Il giorno 17 marzo 2025, alle ore 8:14, è stata segnalata un'infrazione per accesso vietato in Via Roma 77, Palermo, veicolo coinvolto, Volkswagen Golf, targa XY987ZT, agente, Mario Rossi.","Il giorno 17/03/2025, alle ore 08:14, è stata segnalata un’infrazione per accesso vietato in via Roma 77, Palermo. Veicolo coinvolto: Volkswagen Golf, targa XY987ZT. Agente: Mario Rossi.",20.424036281179138,0.0007361260770975056,0.4074074074074074,0.08602150537634409,0.19306698300385472,0.9333333333333333,0.9333333333333333,16.0
